decade_start,side,band_label,band_lo_m,band_hi_m,n,median
1970,downdrift,0–1 km,0,1000,15,-1.9304563789279108
1980,downdrift,0–1 km,0,1000,15,4.629693676722989
1990,downdrift,0–1 km,0,1000,15,4.952675959883548
2000,downdrift,0–1 km,0,1000,15,4.729684789979325
2010,downdrift,0–1 km,0,1000,15,7.42785699529937
2020,downdrift,0–1 km,0,1000,15,1.4604133602779705
1970,updrift,0–1 km,0,1000,12,7.049400164139781
1980,updrift,0–1 km,0,1000,12,3.998212352961827
1990,updrift,0–1 km,0,1000,12,3.066206753080088
2000,updrift,0–1 km,0,1000,12,3.3437847120293176
2010,updrift,0–1 km,0,1000,12,4.657930921985237
2020,updrift,0–1 km,0,1000,12,-0.8547048438353135
1970,downdrift,1–3 km,1000,3000,20,-7.209903915632477
1980,downdrift,1–3 km,1000,3000,43,-1.9835279464202484
1990,downdrift,1–3 km,1000,3000,43,-5.459847974963652
2000,downdrift,1–3 km,1000,3000,43,8.353434238463715
2010,downdrift,1–3 km,1000,3000,43,6.449618373915997
2020,downdrift,1–3 km,1000,3000,43,13.190688216798868
1970,updrift,1–3 km,1000,3000,31,7.204587978927199
1980,updrift,1–3 km,1000,3000,38,-0.7762983485119204
1990,updrift,1–3 km,1000,3000,38,0.41445137332943705
2000,updrift,1–3 km,1000,3000,38,3.0385693458799072
2010,updrift,1–3 km,1000,3000,38,7.512317963067657
2020,updrift,1–3 km,1000,3000,38,3.350729710112253
1980,downdrift,3–6 km,3000,6000,7,0.8242533212536269
1990,downdrift,3–6 km,3000,6000,7,-1.059915995999404
2000,downdrift,3–6 km,3000,6000,7,9.822183506333632
2010,downdrift,3–6 km,3000,6000,7,-0.2915503680217153
2020,downdrift,3–6 km,3000,6000,7,59.7245417053295
1980,updrift,3–6 km,3000,6000,59,4.2985285402906515
1990,updrift,3–6 km,3000,6000,59,2.705545094164128
2000,updrift,3–6 km,3000,6000,59,3.1049976556617476
2010,updrift,3–6 km,3000,6000,59,3.099767239082792
2020,updrift,3–6 km,3000,6000,59,11.117421003252066
1980,updrift,6–10 km,6000,10000,78,-0.22898873114950807
1990,updrift,6–10 km,6000,10000,78,0.043097429340564875
2000,updrift,6–10 km,6000,10000,78,-0.6611976670070616
2010,updrift,6–10 km,6000,10000,78,-0.8983915302249077
2020,updrift,6–10 km,6000,10000,78,4.012984872014273
1980,updrift,10–15 km,10000,15000,99,0.5527692974179053
1990,updrift,10–15 km,10000,15000,99,1.0954066407889251
2000,updrift,10–15 km,10000,15000,99,2.4951567647771977
2010,updrift,10–15 km,10000,15000,99,1.8032754455580067
2020,updrift,10–15 km,10000,15000,99,1.5065106835185644
