transect_id,domain_number,distance_m,match_method
usa_NC_0032_0135,13.0,0.0,point_in_polygon
usa_NC_0032_0136,13.0,0.0,point_in_polygon
usa_NC_0032_0137,13.0,0.0,point_in_polygon
usa_NC_0032_0138,13.0,0.0,point_in_polygon
usa_NC_0032_0139,13.0,0.0,point_in_polygon
usa_NC_0032_0140,13.0,0.0,point_in_polygon
usa_NC_0032_0141,13.0,0.0,point_in_polygon
usa_NC_0032_0142,13.0,0.0,point_in_polygon
usa_NC_0032_0143,13.0,0.0,point_in_polygon
usa_NC_0032_0144,13.0,0.0,point_in_polygon
usa_NC_0032_0145,13.0,0.0,point_in_polygon
usa_NC_0032_0146,14.0,0.0,point_in_polygon
usa_NC_0032_0147,14.0,0.0,point_in_polygon
usa_NC_0032_0148,14.0,0.0,point_in_polygon
usa_NC_0032_0149,14.0,0.0,point_in_polygon
usa_NC_0032_0150,14.0,0.0,point_in_polygon
usa_NC_0032_0151,14.0,0.0,point_in_polygon
usa_NC_0032_0152,14.0,0.0,point_in_polygon
usa_NC_0032_0153,14.0,0.0,point_in_polygon
usa_NC_0032_0154,14.0,0.0,point_in_polygon
usa_NC_0032_0155,14.0,0.0,point_in_polygon
usa_NC_0032_0156,15.0,0.0,point_in_polygon
usa_NC_0032_0157,15.0,0.0,point_in_polygon
usa_NC_0032_0158,15.0,0.0,point_in_polygon
usa_NC_0032_0159,15.0,0.0,point_in_polygon
usa_NC_0032_0160,15.0,0.0,point_in_polygon
usa_NC_0032_0161,15.0,0.0,point_in_polygon
usa_NC_0032_0162,15.0,0.0,point_in_polygon
usa_NC_0032_0163,15.0,0.0,point_in_polygon
usa_NC_0032_0164,15.0,0.0,point_in_polygon
usa_NC_0032_0165,15.0,0.0,point_in_polygon
usa_NC_0032_0166,16.0,0.0,point_in_polygon
usa_NC_0032_0167,16.0,0.0,point_in_polygon
usa_NC_0032_0168,16.0,0.0,point_in_polygon
usa_NC_0032_0169,16.0,0.0,point_in_polygon
usa_NC_0032_0170,16.0,0.0,point_in_polygon
usa_NC_0032_0171,16.0,0.0,point_in_polygon
usa_NC_0032_0172,16.0,0.0,point_in_polygon
usa_NC_0032_0173,16.0,0.0,point_in_polygon
usa_NC_0032_0174,16.0,0.0,point_in_polygon
usa_NC_0032_0175,16.0,0.0,point_in_polygon
usa_NC_0032_0176,17.0,0.0,point_in_polygon
usa_NC_0032_0177,17.0,0.0,point_in_polygon
usa_NC_0032_0178,17.0,0.0,point_in_polygon
usa_NC_0032_0179,17.0,0.0,point_in_polygon
usa_NC_0032_0180,17.0,0.0,point_in_polygon
usa_NC_0032_0181,17.0,0.0,point_in_polygon
usa_NC_0032_0182,17.0,0.0,point_in_polygon
usa_NC_0032_0183,17.0,0.0,point_in_polygon
usa_NC_0032_0184,17.0,0.0,point_in_polygon
usa_NC_0032_0185,17.0,0.0,point_in_polygon
usa_NC_0032_0186,18.0,0.0,point_in_polygon
usa_NC_0032_0187,18.0,0.0,point_in_polygon
usa_NC_0032_0188,18.0,0.0,point_in_polygon
usa_NC_0032_0189,18.0,0.0,point_in_polygon
usa_NC_0032_0190,18.0,0.0,point_in_polygon
usa_NC_0032_0191,18.0,0.0,point_in_polygon
usa_NC_0032_0192,18.0,0.0,point_in_polygon
usa_NC_0032_0193,18.0,0.0,point_in_polygon
usa_NC_0032_0194,18.0,0.0,point_in_polygon
usa_NC_0032_0195,18.0,0.0,point_in_polygon
usa_NC_0032_0196,19.0,0.0,point_in_polygon
usa_NC_0032_0197,19.0,0.0,point_in_polygon
usa_NC_0032_0198,19.0,0.0,point_in_polygon
usa_NC_0032_0199,19.0,0.0,point_in_polygon
usa_NC_0032_0200,19.0,0.0,point_in_polygon
usa_NC_0032_0201,19.0,0.0,point_in_polygon
usa_NC_0032_0202,19.0,0.0,point_in_polygon
usa_NC_0032_0203,19.0,0.0,point_in_polygon
usa_NC_0032_0204,19.0,0.0,point_in_polygon
usa_NC_0032_0205,19.0,0.0,point_in_polygon
usa_NC_0032_0206,20.0,0.0,point_in_polygon
usa_NC_0032_0207,20.0,0.0,point_in_polygon
usa_NC_0032_0208,20.0,0.0,point_in_polygon
usa_NC_0032_0209,20.0,0.0,point_in_polygon
usa_NC_0032_0210,20.0,0.0,point_in_polygon
usa_NC_0032_0211,20.0,0.0,point_in_polygon
usa_NC_0032_0212,20.0,0.0,point_in_polygon
usa_NC_0032_0213,20.0,0.0,point_in_polygon
usa_NC_0032_0214,20.0,0.0,point_in_polygon
usa_NC_0033_0001,20.0,0.0,point_in_polygon
usa_NC_0033_0002,21.0,0.0,point_in_polygon
usa_NC_0033_0003,21.0,0.0,point_in_polygon
usa_NC_0033_0004,21.0,0.0,point_in_polygon
usa_NC_0033_0005,21.0,0.0,point_in_polygon
usa_NC_0033_0006,21.0,0.0,point_in_polygon
usa_NC_0033_0007,21.0,0.0,point_in_polygon
usa_NC_0033_0008,21.0,0.0,point_in_polygon
usa_NC_0033_0009,21.0,0.0,point_in_polygon
usa_NC_0033_0010,21.0,0.0,point_in_polygon
usa_NC_0033_0011,21.0,0.0,point_in_polygon
usa_NC_0033_0012,21.0,0.0,point_in_polygon
usa_NC_0033_0013,22.0,0.0,point_in_polygon
usa_NC_0033_0014,22.0,0.0,point_in_polygon
usa_NC_0033_0015,22.0,0.0,point_in_polygon
usa_NC_0033_0016,22.0,0.0,point_in_polygon
usa_NC_0033_0017,22.0,0.0,point_in_polygon
usa_NC_0033_0018,22.0,0.0,point_in_polygon
usa_NC_0033_0019,22.0,0.0,point_in_polygon
usa_NC_0033_0020,22.0,0.0,point_in_polygon
usa_NC_0033_0021,22.0,0.0,point_in_polygon
usa_NC_0033_0022,22.0,0.0,point_in_polygon
usa_NC_0033_0023,23.0,0.0,point_in_polygon
usa_NC_0033_0024,23.0,0.0,point_in_polygon
usa_NC_0033_0025,23.0,0.0,point_in_polygon
usa_NC_0033_0026,23.0,0.0,point_in_polygon
usa_NC_0033_0027,23.0,0.0,point_in_polygon
usa_NC_0033_0028,23.0,0.0,point_in_polygon
usa_NC_0033_0029,23.0,0.0,point_in_polygon
usa_NC_0033_0030,23.0,0.0,point_in_polygon
usa_NC_0033_0031,23.0,0.0,point_in_polygon
usa_NC_0033_0032,23.0,0.0,point_in_polygon
usa_NC_0033_0033,24.0,0.0,point_in_polygon
usa_NC_0033_0034,24.0,0.0,point_in_polygon
usa_NC_0033_0035,24.0,0.0,point_in_polygon
usa_NC_0033_0036,24.0,0.0,point_in_polygon
usa_NC_0033_0037,24.0,0.0,point_in_polygon
usa_NC_0033_0038,24.0,0.0,point_in_polygon
usa_NC_0033_0039,24.0,0.0,point_in_polygon
usa_NC_0033_0040,24.0,0.0,point_in_polygon
usa_NC_0033_0041,24.0,0.0,point_in_polygon
usa_NC_0033_0042,24.0,0.0,point_in_polygon
usa_NC_0033_0043,25.0,0.0,point_in_polygon
usa_NC_0033_0044,25.0,0.0,point_in_polygon
usa_NC_0033_0045,25.0,0.0,point_in_polygon
usa_NC_0033_0046,25.0,0.0,point_in_polygon
usa_NC_0033_0047,25.0,0.0,point_in_polygon
usa_NC_0033_0048,25.0,0.0,point_in_polygon
usa_NC_0033_0049,25.0,0.0,point_in_polygon
usa_NC_0033_0050,25.0,0.0,point_in_polygon
usa_NC_0033_0051,25.0,0.0,point_in_polygon
usa_NC_0033_0052,25.0,0.0,point_in_polygon
usa_NC_0033_0053,26.0,0.0,point_in_polygon
usa_NC_0033_0054,26.0,0.0,point_in_polygon
usa_NC_0033_0055,26.0,0.0,point_in_polygon
usa_NC_0033_0056,26.0,0.0,point_in_polygon
usa_NC_0033_0057,26.0,0.0,point_in_polygon
usa_NC_0033_0058,26.0,0.0,point_in_polygon
usa_NC_0033_0059,26.0,0.0,point_in_polygon
usa_NC_0033_0060,26.0,0.0,point_in_polygon
