transect_id,domain_number,position_start_m,n_start,sd_start_m,first_obs_start,last_obs_start,position_end_m,n_end,sd_end_m,first_obs_end,last_obs_end,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr,half_window_days
usa_NC_0032_0021,1,78.9000,6,6.9833,2008-12-04,2009-10-20,155.4375,32,46.9080,2023-01-21,2023-12-15,76.5375,5.4335,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0022,1,73.2571,7,7.7402,2008-12-04,2009-10-20,143.2829,35,40.6121,2023-01-21,2023-12-15,70.0257,4.9712,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0023,1,75.0400,5,9.5378,2008-12-04,2009-08-17,133.3686,35,34.8031,2023-01-21,2023-12-15,58.3286,4.1408,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0024,1,91.0250,4,13.9290,2009-03-18,2009-08-17,134.6882,34,29.0144,2023-01-21,2023-12-15,43.6632,3.0997,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0025,1,69.4333,3,13.7046,2009-03-18,2009-08-09,108.1919,37,24.3791,2023-01-21,2023-12-15,38.7586,2.7515,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0026,1,69.6750,4,12.7011,2009-03-18,2009-11-05,110.1816,38,19.7109,2023-01-21,2023-12-15,40.5066,2.8756,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0027,1,58.8000,4,10.3781,2009-03-18,2009-11-05,97.0189,37,19.1455,2023-01-21,2023-12-15,38.2189,2.7132,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0028,1,53.9250,4,7.3247,2009-03-18,2009-11-05,92.4949,39,19.3717,2023-01-21,2023-12-15,38.5699,2.7381,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0029,1,55.3600,5,10.0259,2009-02-06,2009-11-05,95.9795,39,15.8702,2023-01-21,2023-12-15,40.6195,2.8836,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0030,2,82.7200,5,8.1891,2009-02-06,2009-11-05,117.9821,39,14.6994,2023-01-21,2023-12-15,35.2621,2.5033,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0031,2,88.8833,6,9.6518,2009-02-06,2009-11-05,113.6184,38,12.6405,2023-01-21,2023-12-15,24.7351,1.7560,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0032,2,93.6167,6,7.8834,2009-02-06,2009-11-05,118.4053,38,11.5337,2023-01-21,2023-12-15,24.7886,1.7598,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0033,2,72.5714,7,8.2833,2008-12-04,2009-11-05,99.0132,38,12.7705,2023-01-21,2023-12-15,26.4417,1.8771,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0034,2,88.5000,8,8.0106,2008-12-04,2009-11-05,115.6289,38,12.3618,2023-01-21,2023-12-15,27.1289,1.9259,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
usa_NC_0032_0035,2,73.7875,8,10.0016,2008-12-04,2009-11-05,104.6974,38,11.5644,2023-01-21,2023-12-15,30.9099,2.1943,2009,2023,2009-05-30,2023-07-01,False,True,14.0862,182.6250
