domain_number,lrr_interval_yr,dune_interval_yr,n_coastsat_transects,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,n_dune_transects,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m
1,14.0,11.63,9,2.843,39.807,33.069,5,-0.156,-0.013,39.963,33.225
2,14.0,11.63,11,2.527,35.379,29.391,5,-55.325,-4.757,90.704,84.716
3,14.0,11.63,10,2.464,34.492,28.654,5,-35.694,-3.069,70.186,64.348
4,14.0,11.63,13,1.919,26.871,22.323,5,-12.282,-1.056,39.153,34.605
5,14.0,11.63,13,0.821,11.488,9.544,5,4.854,0.417,6.634,4.69
6,14.0,11.63,6,-1.388,-19.434,-16.145,5,-6.277,-0.54,-13.157,-9.868
7,14.0,11.63,4,-1.314,-18.394,-15.28,5,-27.05,-2.326,8.656,11.77
8,14.0,11.63,8,-0.324,-4.53,-3.763,5,-12.009,-1.033,7.479,8.246
9,14.0,11.63,9,0.137,1.92,1.595,5,-25.64,-2.205,27.56,27.235
10,14.0,11.63,10,0.714,10.0,8.307,5,-33.847,-2.91,43.847,42.154
11,14.0,11.63,10,0.792,11.081,9.206,5,-56.187,-4.831,67.268,65.393
12,14.0,11.63,10,0.617,8.637,7.175,5,-69.25,-5.954,77.887,76.425
13,14.0,11.63,11,0.564,7.896,6.56,5,-60.793,-5.227,68.689,67.353
14,14.0,11.63,10,1.057,14.797,12.292,5,-30.938,-2.66,45.735,43.23
15,14.0,11.63,10,1.252,17.532,14.565,5,-16.445,-1.414,33.977,31.01
16,14.0,11.63,10,1.033,14.467,12.019,5,14.13,1.215,0.337,-2.111
17,14.0,11.63,10,1.308,18.306,15.208,5,-12.401,-1.066,30.707,27.609
18,14.0,11.63,10,1.678,23.489,19.514,5,-8.343,-0.717,31.832,27.857
19,14.0,11.63,10,1.833,25.668,21.324,5,-6.113,-0.526,31.781,27.437
20,14.0,11.63,10,1.197,16.761,13.924,5,-6.676,-0.574,23.437,20.6
21,14.0,11.63,11,-0.043,-0.603,-0.501,5,-5.631,-0.484,5.028,5.13
22,14.0,11.63,10,-0.843,-11.798,-9.801,5,-10.922,-0.939,-0.876,1.121
23,14.0,11.63,10,-1.863,-26.084,-21.669,5,-20.953,-1.802,-5.131,-0.716
24,14.0,11.63,10,-2.273,-31.818,-26.432,5,-33.996,-2.923,2.178,7.564
25,14.0,11.63,10,-2.477,-34.677,-28.808,5,-24.096,-2.072,-10.581,-4.712
26,14.0,11.63,10,-1.547,-21.655,-17.989,5,-27.999,-2.407,6.344,10.01
27,14.0,11.63,10,0.007,0.095,0.079,5,-7.93,-0.682,8.025,8.009
28,14.0,11.63,10,1.902,26.632,22.124,5,-3.46,-0.297,30.092,25.584
29,14.0,11.63,10,2.921,40.896,33.974,5,1.919,0.165,38.977,32.055
30,14.0,11.63,10,3.173,44.423,36.904,5,27.073,2.328,17.35,9.831
31,14.0,11.63,11,2.595,36.327,30.179,5,29.252,2.515,7.075,0.927
32,14.0,11.63,10,1.48,20.725,17.217,5,16.97,1.459,3.755,0.247
33,14.0,11.63,11,1.353,18.949,15.741,5,12.595,1.083,6.354,3.146
34,14.0,11.63,10,1.816,25.42,21.117,5,3.395,0.292,22.025,17.722
35,14.0,11.63,11,0.6,8.398,6.976,5,-47.686,-4.1,56.084,54.662
36,14.0,11.63,10,0.006,0.083,0.069,5,-27.111,-2.331,27.194,27.18
37,14.0,11.63,11,-0.121,-1.689,-1.403,5,-24.88,-2.139,23.191,23.477
38,14.0,11.63,10,0.129,1.803,1.498,5,-24.258,-2.086,26.061,25.756
39,14.0,11.63,10,0.205,2.867,2.382,5,-13.873,-1.193,16.74,16.255
40,14.0,11.63,10,0.334,4.678,3.886,5,-16.89,-1.452,21.568,20.776
41,14.0,11.63,10,0.611,8.554,7.106,5,-13.511,-1.162,22.065,20.617
42,14.0,11.63,10,0.393,5.497,4.566,5,-10.077,-0.866,15.574,14.643
43,14.0,11.63,10,0.19,2.661,2.21,5,3.992,0.343,-1.331,-1.782
44,14.0,11.63,10,0.061,0.854,0.709,5,-1.593,-0.137,2.447,2.302
45,14.0,11.63,10,-0.504,-7.053,-5.859,5,-1.496,-0.129,-5.557,-4.363
46,14.0,11.63,10,-1.094,-15.31,-12.719,5,2.543,0.219,-17.853,-15.262
47,14.0,11.63,10,-1.028,-14.395,-11.958,5,-7.64,-0.657,-6.755,-4.318
48,14.0,11.63,10,-0.401,-5.612,-4.662,5,-19.041,-1.637,13.429,14.379
49,14.0,11.63,10,-0.293,-4.097,-3.404,5,-11.01,-0.947,6.913,7.606
50,14.0,11.63,10,-0.591,-8.279,-6.878,5,-22.362,-1.923,14.083,15.484
51,14.0,11.63,10,-0.663,-9.282,-7.711,5,-33.58,-2.887,24.298,25.869
52,14.0,11.63,10,-0.896,-12.544,-10.421,5,-25.413,-2.185,12.869,14.992
53,14.0,11.63,10,-0.987,-13.814,-11.476,5,-21.427,-1.842,7.613,9.951
54,14.0,11.63,10,-0.853,-11.94,-9.919,5,-3.808,-0.327,-8.132,-6.111
55,14.0,11.63,10,-0.449,-6.285,-5.221,5,-11.462,-0.986,5.177,6.241
56,14.0,11.63,11,-0.205,-2.875,-2.389,5,-5.626,-0.484,2.751,3.237
57,14.0,11.63,10,-0.004,-0.06,-0.05,5,-6.189,-0.532,6.129,6.139
58,14.0,11.63,10,0.314,4.395,3.651,5,-10.446,-0.898,14.841,14.097
59,14.0,11.63,10,0.247,3.458,2.873,5,-9.89,-0.85,13.348,12.763
60,14.0,11.63,10,-0.562,-7.862,-6.531,5,-1.714,-0.147,-6.148,-4.817
61,14.0,11.63,10,-1.299,-18.182,-15.104,5,11.147,0.958,-29.329,-26.251
62,14.0,11.63,10,-1.546,-21.638,-17.975,5,8.654,0.744,-30.292,-26.629
63,14.0,11.63,10,-0.816,-11.428,-9.494,5,-12.856,-1.105,1.428,3.362
64,14.0,11.63,10,-0.161,-2.249,-1.868,5,-5.465,-0.47,3.216,3.597
65,14.0,11.63,10,0.478,6.688,5.556,5,-4.1,-0.353,10.788,9.656
66,14.0,11.63,11,2.142,29.986,24.911,5,-4.947,-0.425,34.933,29.858
67,14.0,11.63,10,2.771,38.795,32.229,5,-5.928,-0.51,44.723,38.157
68,14.0,11.63,10,2.263,31.682,26.319,5,2.762,0.237,28.92,23.557
69,14.0,11.63,10,1.529,21.408,17.785,5,10.685,0.919,10.723,7.1
70,14.0,11.63,10,0.842,11.79,9.795,5,-4.22,-0.363,16.01,14.015
71,14.0,11.63,10,0.687,9.624,7.995,5,-3.799,-0.327,13.423,11.794
72,14.0,11.63,10,1.018,14.256,11.843,5,-3.2,-0.275,17.456,15.043
73,14.0,11.63,10,1.056,14.788,12.285,5,7.4,0.636,7.388,4.885
74,14.0,11.63,10,0.39,5.457,4.534,5,15.883,1.366,-10.426,-11.349
75,14.0,11.63,10,-0.937,-13.12,-10.9,5,14.054,1.208,-27.174,-24.954
76,14.0,11.63,10,-1.954,-27.362,-22.731,5,-22.8,-1.96,-4.562,0.069
77,14.0,11.63,10,-1.734,-24.27,-20.162,5,-57.317,-4.928,33.047,37.155
78,14.0,11.63,10,-1.936,-27.102,-22.515,5,-58.746,-5.051,31.644,36.231
79,14.0,11.63,10,-1.62,-22.681,-18.842,5,-23.736,-2.041,1.055,4.894
80,14.0,11.63,10,-2.516,-35.225,-29.263,5,-28.796,-2.476,-6.429,-0.467
81,14.0,11.63,10,-1.883,-26.358,-21.897,5,-61.284,-5.269,34.926,39.387
82,14.0,11.63,10,-1.489,-20.849,-17.32,5,-47.457,-4.08,26.608,30.137
83,14.0,11.63,10,-2.126,-29.763,-24.725,5,-34.846,-2.996,5.083,10.121
84,14.0,11.63,11,-1.587,-22.218,-18.457,5,-57.191,-4.917,34.973,38.734
85,14.0,11.63,12,-1.038,-14.539,-12.078,5,-53.277,-4.581,38.738,41.199
86,14.0,11.63,12,-0.544,-7.611,-6.323,5,-53.624,-4.611,46.013,47.301
87,14.0,11.63,11,0.032,0.445,0.369,5,-46.644,-4.011,47.089,47.013
88,14.0,11.63,10,1.004,14.057,11.678,5,-34.541,-2.97,48.598,46.219
89,14.0,11.63,9,1.182,16.552,13.75,5,-23.515,-2.022,40.067,37.265
90,14.0,11.63,10,1.194,16.719,13.889,5,-13.074,-1.124,29.793,26.963
