Profile,XMHW,YMHW,MHW Lat,MHW Lon,MHW CI,MHW Lidar Error,MHW X Error,MHW Error,XCrest,YCrest,Crest Lat,Crest Lon,XHeel,YHeel,Heel Lat,Heel Lon,XToe,YToe,Toe Lat,Toe Lon,Foreshore Slope,Dune Volume,Beach Volume,Profile Volume,Orientation,Dune Height,Dune Width,Dune Aspect Ratio,Dune Face Slope,Beach Width,Beach Slope
1,123.67552149066206,0.5832,-75.62227015839214,35.95773297857197,0.011789912321743468,-0.002255251933478283,-13.396256120982642,13.396261498909267,62.999973203959485,5.5936,-75.6231386502841,35.9574024391056,56.99999938995118,4.1293,-75.62319888982057,35.95737951253399,72.99996047265839,3.4351,-75.62303825129963,35.95744065120302,0.015035012889855223,19.416681336756312,70.90122787083953,302.83286141618754,335.9524990818169,2.1585000000000005,15.999961082707209,0.13490657813742507,0.2158502748054841,50.67556101800368,0.05627762066584316
2,116.72183257249324,0.8265,-75.62306927501017,35.95842399479296,2.112000266356565e-06,-0.0006341813299973751,-115.06963508405249,115.06963508580009,62.999973203959485,7.2912,-75.6236086448152,35.95821871400743,46.00001013100959,2.9793,-75.62377932513651,35.958153754533534,72.99996047265839,3.4649,-75.62350824503783,35.95825692647939,0.004227875533315834,56.254008408140066,59.109220639905686,270.139843929646,336.0505102838591,3.8263,26.9999503416488,0.14171507545692547,0.3826304871383941,43.721872099834854,0.06034508298216182
3,9999.0,9999.0,9999.0,9999.0,,,,,69.99995083944572,5.7651,-75.62400836857867,35.959061735759725,53.99998975677848,3.2621,-75.62416900959127,35.95900059585227,107.78146472719881,1.1881,-75.62362903745436,35.959206106884714,9999.0,126.09555650174178,0.013757751571120025,0.0,336.14734965113445,4.577,53.78147497042033,0.08510365330287684,0.12114390158102262,9891.218535272801,-1.0107765655310395
4,9999.0,9999.0,9999.0,9999.0,,,,,71.00009147610176,6.2165,-75.624475194268,35.95983456696252,41.00006842542793,2.88,-75.62476806676209,35.95970644995233,148.50999569958014,-1.5375,-75.62371850663968,35.96016557475798,9999.0,421.43489497488855,0.01475022363433709,0.0,339.06832973732674,7.754,107.5099272741522,0.07212357218163828,0.10003882829790994,9850.49000430042,-1.015232490529311
5,9999.0,9999.0,9999.0,9999.0,,,,,73.99996710178249,7.7726,-75.62497119435334,35.96064106536423,63.00000812700994,5.6961,-75.62507858074653,35.96059408809654,148.50994535026467,-1.4724,-75.62424378784267,35.96095926431941,9999.0,296.02241172599605,0.0052154434611111355,0.0,339.15702516665726,9.245,85.50993722325472,0.10811608919630676,0.12407734128131122,9850.490054649736,-1.0152258765318452
6,9999.0,9999.0,9999.0,9999.0,,,,,79.96691130116332,7.269,-75.62545924084144,35.96150012587825,57.99994262872714,3.4232,-75.62568110587097,35.961418494837815,148.5098952567232,-0.8308,-75.62476695738737,35.96175483338956,9999.0,323.86672199486645,0.0,0.0,335.7479744291762,8.0998,90.50995262799607,0.08949071085354443,0.11817110275285851,9850.490104743276,-1.0151607375540443
7,9999.0,9999.0,9999.0,9999.0,,,,,89.90066252085684,4.4582,-75.62581600180354,35.962358151032625,85.92717068477772,3.5625,-75.62585613467687,35.96234338595103,148.50989525673612,-1.28,-75.62522404440688,35.96257594695991,9999.0,175.58809425620984,0.0,0.0,335.85140883310856,5.7382,62.582724571958394,0.09168983995578758,0.0979060760931477,9850.490104743263,-1.015206339345959
8,117.71532584503309,0.8082,-75.62585170585957,35.963334303203695,0.00012022823812012436,7.311524254544295e-06,9700.101468202634,9700.101468202634,82.94704099291152,7.0616,-75.62634333575171,35.963153420646464,71.00009156395735,3.7572,-75.62646400123137,35.963109023990654,92.88079221258431,3.3189,-75.6262430032541,35.963190335080874,-4.8743495030295304e-05,39.88591850044878,24.99229510167322,267.08702572796864,335.94075186624883,3.7427,21.880700648626956,0.17105028125481256,0.3767660289889244,24.83453363244878,0.10109712697481547
9,9999.0,9999.0,9999.0,9999.0,,,,,83.94035014326012,5.8221,-75.62678875555063,35.963984433064546,80.96025959154596,4.3571,-75.62681897086522,35.963973568943715,148.50995192524934,-0.983,-75.62613407211022,35.96421981223632,9999.0,189.01185051503194,0.0,0.0,335.56834099844514,6.8050999999999995,67.54969233370338,0.1007421316796235,0.1053916984493187,9850.490048074751,-1.0151761944020712
10,9999.0,9999.0,9999.0,9999.0,,,,,81.95374215738245,6.6181,-75.62725731334434,35.96480146170399,73.00000581043655,4.5338,-75.62734809731674,35.964768821372736,139.56958727417867,-1.588,-75.6266731312822,35.965011495097606,9999.0,251.16729478167852,0.0,0.0,335.67159031594406,8.2061,66.56958146374213,0.12327101687532081,0.14242783358232386,9859.430412725822,-1.0143170123795369
11,9999.0,9999.0,9999.0,9999.0,,,,,79.9668205560941,7.1659,-75.62772588284156,35.96561848835022,57.99994598886714,3.3456,-75.62794861152182,35.96553840819316,148.50986189680899,-0.9594,-75.62703090090947,35.96586835766377,9999.0,316.46442162808336,0.0,0.0,335.78478734063174,8.1253,90.50991590794185,0.08977248424652486,0.11854303283116115,9850.49013810319,-1.0151737893040103
12,9999.0,9999.0,9999.0,9999.0,,,,,78.9734715489638,7.0783,-75.6281843886773,35.96643913499612,68.99995345110761,4.2763,-75.62828551415565,35.96640277650087,148.50986189682163,-0.7195,-75.62747932903062,35.96669262796602,9999.0,275.6651999086696,0.0,0.0,335.89206318688485,7.7978,79.50990844571402,0.09807331126942506,0.1121398444899322,9850.490138103178,-1.0151494351859285
13,9999.0,9999.0,9999.0,9999.0,,,,,81.95357199741936,7.5031,-75.62860157785695,35.967276689685754,60.99993629147002,3.1593,-75.62881432390898,35.96720083218659,147.51654570931026,-1.2343,-75.62793590277501,35.96751404236762,9999.0,344.8610590415384,0.0,0.0,335.8227924091207,8.7374,86.51660941784024,0.10099101269447454,0.13326729257881922,9851.48345429069,-1.0150993346737565
14,9999.0,9999.0,9999.0,9999.0,,,,,77.98013067540938,7.1211,-75.62908726258406,35.9680876829622,61.00002645285539,3.0581,-75.62925966597648,35.96802620989286,148.50989796624725,-1.1271,-75.62837115204061,35.96834301785481,9999.0,322.89139002616525,0.0,0.0,335.932243264752,8.2482,87.50987151339186,0.09425450931827455,0.1169463662908112,9850.490102033753,-1.0151908175548903
15,9999.0,9999.0,9999.0,9999.0,,,,,63.000003262985366,4.152,-75.6296873584185,35.968867146644094,49.00008978790566,3.3414,-75.62983017150441,35.96881771728352,148.5100430119538,-0.5965,-75.62881506938017,35.96916905721801,9999.0,358.575723601267,0.0,0.0,335.40374998723706,4.7485,99.50995322404813,0.047718844659776716,0.055531490968079966,9850.489956988045,-1.0151369671623467
16,9999.0,9999.0,9999.0,9999.0,,,,,77.9801652414269,6.8385,-75.6299688814636,35.969749285081576,52.99992786313374,2.7741,-75.63022370612056,35.969661084928404,148.5099101122969,-1.4256,-75.62924939981008,35.969998306180884,9999.0,345.95733483671063,0.0,0.0,335.5157473645086,8.2641,95.50998224916316,0.08652603429912592,0.11717184026583961,9850.490089887702,-1.015221121867451
17,9999.0,9999.0,9999.0,9999.0,,,,,78.97358319714856,6.888,-75.63039726557817,35.97060698749454,72.00002415178542,4.9728,-75.63046950747488,35.9705845887397,148.50996921187127,-1.3759,-75.62967691306044,35.97083034352403,9999.0,231.54133681736621,0.05513406189561465,0.0,333.1741627182373,8.2639,76.50994506008584,0.10801079511310693,0.11884281702891938,9850.490030788129,-1.0152160825241583
18,126.655705598049,0.3311,-75.6301227500735,35.97165037579955,0.016949705415577263,-0.011645938079503019,1.2487251812446374,1.2488945106220457,74.00007475147393,6.2579,-75.63081890355858,35.97136068088441,56.000098307851324,3.9384,-75.63099655200783,35.97128675368186,84.93380085435624,3.0138,-75.63071099388483,35.971405585544545,0.07763958719668679,43.115139920387776,50.60479845511071,352.49391433245415,339.44089796024105,3.2441000000000004,28.93370254650491,0.11212184112233076,0.2967058045422232,41.72190474369276,0.0642995571865772
19,126.65561818171406,0.7558,-75.63080447008929,35.97237920618934,0.36037465657193124,-0.000377494358402704,-178.14835772532078,178.148722224619,76.98670107562234,4.6295,-75.63129467658048,35.972175211989835,57.999956472846684,3.2537,-75.63148206528032,35.97209723142089,94.8674716054145,2.4191,-75.63111820289281,35.97224864992379,0.0025166290560180264,45.242510634704615,28.78453811058864,264.54144875262375,339.5365895529453,2.2104000000000004,36.86751513256781,0.059955220525491563,0.12361883378107942,31.788146576299567,0.05232453537382749
21,138.57621353385255,0.577,-75.6315677872827,35.97408671812618,0.005910181158758248,-0.0021892252379204606,-12.716311978690271,12.71631354057968,70.00007770889667,7.6369,-75.63234386308318,35.97378647894675,67.0000328558238,6.609,-75.63237389869994,35.97377485905875,94.86749652950257,2.9326,-75.63209489728139,35.97388279648626,0.014594834919469737,81.93952316197272,33.375884611872834,489.2268458296119,338.3412724453869,4.7043,27.86746367367877,0.16880976521890223,0.18917524307355424,43.70871700434998,0.05389313989165058
22,124.66891702209682,0.7876,-75.63202439213131,35.97490822617647,0.001067932079599606,-0.00016251560176594985,-409.2371866794182,409.2371866808439,75.00000340835886,7.3665,-75.63277030746637,35.97461965468026,72.00000456800831,7.3154,-75.63280034329426,35.97460803559189,85.92720647584405,2.918,-75.63266090692422,35.97466197960555,0.0010834373451063324,34.808756240653224,26.278043193000713,322.9569502523697,338.4367873263117,4.4485,13.927201907835737,0.31941089311681337,0.4071032607819735,38.741710546252776,0.054989828016410586
23,9999.0,9999.0,9999.0,9999.0,,,,,60.999964689899635,6.738,-75.63338603625435,35.97538120973805,49.999950204388554,5.508,-75.63349626115672,35.97533876440694,116.72180354122301,1.2372,-75.63282767568414,35.975596216706634,9999.0,233.45750378313926,0.008195790817353554,0.0,338.4459254783582,5.5008,66.72185333683446,0.08244375305688982,0.09871892445396852,9882.278196458778,-1.0116860304117532
24,9999.0,9999.0,9999.0,9999.0,,,,,75.99338025819712,5.546,-75.63371050334476,35.97625356838636,64.99989570028319,4.1596,-75.63382066386615,35.97621114802738,142.54961479360256,-0.8771,-75.63304356972334,35.976510381245824,9999.0,277.6643348670499,0.0,0.0,338.56269373489926,6.4231,77.54971909331937,0.08282557403297322,0.09650636104696023,9856.450385206397,-1.0145515585416909
25,9999.0,9999.0,9999.0,9999.0,,,,,76.9867367592492,7.0427,-75.63417285112959,35.97708581945663,59.99994420740288,3.7928,-75.63434448797874,35.97702276406705,148.5098797312395,-1.0938,-75.63345016552395,35.977351306778026,9999.0,320.2357443021375,0.031146172048636345,0.0,337.7410519800212,8.1365,88.50993552383662,0.09192753278877668,0.11376038107254871,9850.49012026876,-1.0151874351331422
26,122.68213319858188,0.8151,-75.63389680054398,35.97817628861982,0.0013707952693208037,-0.0002451249231129723,-288.6052196520169,288.60521965537646,52.00007695862735,6.3006,-75.63488200110886,35.97781435867187,0.0,2.8604,-75.6354074215739,35.97762133376504,113.74185139453525,0.848,-75.63425814634685,35.97804354420288,0.0016341661540864821,419.57316432294454,0.02701916165744933,424.36494726581367,337.83795075435336,5.4526,113.74185139453525,0.04793837917308573,0.08831297852736911,8.940281804046634,0.0036799734864183388
27,9999.0,9999.0,9999.0,9999.0,,,,,77.9801011429823,7.2442,-75.63507618054815,35.97873208489575,65.00008307937098,4.2557,-75.63520733581265,35.978683904074444,123.67545215649669,1.016,-75.63461445790682,35.97890170605323,9999.0,153.7383264059547,0.001986817269198582,0.0,337.9448643654014,6.2282,58.67536907712571,0.1061467545574934,0.13629832930177105,9875.324547843504,-1.0124208021277925
28,125.66218092405671,0.774,-75.63489047533783,35.979789370352314,0.0025280056075389864,-0.0003838084354341106,-174.71358206433985,174.71358208305082,72.99995032823608,7.0521,-75.635583199435,35.97953488651882,46.999979987428404,4.71,-75.63584591313897,35.979438371509,87.9138358323554,3.7903,-75.63543250262813,35.97959024680168,0.002558722902894071,92.79790594242803,55.02512136815636,400.82151949271497,338.05514179772706,3.2618000000000005,40.913855844927,0.07972360298581925,0.2187089339729119,37.74834509170131,0.07990548970219917
29,128.64239707657157,0.4883,-75.63536730594974,35.980603022208534,0.010612123718735794,-0.0019231824076150325,-20.907166383214047,20.90716916493469,75.99332279907806,7.8865,-75.63600903974617,35.98036581406258,61.000019543976094,6.9984,-75.6361603809078,35.980309872918404,88.90720810470833,3.9333,-75.63587868770686,35.980413996265014,0.012821216050766884,74.11982298438113,74.22618545686976,490.5126109790345,338.2865336980209,3.9532,27.907188560732237,0.14165525815676341,0.3061201107521421,39.73518897186324,0.08669897109183067
30,9999.0,9999.0,9999.0,9999.0,,,,,47.99995510514435,4.7433,-75.63675065828316,35.98108178998411,30.000022859971743,3.5243,-75.63693234745168,35.98101462686581,148.50994611808483,-1.0483,-75.63573610891265,35.98145680353821,9999.0,587.3754698996635,0.0,0.0,338.4076917558707,5.7916,118.50992325811308,0.04887016918731751,0.05762213230378602,9850.490053881915,-1.015182822915409
31,125.6622862918533,0.6299,-75.63640573829139,35.98219939238376,0.0018928626187754653,-0.0003143114891320366,-161.91863249240055,161.9186325037696,46.99993748008289,3.9109,-75.63721981483228,35.981898475752295,34.99993709610481,2.9582,-75.63734094370338,35.981853702071966,47.99991130410473,3.8798,-75.637209721206,35.98190220712478,0.0020954099275469107,6.974012558392076,277.4907886240534,396.72178913134866,338.50363983713595,0.031099999999999905,12.99997420799992,0.002392312438655578,0.03110081409423051,77.66237498774858,0.041846518349621414
32,131.6225510043154,0.4318,-75.63674447774544,35.9830642874808,0.011541743803250888,-0.0024771121374544992,-13.525463480634727,13.525468631952027,88.90725190512445,3.8708,-75.63725587290904,35.982875257784286,87.91389668215851,4.0027,-75.6372659001403,35.9828715516313,89.9007411601004,3.8167,-75.637245844531,35.98287896480672,0.01651408091636333,0.05374414312831277,79.28346904252601,415.81224684551614,338.61362191109544,0.05410000000000004,1.9868444779418866,0.027229106555959844,0.05445453962288717,41.721809844215,0.0811302293126514
33,125.66225573489628,0.5297,-75.63716304006077,35.98389978534204,0.01563318377275778,-0.002874239122313991,-14.168001290031171,14.168010206518426,3.0000747891583117,2.8695,-75.63858276823886,35.98337727353857,0.0,2.8369,-75.63861307438727,35.98336612035118,40.99994327180305,0.922,-75.6381989060329,35.983518552452644,0.019161594148759942,82.71285800252633,328.5614847780916,428.60284450704637,338.63878339537905,1.9474999999999998,40.99994327180305,0.04750006572178252,0.05125017737599435,84.66231246309323,0.004633702867152549
34,9999.0,9999.0,9999.0,9999.0,,,,,1.0000249297194372,2.8205,-75.6390604139295,35.984190858526546,0.0,2.8236,-75.63907051605975,35.984187140759914,148.50992285493257,-0.5444,-75.63757029450448,35.98473927501447,9999.0,563.9031794483564,0.0,0.0,338.76121041788053,3.3649,148.50992285493257,0.022657745255762477,0.022811350609882392,9850.490077145067,-1.0151316657026808
35,123.67553352076612,0.7584,-75.63821840116691,35.985490130889566,0.005855621112497082,0.0008214473421010133,83.48312335730887,83.48312356671092,64.00002307828309,8.2498,-75.6388814476437,35.98524610568348,53.99999841332197,5.0419,-75.63898246702071,35.98520892715057,81.95360042153342,4.0955,-75.63870008300897,35.9853128559974,-0.005476315614006756,73.68857825272306,68.56012785414646,398.9781590443307,338.85531127006396,4.1543,27.953602008211455,0.14861412131358462,0.23139121081970965,41.7219330992327,0.07998430926158051
36,125.66225573489628,0.3819,-75.63847514769664,35.98638501604201,0.014371403598268724,-0.004938547256807214,1.6881247415157645,1.6881931374721493,66.00002657769743,7.7847,-75.63931870010295,35.98607456281913,50.000032653833074,3.4107,-75.63948033112139,35.98601507526908,91.88739180900586,2.8415,-75.63905718548808,35.9861708083197,0.03292364837871476,101.6993911624192,37.10520036077287,388.20248337533974,338.96661130030145,4.9432,41.88735915517279,0.1180117367076733,0.19095029393032417,33.774863925890415,0.07282338739830044
