domain_number,target_coastsat_w00_m,target_duneline_w00_m,target_coastsat_w03_m,target_duneline_w03_m,target_coastsat_w05_m,target_duneline_w05_m,target_coastsat_w10_m,target_duneline_w10_m,model_ends_solved_on_coastsat_w00_m,model_ends_solved_on_coastsat_w03_m,model_ends_solved_on_coastsat_w05_m,model_ends_solved_on_coastsat_w10_m,model_ends_solved_on_duneline_w00_m,model_ends_solved_on_duneline_w03_m,model_ends_solved_on_duneline_w05_m,model_ends_solved_on_duneline_w10_m,model_ends_unsolved_w00_m,model_ends_unsolved_w03_m,model_ends_unsolved_w05_m,model_ends_unsolved_w10_m
80,-35.225,-34.663,-27.189,-40.077,-25.257,-46.227,-26.087,-51.511,-24.43,-24.43,-24.43,-24.659,-30.52,-30.52,-30.714,-30.809,-29.704,-29.704,-29.885,-29.925
81,-26.358,-73.77,-24.523,-51.257,-24.63,-45.899,-25.819,-52.292,-21.835,-21.835,-19.471,-19.645,-29.839,-29.839,-27.857,-28.308,-28.771,-28.771,-26.76,-27.161
82,-20.849,-57.126,-23.42,-51.856,-24.296,-49.782,-24.656,-53.804,-14.511,-14.511,-14.511,-14.27,-24.91,-24.91,-25.215,-25.679,-23.548,-23.548,-23.831,-24.21
83,-29.763,-41.945,-26.591,-51.705,-24.079,-54.551,-22.043,-56.576,-9.633,-9.633,-9.138,-8.66,-23.016,-23.016,-22.728,-23.256,-21.311,-21.311,-20.988,-21.404
84,-22.218,-68.843,-22.474,-63.801,-21.43,-60.613,-18.069,-58.254,-3.1,-3.1,-2.976,-2.846,-20.084,-20.084,-20.185,-21.308,-17.925,-17.925,-18.014,-18.97
85,-14.539,-64.132,-14.336,-66.07,-14.622,-64.687,-12.865,-57.21,3.89,3.89,3.365,3.104,-17.545,-17.545,-18.432,-20.256,-14.879,-14.879,-15.674,-17.301
86,-7.611,-64.549,-7.548,-64.82,-7.132,-61.582,-6.211,-52.898,9.133,9.133,9.44,9.0,-17.662,-17.662,-17.658,-20.031,-14.296,-14.296,-14.276,-16.419
87,0.445,-56.147,1.302,-55.84,1.82,-53.779,0.774,-46.034,15.475,15.475,15.105,14.739,-17.762,-17.762,-18.583,-20.884,-13.636,-13.636,-14.388,-16.587
88,14.057,-41.578,11.636,-40.996,9.652,-41.867,7.655,-38.754,20.551,20.551,20.588,20.47,-20.391,-20.391,-20.702,-21.806,-15.348,-15.348,-15.638,-16.81
89,16.552,-28.306,16.175,-28.529,14.464,-28.356,14.587,-30.978,25.76,25.76,26.035,26.176,-24.186,-24.186,-24.462,-22.868,-18.127,-18.127,-18.329,-17.156
90,16.719,-15.739,16.687,-14.844,18.487,-14.906,21.485,-22.677,31.695,31.695,31.529,31.851,-28.566,-28.566,-28.361,-24.108,-21.295,-21.295,-21.132,-17.665
