domain_number,target_coastsat_w00_m,target_duneline_w00_m,target_coastsat_w03_m,target_duneline_w03_m,target_coastsat_w05_m,target_duneline_w05_m,target_coastsat_w10_m,target_duneline_w10_m,model_ends_solved_on_coastsat_w00_m,model_ends_solved_on_coastsat_w03_m,model_ends_solved_on_coastsat_w05_m,model_ends_solved_on_coastsat_w10_m,model_ends_solved_on_duneline_w00_m,model_ends_solved_on_duneline_w03_m,model_ends_solved_on_duneline_w05_m,model_ends_solved_on_duneline_w10_m,model_ends_unsolved_w00_m,model_ends_unsolved_w03_m,model_ends_unsolved_w05_m,model_ends_unsolved_w10_m
1,39.807,14.588,39.807,14.588,39.807,14.588,39.807,14.588,54.185,54.185,54.185,54.185,18.519,18.519,18.519,18.519,-22.535,-22.535,-22.535,-22.535
2,35.379,18.352,35.379,18.352,35.379,18.352,35.379,18.352,44.019,44.019,44.019,44.019,14.525,14.525,14.525,14.525,-19.354,-19.354,-19.354,-19.354
3,34.492,22.403,34.492,22.403,34.492,22.403,34.492,22.403,35.044,35.044,35.044,35.044,10.823,10.823,10.823,10.823,-16.838,-16.838,-16.838,-16.838
4,26.871,19.295,26.871,19.295,26.871,19.295,26.871,19.295,26.013,26.013,26.013,26.013,6.355,6.355,6.355,6.355,-16.059,-16.059,-16.059,-16.059
5,11.488,5.223,11.488,5.223,11.488,5.223,11.488,5.223,18.021,18.021,18.021,18.021,2.271,2.271,2.271,2.271,-15.794,-15.794,-15.794,-15.794
6,-19.434,-30.15,-19.434,-30.15,-19.434,-30.15,-19.434,-30.15,-3.332,-3.332,-3.332,-3.332,-15.758,-15.758,-15.758,-15.758,-30.044,-30.044,-30.044,-30.044
7,-18.394,-38.586,-18.394,-38.586,-18.394,-38.586,-18.394,-38.586,1.605,1.605,1.605,1.605,-8.1,-8.1,-8.1,-8.1,-19.287,-19.287,-19.287,-19.287
8,-4.53,-39.505,-4.53,-39.505,-4.53,-39.505,-4.53,-39.505,4.342,4.342,4.342,4.342,-3.159,-3.159,-3.159,-3.159,-11.857,-11.857,-11.857,-11.857
9,1.92,-11.709,1.92,-11.709,1.92,-11.709,1.92,-11.709,7.415,7.415,7.415,7.415,1.677,1.677,1.677,1.677,-5.027,-5.027,-5.027,-5.027
10,10.0,-6.635,10.0,-6.635,10.0,-6.635,10.0,-6.635,9.113,9.113,9.113,9.113,4.768,4.768,4.768,4.768,-0.346,-0.346,-0.346,-0.346
11,11.081,12.885,10.608,10.5,9.451,9.33,7.931,4.979,11.125,11.125,11.125,9.551,7.869,7.869,7.869,5.506,4.012,4.012,4.012,0.518
12,8.637,22.573,8.777,20.704,9.403,17.559,10.023,10.885,13.18,13.18,11.127,8.927,10.768,10.768,8.615,5.571,7.894,7.894,5.629,1.601
