domain_number,window_domains,window_km,total_change_m,observed_m,observed_minus_total_m
68,3,1.5,54.875,32.572,-22.303
69,3,1.5,47.118,30.701,-16.417
70,3,1.5,17.714,13.27,-4.443
71,3,1.5,-2.619,6.955,9.575
72,3,1.5,-9.494,4.69,14.184
73,3,1.5,-1.086,7.89,8.977
74,3,1.5,7.433,2.18,-5.253
75,3,1.5,-9.756,-32.479,-22.723
76,3,1.5,-34.398,-63.38,-28.982
77,3,1.5,-42.572,-66.477,-23.905
78,3,1.5,-37.107,-55.197,-18.09
79,3,1.5,-34.189,-47.707,-13.518
80,3,1.5,-42.09,-59.085,-16.995
81,3,1.5,-43.253,-52.868,-9.615
82,3,1.5,-35.202,-37.913,-2.711
83,3,1.5,-33.265,-40.547,-7.282
84,3,1.5,-41.655,-46.692,-5.037
85,3,1.5,-39.149,-38.854,0.295
86,3,1.5,-34.491,-35.816,-1.325
87,3,1.5,-26.476,-27.775,-1.299
88,3,1.5,-14.273,-11.7,2.573
89,3,1.5,-6.039,0.397,6.437
90,3,1.5,-3.868,4.876,8.744
1,5,2.5,45.22,11.527,-33.694
2,5,2.5,39.025,-4.125,-43.15
3,5,2.5,28.975,1.305,-27.671
4,5,2.5,25.753,12.836,-12.917
5,5,2.5,1.395,10.18,8.785
6,5,2.5,-18.837,-13.241,5.596
7,5,2.5,-28.751,-27.056,1.696
8,5,2.5,-15.339,-18.935,-3.595
9,5,2.5,-17.83,-25.403,-7.573
10,5,2.5,-19.074,-35.035,-15.961
11,5,2.5,-26.18,-34.156,-7.975
12,5,2.5,-28.39,-29.785,-1.395
13,5,2.5,-24.497,-22.834,1.663
14,5,2.5,-13.645,-15.457,-1.811
15,5,2.5,0.498,-4.573,-5.071
16,5,2.5,11.863,7.464,-4.399
17,5,2.5,18.729,15.905,-2.824
18,5,2.5,19.871,16.199,-3.672
19,5,2.5,14.632,9.985,-4.647
20,5,2.5,4.222,1.668,-2.554
21,5,2.5,-6.051,-6.193,-0.142
22,5,2.5,-14.595,-12.397,2.199
23,5,2.5,-24.242,-22.871,1.371
24,5,2.5,-33.493,-35.274,-1.781
25,5,2.5,-30.201,-31.07,-0.869
26,5,2.5,-9.135,-5.229,3.906
27,5,2.5,16.614,26.099,9.486
28,5,2.5,34.771,44.447,9.676
29,5,2.5,35.262,39.028,3.767
30,5,2.5,29.97,24.156,-5.813
31,5,2.5,26.473,12.717,-13.757
32,5,2.5,23.984,4.383,-19.601
33,5,2.5,13.957,-9.393,-23.35
34,5,2.5,-4.669,-28.637,-23.969
35,5,2.5,-25.348,-42.23,-16.882
36,5,2.5,-35.844,-38.75,-2.905
37,5,2.5,-28.52,-21.765,6.754
38,5,2.5,-11.325,-4.965,6.36
39,5,2.5,4.133,3.695,-0.438
40,5,2.5,12.4,4.885,-7.515
41,5,2.5,15.978,6.585,-9.393
42,5,2.5,16.587,9.174,-7.413
43,5,2.5,14.775,10.895,-3.879
44,5,2.5,10.558,7.536,-3.022
45,5,2.5,2.173,-1.165,-3.338
46,5,2.5,-7.192,-11.063,-3.87
47,5,2.5,-9.436,-13.529,-4.093
48,5,2.5,-2.526,-9.157,-6.631
49,5,2.5,2.653,-4.497,-7.149
50,5,2.5,2.439,-4.854,-7.293
51,5,2.5,-0.773,-6.942,-6.169
52,5,2.5,-2.218,-8.197,-5.978
53,5,2.5,-0.705,-8.358,-7.653
54,5,2.5,0.921,-8.376,-9.297
55,5,2.5,3.337,-5.965,-9.302
56,5,2.5,2.986,-4.063,-7.049
57,5,2.5,2.051,0.285,-1.766
58,5,2.5,1.68,6.865,5.186
59,5,2.5,0.329,9.403,9.074
60,5,2.5,-3.595,4.709,8.305
61,5,2.5,-8.906,-4.434,4.472
62,5,2.5,-15.866,-15.718,0.149
63,5,2.5,-22.457,-26.755,-4.297
64,5,2.5,-27.734,-36.079,-8.345
65,5,2.5,-23.632,-35.022,-11.39
66,5,2.5,-7.345,-20.735,-13.389
67,5,2.5,17.746,4.202,-13.544
68,5,2.5,30.421,23.451,-6.97
69,5,2.5,32.907,25.774,-7.133
70,5,2.5,19.079,16.835,-2.245
71,5,2.5,0.819,7.795,6.976
72,5,2.5,-6.56,5.642,12.202
73,5,2.5,-4.976,2.647,7.623
74,5,2.5,-5.609,-12.05,-6.441
75,5,2.5,-13.594,-32.784,-19.191
76,5,2.5,-28.131,-54.426,-26.295
77,5,2.5,-38.164,-62.117,-23.952
78,5,2.5,-36.892,-56.618,-19.726
79,5,2.5,-34.598,-53.448,-18.85
80,5,2.5,-35.888,-52.161,-16.272
81,5,2.5,-36.689,-48.488,-11.8
82,5,2.5,-35.791,-42.488,-6.696
83,5,2.5,-36.151,-41.073,-4.922
84,5,2.5,-39.113,-42.756,-3.643
85,5,2.5,-38.778,-40.271,-1.493
86,5,2.5,-33.704,-34.388,-0.684
87,5,2.5,-25.328,-25.247,0.081
88,5,2.5,-15.479,-12.484,2.994
89,5,2.5,-8.176,-1.923,6.254
90,5,2.5,-1.814,7.431,9.245
1,10,5.0,45.22,11.527,-33.694
2,10,5.0,39.025,-4.125,-43.15
3,10,5.0,28.975,1.305,-27.671
4,10,5.0,25.753,12.836,-12.917
5,10,5.0,1.395,10.18,8.785
6,10,5.0,-18.837,-13.241,5.596
7,10,5.0,-28.751,-27.056,1.696
8,10,5.0,-15.339,-18.935,-3.595
9,10,5.0,-17.83,-25.403,-7.573
10,10,5.0,-19.074,-35.035,-15.961
11,10,5.0,-22.067,-27.28,-5.213
12,10,5.0,-20.342,-25.096,-4.754
13,10,5.0,-16.552,-20.255,-3.702
14,10,5.0,-9.961,-12.367,-2.405
15,10,5.0,-1.663,-3.913,-2.25
16,10,5.0,6.317,3.006,-3.311
17,10,5.0,11.093,7.152,-3.941
18,10,5.0,11.607,8.386,-3.221
19,10,5.0,8.563,6.48,-2.083
20,10,5.0,2.612,1.332,-1.279
21,10,5.0,-5.608,-6.114,-0.506
22,10,5.0,-14.588,-14.285,0.303
23,10,5.0,-20.033,-18.994,1.039
24,10,5.0,-18.683,-16.435,2.248
25,10,5.0,-11.439,-7.8,3.64
26,10,5.0,-2.422,1.359,3.782
27,10,5.0,5.935,8.029,2.094
28,10,5.0,16.008,16.78,0.772
29,10,5.0,24.726,22.87,-1.856
30,10,5.0,28.278,21.685,-6.593
31,10,5.0,25.435,13.167,-12.268
32,10,5.0,18.243,0.587,-17.656
33,10,5.0,8.733,-11.3,-20.034
34,10,5.0,-0.426,-18.625,-18.199
35,10,5.0,-5.249,-21.718,-16.47
36,10,5.0,-7.318,-21.433,-14.115
37,10,5.0,-7.977,-17.828,-9.851
38,10,5.0,-5.148,-10.932,-5.785
39,10,5.0,1.936,-2.871,-4.807
40,10,5.0,8.714,3.415,-5.299
41,10,5.0,12.545,6.778,-5.766
42,10,5.0,13.334,7.265,-6.069
43,10,5.0,11.303,5.66,-5.643
44,10,5.0,7.274,2.541,-4.733
45,10,5.0,3.313,-0.672,-3.985
46,10,5.0,0.976,-3.241,-4.218
47,10,5.0,-0.566,-5.647,-5.081
48,10,5.0,-1.89,-7.455,-5.565
49,10,5.0,-1.948,-7.769,-5.821
50,10,5.0,-0.737,-7.092,-6.354
51,10,5.0,0.29,-6.681,-6.971
52,10,5.0,0.295,-7.117,-7.412
53,10,5.0,0.275,-7.343,-7.618
54,10,5.0,0.802,-6.685,-7.486
55,10,5.0,1.501,-4.988,-6.49
56,10,5.0,1.975,-2.084,-4.06
57,10,5.0,1.815,0.821,-0.994
58,10,5.0,0.396,2.198,1.802
59,10,5.0,-1.974,1.998,3.972
60,10,5.0,-5.38,-0.571,4.809
61,10,5.0,-9.96,-6.375,3.586
62,10,5.0,-14.906,-14.208,0.697
63,10,5.0,-18.371,-20.762,-2.391
64,10,5.0,-19.613,-23.662,-4.049
65,10,5.0,-18.024,-21.764,-3.74
