domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
1,9,2.7908,0.6913,0.3254,0.717,0.2222,29.0,29.0,29.0,2024.0,0.0,29.0,29.0,29.0,2024.0,0.3333,29.0,29.0,29.0,2024.0,1.0,29.0,29.0,29.0,2024.0,0.2222,29.0,29.0,29.0,2024.0,1.0,29.0,28.0,29.0,2024.0,1.0,29.0,29.0,29.0,2024.0
2,11,2.5167,0.2979,0.075,0.4654,0.1818,29.0,29.0,29.0,2024.0,0.3636,29.0,29.0,29.0,2024.0,0.8182,28.0,28.0,29.0,2023.0,0.9091,28.0,28.0,28.0,2023.0,0.8182,28.0,28.0,29.0,2023.0,1.0,26.0,8.5,27.0,2021.0,1.0,29.0,28.0,29.0,2024.0
3,10,2.475,-0.3177,-0.5929,-0.1913,0.2,29.0,29.0,29.0,2024.0,0.5,28.0,27.0,28.0,2023.0,0.7,26.0,26.0,26.0,2021.0,0.6,26.0,26.0,26.0,2021.0,0.7,26.0,26.0,26.0,2021.0,1.0,11.0,7.5,12.75,2006.0,0.8,27.0,26.0,27.75,2022.0
4,13,1.9336,-0.0056,-0.1243,0.0219,0.8462,28.0,28.0,28.0,2023.0,0.8462,28.0,28.0,28.0,2023.0,0.8462,27.0,26.0,27.0,2022.0,1.0,26.0,26.0,27.0,2021.0,1.0,26.0,26.0,27.0,2021.0,1.0,12.0,9.0,24.0,2007.0,1.0,27.0,27.0,27.0,2022.0
5,13,0.7255,-0.743,-0.7975,-0.6817,0.0,28.0,27.0,28.0,2023.0,0.0,27.0,26.0,28.0,2022.0,0.0,28.0,28.0,29.0,2023.0,0.0769,26.0,24.0,26.0,2021.0,0.0,26.0,24.0,26.0,2021.0,1.0,23.0,23.0,24.0,2018.0,0.8462,26.0,24.0,27.0,2021.0
6,6,-1.867,0.2566,-0.0517,0.4567,0.3333,27.0,26.25,27.0,2022.0,0.3333,23.5,21.0,26.0,2018.5,0.3333,17.0,13.75,24.75,2012.0,0.5,17.0,13.75,22.5,2012.0,0.6667,14.5,10.75,22.0,2009.5,0.8333,12.0,10.5,12.75,2007.0,0.6667,15.0,10.5,22.5,2010.0
7,4,-1.2508,-0.764,-0.9232,-0.5807,0.0,27.0,27.0,27.0,2022.0,0.0,27.0,27.0,27.0,2022.0,0.0,27.0,24.25,27.0,2022.0,0.0,27.0,24.25,27.0,2022.0,0.25,27.0,23.25,27.0,2022.0,1.0,17.0,11.75,22.25,2012.0,0.25,27.0,23.25,27.0,2022.0
8,8,-0.248,-0.8655,-0.9002,-0.6798,0.0,27.0,27.0,27.0,2022.0,0.0,27.0,27.0,27.0,2022.0,0.0,29.0,28.5,29.0,2024.0,0.25,27.0,26.0,27.0,2022.0,0.25,27.0,27.0,27.0,2022.0,0.875,23.0,23.0,23.0,2018.0,0.25,27.0,27.0,27.0,2022.0
9,9,0.1399,-1.4122,-1.4603,-1.368,0.0,27.0,27.0,27.0,2022.0,0.0,27.0,27.0,27.0,2022.0,0.0,29.0,29.0,29.0,2024.0,0.0,27.0,27.0,27.0,2022.0,0.0,27.0,27.0,27.0,2022.0,0.0,24.0,24.0,26.0,2019.0,0.0,27.0,27.0,27.0,2022.0
10,10,0.7976,-2.1653,-2.2467,-1.8353,0.0,27.0,27.0,27.0,2022.0,0.0,27.0,27.0,27.0,2022.0,0.0,28.0,28.0,28.0,2023.0,0.0,27.0,27.0,27.0,2022.0,0.0,27.0,27.0,27.0,2022.0,0.0,26.0,26.0,26.0,2021.0,0.0,27.0,27.0,27.0,2022.0
