month,valid,expected,frac,source
199702,672,672,1.0,api
199703,744,744,1.0,api
199704,720,720,1.0,api
199705,744,744,1.0,api
199706,720,720,1.0,api
199707,744,744,1.0,api
199708,744,744,1.0,api
199709,720,720,1.0,api
199710,744,744,1.0,api
199711,720,720,1.0,api
199712,744,744,1.0,api
199801,744,744,1.0,api
199802,672,672,1.0,api
199803,744,744,1.0,api
199804,720,720,1.0,api
199805,744,744,1.0,api
199806,720,720,1.0,api
199807,744,744,1.0,api
199808,744,744,1.0,api
199809,720,720,1.0,api
199810,744,744,1.0,api
199811,720,720,1.0,api
199812,744,744,1.0,api
199901,744,744,1.0,api
199902,672,672,1.0,api
199903,744,744,1.0,api
199904,720,720,1.0,api
199905,744,744,1.0,api
199906,720,720,1.0,api
199907,744,744,1.0,api
199908,744,744,1.0,api
199909,720,720,1.0,api
199910,489,744,0.657258064516129,api
199911,720,720,1.0,api
199912,744,744,1.0,api
200001,744,744,1.0,api
200002,696,696,1.0,api
200003,744,744,1.0,api
200004,720,720,1.0,api
200005,744,744,1.0,api
200006,720,720,1.0,api
200007,744,744,1.0,api
200008,744,744,1.0,api
200009,444,720,0.6166666666666667,api
200010,744,744,1.0,api
200011,720,720,1.0,api
200012,744,744,1.0,api
200101,744,744,1.0,api
200102,672,672,1.0,api
200103,744,744,1.0,api
200104,720,720,1.0,api
200105,744,744,1.0,api
200106,720,720,1.0,api
200107,744,744,1.0,api
200108,744,744,1.0,api
200109,720,720,1.0,api
200110,744,744,1.0,api
200111,720,720,1.0,api
200112,744,744,1.0,api
200201,744,744,1.0,api
200202,672,672,1.0,api
200203,744,744,1.0,api
200204,720,720,1.0,api
200205,744,744,1.0,api
200206,720,720,1.0,api
200207,744,744,1.0,api
200208,744,744,1.0,api
200209,720,720,1.0,api
200210,744,744,1.0,api
200211,720,720,1.0,api
200212,744,744,1.0,api
200301,744,744,1.0,api
200302,672,672,1.0,api
200303,744,744,1.0,api
200304,720,720,1.0,api
200305,744,744,1.0,api
200306,720,720,1.0,api
200307,744,744,1.0,api
200308,744,744,1.0,api
200309,720,720,1.0,api
200310,744,744,1.0,api
200311,720,720,1.0,api
200312,744,744,1.0,api
200401,744,744,1.0,api
200402,696,696,1.0,api
200403,744,744,1.0,api
200404,720,720,1.0,api
200405,744,744,1.0,api
200406,720,720,1.0,api
200407,744,744,1.0,api
200408,744,744,1.0,api
200409,720,720,1.0,api
200410,744,744,1.0,api
200411,720,720,1.0,api
200412,744,744,1.0,api
200501,744,744,1.0,api
200502,672,672,1.0,api
200503,744,744,1.0,api
200504,720,720,1.0,api
200505,744,744,1.0,api
200506,720,720,1.0,api
200507,744,744,1.0,api
200508,744,744,1.0,api
200509,720,720,1.0,api
200510,744,744,1.0,api
200511,720,720,1.0,api
200512,744,744,1.0,api
200601,744,744,1.0,api
200602,672,672,1.0,api
200603,744,744,1.0,api
200604,720,720,1.0,api
200605,744,744,1.0,api
200606,720,720,1.0,api
200607,744,744,1.0,api
200608,744,744,1.0,api
200609,720,720,1.0,api
200610,744,744,1.0,api
200611,720,720,1.0,api
200612,744,744,1.0,api
200701,744,744,1.0,api
200702,672,672,1.0,api
200703,744,744,1.0,api
200704,720,720,1.0,api
200705,744,744,1.0,api
200706,720,720,1.0,api
200707,744,744,1.0,api
200708,744,744,1.0,api
200709,720,720,1.0,api
200710,744,744,1.0,api
200711,720,720,1.0,api
200712,744,744,1.0,api
200801,744,744,1.0,api
200802,696,696,1.0,api
200803,744,744,1.0,api
200804,720,720,1.0,api
200805,744,744,1.0,api
200806,720,720,1.0,api
200807,744,744,1.0,api
200808,744,744,1.0,api
200809,720,720,1.0,api
200810,744,744,1.0,api
200811,720,720,1.0,api
200812,744,744,1.0,api
200901,744,744,1.0,api
200902,672,672,1.0,api
200903,744,744,1.0,api
200904,720,720,1.0,api
200905,744,744,1.0,api
200906,720,720,1.0,api
200907,744,744,1.0,api
200908,744,744,1.0,api
200909,720,720,1.0,api
200910,744,744,1.0,api
200911,720,720,1.0,api
200912,744,744,1.0,api
201001,744,744,1.0,api
201002,672,672,1.0,api
201003,744,744,1.0,api
201004,720,720,1.0,api
201005,744,744,1.0,api
201006,720,720,1.0,api
201007,744,744,1.0,api
201008,744,744,1.0,api
201009,720,720,1.0,api
201010,744,744,1.0,api
201011,720,720,1.0,api
201012,744,744,1.0,api
201101,744,744,1.0,api
201102,672,672,1.0,api
201103,744,744,1.0,api
201104,720,720,1.0,api
201105,744,744,1.0,api
201106,720,720,1.0,api
201107,744,744,1.0,api
201108,744,744,1.0,api
201109,720,720,1.0,api
201110,744,744,1.0,api
201111,720,720,1.0,api
201112,744,744,1.0,api
201201,482,744,0.6478494623655914,api
201202,696,696,1.0,api
201203,744,744,1.0,api
201204,720,720,1.0,api
201205,744,744,1.0,api
201206,720,720,1.0,api
201207,744,744,1.0,api
201208,744,744,1.0,api
201209,720,720,1.0,api
201210,682,744,0.9166666666666666,api
201211,31,720,0.043055555555555555,api
201212,744,744,1.0,api
201301,744,744,1.0,api
201302,672,672,1.0,api
201303,744,744,1.0,api
201304,720,720,1.0,api
201305,744,744,1.0,api
201306,720,720,1.0,api
201307,744,744,1.0,api
201308,744,744,1.0,api
201309,720,720,1.0,api
201310,744,744,1.0,api
201311,720,720,1.0,api
201312,744,744,1.0,api
201401,744,744,1.0,api
201402,672,672,1.0,api
201403,744,744,1.0,api
201404,720,720,1.0,api
201405,744,744,1.0,api
201406,720,720,1.0,api
201407,744,744,1.0,api
201408,744,744,1.0,api
201409,720,720,1.0,api
201410,744,744,1.0,api
201411,720,720,1.0,api
201412,744,744,1.0,api
201501,744,744,1.0,api
201502,672,672,1.0,api
201503,744,744,1.0,api
201504,720,720,1.0,api
201505,744,744,1.0,api
201506,720,720,1.0,api
201507,744,744,1.0,api
201508,744,744,1.0,api
201509,720,720,1.0,api
201510,744,744,1.0,api
201511,720,720,1.0,api
201512,744,744,1.0,api
201601,744,744,1.0,api
201602,696,696,1.0,api
201603,744,744,1.0,api
201604,720,720,1.0,api
201605,744,744,1.0,api
201606,720,720,1.0,api
201607,744,744,1.0,api
201608,744,744,1.0,api
201609,720,720,1.0,api
201610,744,744,1.0,api
201611,720,720,1.0,api
201612,744,744,1.0,api
201701,744,744,1.0,api
201702,672,672,1.0,api
201703,744,744,1.0,api
201704,720,720,1.0,api
201705,744,744,1.0,api
201706,720,720,1.0,api
201707,744,744,1.0,api
201708,744,744,1.0,api
201709,720,720,1.0,api
201710,744,744,1.0,api
201711,720,720,1.0,api
201712,744,744,1.0,api
201801,744,744,1.0,api
201802,672,672,1.0,api
201803,744,744,1.0,api
201804,720,720,1.0,api
201805,744,744,1.0,api
201806,720,720,1.0,api
201807,744,744,1.0,api
201808,744,744,1.0,api
201809,720,720,1.0,api
201810,744,744,1.0,api
201811,720,720,1.0,api
201812,744,744,1.0,api
201901,744,744,1.0,api
201902,672,672,1.0,api
201903,744,744,1.0,api
201904,720,720,1.0,api
201905,744,744,1.0,api
201906,720,720,1.0,api
201907,744,744,1.0,api
201908,744,744,1.0,api
201909,720,720,1.0,api
201910,744,744,1.0,api
201911,720,720,1.0,api
201912,744,744,1.0,api
202001,744,744,1.0,api
202002,696,696,1.0,api
202003,744,744,1.0,api
202004,720,720,1.0,api
202005,744,744,1.0,api
202006,720,720,1.0,api
202007,744,744,1.0,api
202008,744,744,1.0,api
202009,720,720,1.0,api
202010,744,744,1.0,api
202011,720,720,1.0,api
202012,744,744,1.0,api
202101,744,744,1.0,api
202102,672,672,1.0,api
202103,744,744,1.0,api
202104,720,720,1.0,api
202105,744,744,1.0,api
202106,720,720,1.0,api
202107,744,744,1.0,api
202108,744,744,1.0,api
202109,720,720,1.0,api
202110,744,744,1.0,api
202111,720,720,1.0,api
202112,744,744,1.0,api
202201,744,744,1.0,api
202202,672,672,1.0,api
202203,744,744,1.0,api
202204,720,720,1.0,api
202205,744,744,1.0,api
202206,720,720,1.0,api
202207,744,744,1.0,api
202208,744,744,1.0,api
202209,720,720,1.0,api
202210,744,744,1.0,api
202211,720,720,1.0,api
202212,744,744,1.0,api
202301,744,744,1.0,api
202302,672,672,1.0,api
202303,744,744,1.0,api
202304,720,720,1.0,api
202305,744,744,1.0,api
202306,720,720,1.0,api
202307,744,744,1.0,api
202308,744,744,1.0,api
202309,720,720,1.0,api
202310,744,744,1.0,api
202311,720,720,1.0,api
202312,744,744,1.0,api
202401,744,744,1.0,api
202402,696,696,1.0,api
202403,744,744,1.0,api
202404,720,720,1.0,api
202405,744,744,1.0,api
202406,720,720,1.0,api
202407,744,744,1.0,api
202408,744,744,1.0,api
202409,720,720,1.0,api
202410,744,744,1.0,api
202411,720,720,1.0,api
202412,744,744,1.0,api
