domain_number,lrr_interval_yr,dune_interval_yr,n_coastsat_transects,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,n_dune_transects,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m
1,14.0,11.63,9,3.23,45.22,37.567,5,-0.156,-0.013,45.376,37.723
2,14.0,11.63,11,2.787,39.025,32.42,5,-55.325,-4.757,94.35,87.745
3,14.0,11.63,10,2.07,28.975,24.071,5,-35.694,-3.069,64.669,59.765
4,14.0,11.63,13,1.839,25.753,21.394,5,-12.282,-1.056,38.035,33.676
5,14.0,11.63,13,0.1,1.395,1.159,5,4.854,0.417,-3.459,-3.695
6,14.0,11.63,6,-1.345,-18.837,-15.649,5,-6.277,-0.54,-12.56,-9.372
7,14.0,11.63,4,-2.054,-28.751,-23.885,5,-27.05,-2.326,-1.701,3.165
8,14.0,11.63,8,-1.096,-15.339,-12.743,5,-12.009,-1.033,-3.33,-0.734
9,14.0,11.63,9,-1.274,-17.83,-14.812,5,-25.64,-2.205,7.81,10.828
10,14.0,11.63,10,-1.362,-19.074,-15.846,5,-33.847,-2.91,14.773,18.001
11,14.0,11.63,10,-1.95,-27.304,-22.683,5,-56.187,-4.831,28.883,33.504
12,14.0,11.63,10,-2.387,-33.42,-27.763,5,-69.25,-5.954,35.83,41.487
13,14.0,11.63,11,-1.985,-27.791,-23.087,5,-60.793,-5.227,33.002,37.706
14,14.0,11.63,10,-1.093,-15.303,-12.713,5,-30.938,-2.66,15.635,18.225
15,14.0,11.63,10,0.088,1.236,1.027,5,-16.445,-1.414,17.681,17.472
16,14.0,11.63,10,1.259,17.632,14.648,5,14.13,1.215,3.502,0.518
17,14.0,11.63,10,1.279,17.9,14.871,5,-12.401,-1.066,30.301,27.272
18,14.0,11.63,10,1.703,23.845,19.809,5,-8.343,-0.717,32.188,28.152
19,14.0,11.63,10,1.602,22.428,18.632,5,-6.113,-0.526,28.541,24.745
20,14.0,11.63,10,-0.213,-2.979,-2.475,5,-6.676,-0.574,3.697,4.201
21,14.0,11.63,11,-0.812,-11.367,-9.443,5,-5.631,-0.484,-5.736,-3.812
22,14.0,11.63,10,-0.56,-7.84,-6.513,5,-10.922,-0.939,3.082,4.409
23,14.0,11.63,10,-1.67,-23.376,-19.419,5,-20.953,-1.802,-2.423,1.534
24,14.0,11.63,10,-2.749,-38.483,-31.97,5,-33.996,-2.923,-4.487,2.026
25,14.0,11.63,10,-3.189,-44.644,-37.088,5,-24.096,-2.072,-20.548,-12.992
26,14.0,11.63,10,-1.931,-27.038,-22.462,5,-27.999,-2.407,0.961,5.537
27,14.0,11.63,10,2.113,29.584,24.576,5,-7.93,-0.682,37.514,32.506
28,14.0,11.63,10,3.092,43.288,35.961,5,-3.46,-0.297,46.748,39.421
29,14.0,11.63,10,3.158,44.213,36.73,5,1.919,0.165,42.294,34.811
30,14.0,11.63,10,1.576,22.064,18.33,5,27.073,2.328,-5.009,-8.743
31,14.0,11.63,11,1.988,27.838,23.126,5,29.252,2.515,-1.414,-6.126
32,14.0,11.63,10,1.991,27.874,23.156,5,16.97,1.459,10.904,6.186
33,14.0,11.63,11,1.659,23.232,19.3,5,12.595,1.083,10.637,6.705
34,14.0,11.63,10,-0.241,-3.374,-2.803,5,3.395,0.292,-6.769,-6.198
35,14.0,11.63,11,-2.595,-36.336,-30.186,5,-47.686,-4.1,11.35,17.5
36,14.0,11.63,10,-3.566,-49.924,-41.474,5,-27.111,-2.331,-22.813,-14.363
37,14.0,11.63,11,-2.39,-33.456,-27.793,5,-24.88,-2.139,-8.576,-2.913
38,14.0,11.63,10,0.537,7.514,6.242,5,-24.258,-2.086,31.772,30.5
39,14.0,11.63,10,0.528,7.398,6.146,5,-13.873,-1.193,21.271,20.019
40,14.0,11.63,10,0.732,10.25,8.515,5,-16.89,-1.452,27.14,25.405
41,14.0,11.63,10,1.557,21.804,18.114,5,-13.511,-1.162,35.315,31.625
42,14.0,11.63,10,1.269,17.772,14.764,5,-10.077,-0.866,27.849,24.841
43,14.0,11.63,10,0.825,11.545,9.591,5,3.992,0.343,7.553,5.599
44,14.0,11.63,10,1.165,16.315,13.554,5,-1.593,-0.137,17.908,15.147
45,14.0,11.63,10,0.503,7.041,5.85,5,-1.496,-0.129,8.537,7.346
46,14.0,11.63,10,-1.016,-14.22,-11.813,5,2.543,0.219,-16.763,-14.356
47,14.0,11.63,10,-1.437,-20.123,-16.717,5,-7.64,-0.657,-12.483,-9.077
48,14.0,11.63,10,-0.11,-1.536,-1.276,5,-19.041,-1.637,17.504,17.765
49,14.0,11.63,10,1.485,20.789,17.27,5,-11.01,-0.947,31.799,28.28
50,14.0,11.63,10,-0.014,-0.201,-0.167,5,-22.362,-1.923,22.161,22.195
51,14.0,11.63,10,-0.581,-8.136,-6.759,5,-33.58,-2.887,25.444,26.821
52,14.0,11.63,10,0.37,5.18,4.304,5,-25.413,-2.185,30.593,29.717
53,14.0,11.63,10,-0.543,-7.598,-6.312,5,-21.427,-1.842,13.829,15.115
54,14.0,11.63,10,0.193,2.701,2.244,5,-3.808,-0.327,6.509,6.052
55,14.0,11.63,10,0.393,5.495,4.565,5,-11.462,-0.986,16.957,16.027
56,14.0,11.63,11,0.357,4.997,4.151,5,-5.626,-0.484,10.623,9.777
57,14.0,11.63,10,-0.191,-2.671,-2.219,5,-6.189,-0.532,3.518,3.97
58,14.0,11.63,10,0.209,2.926,2.431,5,-10.446,-0.898,13.372,12.877
59,14.0,11.63,10,0.31,4.337,3.603,5,-9.89,-0.85,14.227,13.493
60,14.0,11.63,10,-0.311,-4.352,-3.616,5,-1.714,-0.147,-2.638,-1.902
61,14.0,11.63,10,-0.736,-10.303,-8.56,5,11.147,0.958,-21.45,-19.707
62,14.0,11.63,10,-0.368,-5.159,-4.286,5,8.654,0.744,-13.813,-12.94
63,14.0,11.63,10,-2.022,-28.309,-23.517,5,-12.856,-1.105,-15.453,-10.661
64,14.0,11.63,10,-2.074,-29.038,-24.123,5,-5.465,-0.47,-23.573,-18.658
65,14.0,11.63,10,-2.299,-32.182,-26.735,5,-4.1,-0.353,-28.082,-22.635
66,14.0,11.63,11,-1.072,-15.004,-12.465,5,-4.947,-0.425,-10.057,-7.518
67,14.0,11.63,10,2.21,30.938,25.702,5,-5.928,-0.51,36.866,31.63
68,14.0,11.63,10,5.065,70.903,58.902,5,2.762,0.237,68.141,56.14
69,14.0,11.63,10,3.786,53.006,44.034,5,10.685,0.919,42.321,33.349
70,14.0,11.63,10,0.681,9.541,7.926,5,-4.22,-0.363,13.761,12.146
71,14.0,11.63,10,-0.44,-6.155,-5.113,5,-3.799,-0.327,-2.356,-1.314
72,14.0,11.63,10,-0.895,-12.536,-10.414,5,-3.2,-0.275,-9.336,-7.214
73,14.0,11.63,10,-0.418,-5.847,-4.858,5,7.4,0.636,-13.247,-12.258
74,14.0,11.63,10,1.735,24.285,20.174,5,15.883,1.366,8.402,4.291
75,14.0,11.63,10,0.004,0.062,0.051,5,14.054,1.208,-13.992,-14.003
76,14.0,11.63,10,-3.045,-42.633,-35.417,5,-22.8,-1.96,-19.833,-12.617
77,14.0,11.63,10,-3.238,-45.338,-37.664,5,-57.317,-4.928,11.979,19.653
78,14.0,11.63,10,-2.659,-37.219,-30.92,5,-58.746,-5.051,21.527,27.826
79,14.0,11.63,10,-1.735,-24.284,-20.174,5,-23.736,-2.041,-0.548,3.562
80,14.0,11.63,10,-5.449,-76.282,-63.371,5,-28.796,-2.476,-47.486,-34.575
81,14.0,11.63,10,-4.546,-63.647,-52.875,5,-61.284,-5.269,-2.363,8.409
82,14.0,11.63,10,-0.62,-8.686,-7.216,5,-47.457,-4.08,38.771,40.241
83,14.0,11.63,10,-2.234,-31.274,-25.981,5,-34.846,-2.996,3.572,8.865
84,14.0,11.63,11,-3.328,-46.586,-38.701,5,-57.191,-4.917,10.605,18.49
85,14.0,11.63,12,-2.715,-38.015,-31.581,5,-53.277,-4.581,15.262,21.696
86,14.0,11.63,12,-2.475,-34.651,-28.786,5,-53.624,-4.611,18.973,24.838
87,14.0,11.63,11,-2.071,-28.995,-24.088,5,-46.644,-4.011,17.649,22.556
88,14.0,11.63,10,-0.912,-12.771,-10.609,5,-34.541,-2.97,21.77,23.932
89,14.0,11.63,9,-0.202,-2.83,-2.351,5,-23.515,-2.022,20.685,21.164
90,14.0,11.63,10,-0.304,-4.255,-3.535,5,-13.074,-1.124,8.819,9.539
