domain_number,mean_1984_2004,std_1984_2004,mean_1996_2010,std_1996_2010,mean_2004_2024,std_2004_2024,mean_2010_2024,std_2010_2024
39,-1.359,0.174,0.528,0.272,0.366,0.057,1.401,0.108
40,-1.188,0.146,0.732,0.3,0.459,0.073,0.835,0.237
41,-1.805,0.09,1.557,0.103,0.367,0.215,0.774,0.316
42,-1.38,0.279,1.269,0.175,0.187,0.037,0.133,0.101
43,-0.494,0.149,0.825,0.243,0.087,0.201,0.302,0.207
44,-0.11,0.123,1.165,0.108,-0.256,0.101,0.07,0.203
45,0.183,0.088,0.503,0.458,-0.748,0.195,-0.109,0.399
46,0.42,0.238,-1.016,0.514,-0.967,0.127,-0.994,0.341
47,-0.3,0.275,-1.437,0.198,-0.783,0.152,-0.037,0.21
48,-1.234,0.194,-0.11,0.763,-0.451,0.05,0.09,0.14
49,-1.845,0.055,1.485,0.209,-0.94,0.22,-0.75,0.412
50,-1.612,0.078,-0.014,0.697,-0.981,0.197,-1.355,0.334
51,-1.657,0.065,-0.581,0.289,-0.865,0.179,-1.31,0.256
52,-1.806,0.084,0.37,0.193,-1.41,0.084,-1.808,0.226
53,-1.546,0.074,-0.543,0.164,-1.146,0.058,-1.242,0.155
54,-1.357,0.064,0.193,0.312,-1.276,0.061,-1.314,0.076
55,-1.087,0.227,0.393,0.071,-0.834,0.096,-1.037,0.174
56,-0.69,0.158,0.357,0.288,-0.503,0.199,-0.507,0.25
57,-0.381,0.061,-0.191,0.066,0.066,0.046,0.289,0.191
58,-0.094,0.119,0.209,0.263,0.392,0.133,0.617,0.12
59,0.473,0.191,0.31,0.085,0.412,0.178,0.435,0.095
60,1.016,0.201,-0.311,0.382,-0.579,0.256,-0.251,0.212
61,1.543,0.09,-0.736,0.239,-1.413,0.311,-1.116,0.308
62,1.131,0.199,-0.368,0.614,-1.721,0.335,-1.247,0.631
63,0.069,0.455,-2.022,0.35,-0.066,0.5,1.441,0.654
64,-0.951,0.195,-2.074,0.14,0.734,0.098,2.272,0.142
65,-1.42,0.144,-2.299,0.171,1.641,0.543,2.905,0.495
66,-2.019,0.195,-1.072,0.675,3.462,0.379,4.799,0.387
67,-1.128,0.507,2.21,1.208,3.085,0.614,3.927,0.872
68,-0.061,0.244,5.065,0.271,1.31,0.385,1.656,0.46
69,0.541,0.184,3.786,0.927,0.764,0.072,1.51,0.26
70,0.476,0.064,0.681,0.664,0.932,0.108,1.923,0.091
71,0.05,0.17,-0.44,0.283,1.221,0.252,1.429,0.223
72,-0.344,0.045,-0.895,0.267,1.763,0.154,1.752,0.078
73,-0.293,0.188,-0.418,0.698,1.376,0.46,0.403,0.84
74,1.028,0.391,1.735,0.337,-0.276,0.515,-0.882,0.119
75,2.213,0.189,0.004,0.843,-1.356,0.053,0.062,0.692
76,-0.067,1.553,-3.045,0.739,-1.589,0.083,-0.619,0.536
77,-4.923,1.017,-3.238,0.388,-1.425,0.226,-2.126,0.552
78,-5.949,0.139,-2.659,0.349,-2.091,0.308,-3.527,0.574
79,-4.752,0.399,-1.735,0.632,-1.43,0.088,-0.86,0.624
80,-3.311,0.593,-5.449,1.757,-1.426,0.319,-0.14,0.18
81,-4.26,1.119,-4.546,1.803,-0.724,0.111,-0.16,0.641
82,-5.781,0.276,-0.62,0.77,-1.656,0.408,-1.723,0.301
83,-4.371,0.208,-2.234,0.832,-2.079,0.229,-1.257,0.259
84,-4.495,0.108,-3.328,0.164,-1.047,0.418,-0.415,0.249
85,-3.273,0.401,-2.715,0.35,-0.29,0.148,-0.12,0.07
86,-2.946,0.052,-2.475,0.214,0.243,0.25,0.145,0.236
87,-2.936,0.121,-2.071,0.295,0.971,0.252,0.793,0.343
88,-2.245,0.309,-0.912,0.303,1.989,0.259,2.023,0.433
89,-1.305,0.215,-0.202,0.157,1.718,0.194,1.766,0.274
90,0.024,0.645,-0.304,0.127,1.683,0.142,1.912,0.229
