domain,casc_p1,casc_p2
1,3.233081136676485,6.892588866799732
2,2.744543260556936,6.367833611552197
3,2.321280761185432,5.347804030908003
4,1.8388666768889368,4.324848313387524
5,1.295769800100426,3.2917531187401075
6,0.5737573094121277,2.414259138004172
7,0.2573335261080729,1.8956188236953184
8,0.1386128122299583,1.5287910836308265
9,0.0353979452396837,1.2723544713049826
10,-0.0147155069458621,1.1566710376508216
11,-0.0585786579893039,0.9894358534930088
12,-0.0392466237476129,0.8767094975779633
13,-0.0227262583799876,0.7445908263524724
14,0.0276812017850135,0.5631830993434729
15,0.0862743682972348,0.3644061140191167
16,0.1439782932527327,0.0270444711905957
17,0.1106153878013846,-0.1525173866450474
18,0.106887806821151,-0.2683546157283848
19,0.1206618472101418,-0.3257285407812364
20,0.0836653942672212,-0.3662273837810899
21,-0.0011049958498139,-0.2591990554122551
22,-0.1270980986562614,-0.3562893231523877
23,-0.2478747963812028,-0.4481157322404977
24,-0.3422890558225703,-0.5149081572264361
25,-0.3518125338904448,-0.5322841533139782
26,-0.3078237994689731,-0.4867825764772349
27,-0.2605553630397035,-0.4921208278484533
28,-0.2476415015619856,-0.601365097151179
29,-0.2639546893603002,-0.8513003422357192
30,-0.2704120213993833,-0.961380046984622
31,-0.3653436541717167,-1.008140003316231
32,-0.5275490851194365,-1.1091699615216353
33,-0.7679694902600342,-1.236940593797461
34,-1.0379180446409726,-1.4513450715424117
35,-1.2538018528076575,-1.5935804355094627
36,-1.464206042786731,-1.762484251387397
37,-1.6114755979006143,-1.860367517987927
38,-1.625207092682436,-1.847761162176143
39,-1.5160711410328502,-1.7511528308317317
40,-1.3484192642745023,-1.5801857680991434
41,-1.125071359878149,-1.3754211263514229
42,-0.9051355718927264,-1.1811331695532703
43,-0.6907830943585391,-1.0014142329998117
44,-0.5036815227636646,-0.8466945473841375
45,-0.2998387504598681,-0.6522103664552703
46,-0.0642369562901695,-0.4964619825433251
47,-0.0167883367420149,-0.3661269296095177
48,0.1133797343616255,-0.1862231590526899
49,0.2714437802523231,-0.0476364726378045
50,0.3833364686452004,0.0766673674947848
51,0.3963971409838561,0.2084129234179472
52,0.4100184944964368,0.3284519454465034
53,0.4575553698284892,0.4067053319880286
54,0.4840542063184878,0.3307423534158682
55,0.4851787571287176,0.2952567221048349
56,0.4785149636043261,0.2522491853146288
57,0.4453671622086818,0.2105505135729518
58,0.3767083144488555,0.1354581650938061
59,0.2973880093010945,0.032787772753369
60,0.2048577840264579,-0.0960178713290931
61,0.1185434027725773,-0.2076855896667718
62,0.020720719229206,-0.3632448057201832
63,-0.0586390943957478,-0.5381150581335233
64,-0.1367382900927768,-0.6665096885158026
65,-0.2530785342199814,-0.800703216031295
66,-0.4000776111057465,-1.023493594528596
67,-0.6836948498269289,-1.3240346654746575
68,-1.0166113433257011,-1.6154285932346928
69,-1.274971379051922,-1.945203861302837
70,-1.5204916699778597,-2.202366757650241
71,-1.7446161242200915,-2.395655515362904
72,-1.8989192218066453,-2.57629702934735
73,-2.014470577687524,-2.643767884031994
74,-2.133124968673347,-2.7399177815357576
75,-2.2133492695329577,-2.8196485095858304
76,-2.273527094156771,-2.8566743578355864
77,-2.2779647607775644,-2.728635098412218
78,-2.248518479433089,-2.5978258434087897
79,-1.9653193933223168,-2.326312258281928
80,-1.7395975937343482,-1.9102622327485996
81,-1.6159954962710317,-1.3836434313784527
82,-1.3304194311266744,-0.7765239989454623
83,-1.0611212036623492,-0.1563607471428194
84,-0.7807761149825642,0.3479230442769684
85,-0.4742820119640789,1.0332052172130672
86,-0.2152553853574697,1.5433789006478726
87,-0.0536327169909074,1.9412191146105824
88,0.0312271334139309,2.18431597909714
89,0.0123949722115731,2.2405579400050875
90,-0.1433862674029328,2.2230686955049443
