domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
74,GIS 74 mean,GIS 74 mean,backward,1996_2024,0.3898,0.1447,6205,2010_2024,-0.8818,0.3561,-1.2716,False,False,False,False,False,False,False,1998,1998,27,2018,1999,26,1996,1996,29,2018,2001,24,2018,2002,23,2019,2008,17,2020,2000,25
75,GIS 75 mean,GIS 75 mean,backward,1996_2024,-0.9372,0.1501,6248,2010_2024,0.0618,0.3366,0.999,False,False,False,False,False,True,False,2007,1999,26,2016,2001,24,2007,2000,25,2017,2008,17,2017,2008,17,2020,2010,15,2020,2002,23
76,GIS 76 mean,GIS 76 mean,backward,1996_2024,-1.9544,0.159,6281,2010_2024,-0.6186,0.3825,1.3358,False,False,False,False,False,False,False,1998,1998,27,2015,2000,25,2015,2004,21,2015,2005,20,2015,2006,19,2015,2007,18,2015,2004,21
77,GIS 77 mean,GIS 77 mean,backward,1996_2024,-1.7336,0.1625,6187,2010_2024,-2.1261,0.4201,-0.3925,False,False,False,True,True,True,True,2008,1996,29,2008,1998,27,2009,2009,16,2020,2010,15,2020,2010,15,2020,2011,14,2020,2010,15
78,GIS 78 mean,GIS 78 mean,backward,1996_2024,-1.9358,0.1717,6200,2010_2024,-3.5272,0.4196,-1.5914,False,False,False,False,False,False,False,2004,1998,27,2005,2005,20,2006,2006,19,2006,2006,19,2006,2006,19,2008,2008,17,2020,2006,19
79,GIS 79 mean,GIS 79 mean,backward,1996_2024,-1.6201,0.1433,6147,2010_2024,-0.8596,0.3332,0.7605,False,False,False,False,False,True,False,2006,1998,27,2007,2007,18,2007,2007,18,2008,2008,17,2008,2008,17,2010,2010,15,2007,2007,18
80,GIS 80 mean,GIS 80 mean,backward,1996_2024,-2.5161,0.1718,6165,2010_2024,-0.1405,0.3546,2.3756,False,False,False,False,False,False,False,1999,1999,26,2000,2000,25,2019,2001,24,2019,2001,24,2019,2001,24,2019,2003,22,2019,2001,24
81,GIS 81 mean,GIS 81 mean,backward,1996_2024,-1.8827,0.1561,6164,2010_2024,-0.1598,0.3254,1.7229,False,False,False,False,False,False,False,1998,1998,27,1999,1999,26,2017,2000,25,2017,2000,25,2017,2000,25,2018,2002,23,2018,2000,25
82,GIS 82 mean,GIS 82 mean,backward,1996_2024,-1.4892,0.1293,6291,2010_2024,-1.7226,0.3059,-0.2334,False,True,True,True,True,True,True,1999,1999,26,2010,2004,21,2011,2004,21,2011,2005,20,2011,2006,19,2014,2014,11,2011,2004,21
83,GIS 83 mean,GIS 83 mean,backward,1996_2024,-2.1259,0.1292,6268,2010_2024,-1.2566,0.3192,0.8693,False,False,False,False,False,True,False,2019,2004,21,2019,2006,19,2019,2007,18,2019,2007,18,2019,2007,18,2019,2019,6,2020,2007,18
84,GIS 84 mean,GIS 84 mean,backward,1996_2024,-1.587,0.1453,6883,2010_2024,-0.4151,0.3596,1.1719,False,False,False,False,False,False,False,2017,1998,27,2017,1999,26,2017,2000,25,2017,2003,22,2017,2003,22,2020,2007,18,2020,2000,25
85,GIS 85 mean,GIS 85 mean,backward,1996_2024,-1.0385,0.1321,7398,2010_2024,-0.1201,0.3204,0.9184,False,False,False,False,False,True,False,2014,1999,26,2014,2001,24,2014,2000,25,2014,2002,23,2014,2002,23,2015,2015,10,2015,2001,24
86,GIS 86 mean,GIS 86 mean,backward,1996_2024,-0.5436,0.1374,7378,2010_2024,0.1452,0.3344,0.6888,False,False,False,False,False,True,False,1997,1997,28,2014,2000,25,1997,1997,28,2015,2001,24,2017,2002,23,2019,2019,6,2020,2000,25
87,GIS 87 mean,GIS 87 mean,backward,1996_2024,0.0318,0.1356,6754,2010_2024,0.7935,0.2987,0.7617,False,False,False,False,False,True,False,1997,1997,28,1998,1998,27,1996,1996,29,2000,2000,25,2000,2000,25,2015,2015,10,2014,1999,26
88,GIS 88 mean,GIS 88 mean,backward,1996_2024,1.0041,0.1433,6190,2010_2024,2.0235,0.3376,1.0194,False,False,False,False,False,False,False,1997,1997,28,1999,1999,26,1998,1998,27,2000,2000,25,2000,2000,25,2009,2009,16,1999,1999,26
89,GIS 89 mean,GIS 89 mean,backward,1996_2024,1.1823,0.12,5503,2010_2024,1.766,0.2927,0.5837,False,False,False,False,False,True,False,1998,1998,27,2000,2000,25,2000,2000,25,2001,2001,24,2003,2003,22,2016,2016,9,2016,2000,25
90,GIS 90 mean,GIS 90 mean,backward,1996_2024,1.1942,0.1376,5975,2010_2024,1.9121,0.3605,0.7179,False,False,False,False,False,True,False,2000,2000,25,2001,2001,24,2001,2001,24,2013,2003,22,2014,2004,21,2015,2015,10,2014,2002,23
