domain_id,obs_total_change_m
1.0,-93.55199999999999
2.0,-53.117999999999995
3.0,-70.026
4.0,-55.67
5.0,-55.98
6.0,-7.289999999999999
8.0,-18.24
9.0,-18.726666666666667
10.0,-28.380000000000003
11.0,-17.758000000000003
12.0,-20.71
13.0,-9.766
14.0,6.88
15.0,-1.986666666666667
16.0,-8.025
17.0,5.38
18.0,13.523333333333333
19.0,29.84
20.0,48.38
21.0,46.81
22.0,45.332
23.0,50.292
24.0,30.542
25.0,29.752
27.0,-9.07
28.0,8.92
29.0,21.462
30.0,44.104
31.0,64.714
32.0,82.08399999999999
33.0,65.11
34.0,44.724999999999994
37.0,24.5
38.0,31.32
40.0,29.205
41.0,37.892
42.0,27.0375
43.0,23.450000000000003
45.0,-0.6433333333333332
46.0,16.6
47.0,15.440000000000001
50.0,-20.069999999999997
53.0,-13.11
54.0,-12.712
55.0,-13.86
57.0,33.95
58.0,43.544
59.0,29.736
60.0,47.218
61.0,54.422000000000004
62.0,76.942
63.0,92.724
64.0,97.99
65.0,97.27000000000001
66.0,68.59799999999998
68.0,35.97333333333333
69.0,45.736000000000004
70.0,46.19
71.0,18.802500000000002
72.0,-35.352
73.0,-24.936
74.0,-8.91
77.0,16.91
79.0,-45.928000000000004
80.0,-30.233333333333334
81.0,-15.45
82.0,-34.628
83.0,-48.653333333333336
84.0,-22.81
85.0,-30.552
86.0,-20.07
87.0,-10.56
88.0,19.195
89.0,-5.805
90.0,-6.92
92.0,17.419999999999998
93.0,22.804
94.0,62.076
95.0,63.3575
96.0,38.440000000000005
97.0,12.04
99.0,7.12
100.0,-20.0275
101.0,-42.983999999999995
102.0,-33.721999999999994
103.0,-22.493333333333336
105.0,16.13
106.0,9.515
107.0,-30.55333333333333
108.0,-48.106
109.0,-45.132
110.0,-59.322
111.0,-53.64
112.0,-56.824
113.0,-52.17
114.0,-29.99
115.0,23.45
117.0,-21.61
118.0,-57.182
119.0,-110.895
120.0,-150.07
