domain_id,annual_rate_m_per_yr
80,-1.106
81,-0.658
82,-1.874
83,-2.106
84,-0.936
85,-1.624
86,-0.486
87,-0.284
88,0.63
89,-0.26
90,-0.264
91,0.276
92,0.964
93,1.224
94,3.248
95,3.44
96,1.81
97,0.638
98,-0.028
99,-0.142
100,-0.984
101,-2.296
102,-1.816
103,-0.698
104,0.366
105,0.15
106,0.404
107,-0.76
108,-2.55
109,-2.446
110,-3.176
111,-2.848
112,-2.95
113,-2.362
114,-0.936
115,0.938
116,1.006
117,-0.438
118,-2.988
119,-5.8375
120,-7.71
