domain,rows,cols,nodata_before,nodata_after,filled,cand_2008_coverage,dropped_connectivity,dropped_elev_floor,cand_below_mhw,bias_applied_m,bias_ring_m,bias_ring_cells,bias_overlap_m,bias_overlap_cells,seam_n,ctrl_n,seam_median_signed_m,seam_median_abs_m,seam_p90_abs_m,ctrl_median_abs_m,ctrl_p90_abs_m,seam_over_ctrl,fill_cells_in_window,snap_x_m,snap_y_m,trim_x_m,trim_y_m
25,500,2000,468268,330455,137813,249389,43,0,93263,0.0,0.1004,10528,-0.0331,915022,1219,3833434,-0.0892,0.1712,1.1377,0.0264,0.1097,6.481,1164411,0.0164,0.4153,0.0,0.0
26,500,2000,461613,291893,169720,272158,1571,0,118004,0.0,0.0591,20283,-0.0601,947292,1755,3886144,-0.2387,0.3083,1.2288,0.0249,0.1103,12.364,1219450,0.2247,0.1541,0.0,0.0
27,500,2000,437373,220565,216808,426136,1706,0,150018,0.0,0.0085,21720,-0.0782,1008181,1958,4041386,-0.1402,0.2531,1.3794,0.0236,0.1025,10.701,1434317,0.3466,0.384,0.0,0.0
28,500,2000,411781,139060,272721,518870,4520,0,196652,0.0,0.1295,11430,-0.0717,1042122,1315,4222476,-0.123,0.1645,1.3555,0.0256,0.108,6.435,1560992,0.0,0.4169,0.0,0.0
29,500,2000,402553,230195,172358,420555,49829,0,125359,0.0,0.2073,16082,-0.0618,1003366,2044,4156532,-0.3611,0.3924,0.7654,0.0255,0.1064,15.398,1423921,0.0005,0.0,0.0,0.0
30,500,2000,488620,290542,198078,365895,30117,0,190978,0.0,0.0242,25459,-0.0769,861067,3405,3625140,-0.5035,0.5792,1.1839,0.0235,0.0976,24.673,1226962,0.3646,0.3073,0.0,0.0
31,500,2000,643242,327620,315622,562408,2318,0,307407,0.0,-0.0456,23047,-0.072,674848,3036,2754760,-0.3909,0.6718,1.3403,0.0255,0.1014,26.328,1237256,0.0084,0.3728,0.0,0.0
32,500,2000,682936,300049,382887,738103,0,0,382706,0.0,0.3022,16281,-0.0226,569188,2063,2285820,-0.4283,0.5263,1.1656,0.0306,0.1131,17.215,1307291,0.0788,0.243,0.0,0.0
33,500,2000,672697,244418,428279,785455,0,0,428279,0.0,0.334,13389,0.0053,573160,1705,2315884,-0.4342,0.4342,0.739,0.0328,0.1186,13.253,1358615,0.0229,0.2388,0.0,0.0
34,500,2000,706502,338417,368085,745235,428,0,365453,0.0,0.1826,15997,0.0078,534024,2063,2143098,-0.2097,0.3155,1.2035,0.0352,0.1254,8.954,1279259,0.0229,0.2994,0.0,0.0
35,500,2000,712912,362312,350600,598802,4784,0,347526,0.0,0.1908,18000,0.006,520302,2165,2078732,-0.1443,0.2173,0.8998,0.0329,0.1206,6.612,1119104,0.0,0.4227,0.0,0.0
36,500,2000,676852,407538,269314,486348,3302,0,264918,0.0,0.1718,18342,0.0083,608302,2232,2431876,-0.1391,0.1531,0.4162,0.0309,0.1132,4.954,1094650,0.0,0.0181,0.0,0.0
37,500,2000,556724,325632,231092,489843,537,0,224201,0.0,0.1214,22819,0.0191,773748,2404,3093168,-0.132,0.1893,0.6237,0.0331,0.1216,5.725,1263591,0.0,0.3682,0.0,0.0
38,500,2000,532238,190739,341499,708144,0,0,341214,0.0,0.1231,15507,0.0407,814222,1875,3285726,-0.1639,0.2033,0.7845,0.0335,0.1278,6.07,1522366,0.307,0.3623,0.0,0.0
39,500,2000,592055,161754,430301,913170,963,0,430301,0.0,0.0898,8964,0.0198,745640,1150,3034196,-0.2231,0.2231,0.4842,0.031,0.1235,7.189,1658810,0.307,0.1602,0.0,0.0
40,500,2000,598124,123558,474566,1045926,494,0,474566,0.0,0.2021,10093,0.0184,686519,1275,2781164,-0.4258,0.4258,0.8015,0.0319,0.1254,13.352,1732445,0.307,0.3884,0.0,0.0
41,500,2000,653132,89598,563534,1164908,0,0,563531,0.0,0.4136,15053,0.0117,642665,1866,2582522,-0.4202,0.4202,0.7962,0.0351,0.1374,11.974,1807573,0.307,0.3504,0.0,0.0
42,500,2000,630061,73194,556867,1183824,966,0,556867,0.0,0.4807,17924,0.0232,658631,2017,2637628,-0.4612,0.4612,0.7742,0.0376,0.1496,12.28,1842455,0.307,0.4327,0.0,0.0
43,500,2000,632992,68014,564978,1163732,2921,0,564578,0.0,0.4447,18005,0.0867,657875,1973,2628436,-0.4773,0.4773,0.7331,0.0398,0.1625,12.005,1821607,0.307,0.4854,0.0,0.0
