domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
1,5,14.522,17.061,-11.303,35.496,0.565,0.663,20.0
2,5,-36.86,6.434,-43.356,-28.628,-1.433,0.25,100.0
3,5,-13.153,10.962,-28.142,1.178,-0.511,0.426,80.0
4,5,7.132,5.303,0.401,13.267,0.277,0.206,0.0
5,5,10.11,8.459,3.814,24.473,0.393,0.329,0.0
6,5,-36.613,42.452,-67.089,36.744,-1.424,1.651,80.0
7,5,-65.874,10.335,-79.106,-50.403,-2.562,0.402,100.0
8,5,-51.757,4.914,-57.466,-45.665,-2.013,0.191,100.0
9,5,-37.421,1.394,-39.154,-35.326,-1.455,0.054,100.0
10,5,-40.522,4.043,-46.161,-34.976,-1.576,0.157,100.0
11,5,-43.223,2.284,-45.29,-39.767,-1.681,0.089,100.0
12,5,-46.537,4.65,-54.541,-43.056,-1.81,0.181,100.0
13,5,-41.629,8.171,-50.553,-30.838,-1.619,0.318,100.0
14,5,-12.647,10.364,-28.102,-4.288,-0.492,0.403,100.0
15,5,3.13,8.392,-6.287,13.036,0.122,0.326,60.0
16,5,13.163,1.562,10.729,14.848,0.512,0.061,0.0
17,5,9.712,2.972,4.841,12.134,0.378,0.116,0.0
18,5,12.967,7.718,0.866,20.521,0.504,0.3,0.0
19,5,26.865,1.057,25.661,27.829,1.045,0.041,0.0
20,5,22.278,3.891,16.983,26.835,0.866,0.151,0.0
21,5,1.634,12.289,-12.314,14.688,0.064,0.478,40.0
22,5,-35.339,13.548,-47.207,-15.534,-1.374,0.527,100.0
23,5,-65.696,10.098,-74.999,-51.879,-2.555,0.393,100.0
24,5,-73.337,3.893,-77.531,-67.223,-2.852,0.151,100.0
25,5,-66.919,1.471,-68.225,-65.176,-2.602,0.057,100.0
26,5,-40.78,17.548,-62.211,-17.317,-1.586,0.682,100.0
27,5,-5.956,9.061,-15.236,8.628,-0.232,0.352,80.0
28,5,29.791,12.352,17.92,43.508,1.158,0.48,0.0
29,5,39.549,8.177,31.099,50.653,1.538,0.318,0.0
30,5,48.508,6.751,42.43,57.272,1.886,0.262,0.0
31,5,54.589,7.4,45.22,64.549,2.123,0.288,0.0
32,5,54.16,12.963,31.26,62.398,2.106,0.504,0.0
33,5,43.007,9.379,31.101,52.765,1.672,0.365,0.0
34,5,16.713,20.681,-4.897,45.995,0.65,0.804,40.0
35,5,-39.526,11.085,-49.085,-20.502,-1.537,0.431,100.0
36,5,-19.359,17.716,-44.055,-0.044,-0.753,0.689,100.0
37,5,-22.721,7.613,-33.831,-12.477,-0.884,0.296,100.0
38,5,-17.471,3.868,-22.992,-13.395,-0.679,0.15,100.0
39,5,-14.649,0.761,-15.334,-13.537,-0.57,0.03,100.0
40,5,-26.896,7.268,-37.58,-19.842,-1.046,0.283,100.0
41,5,-11.779,13.064,-32.26,2.419,-0.458,0.508,80.0
42,5,-5.008,7.138,-10.737,7.432,-0.195,0.278,80.0
