calendar_year,StartTime,EndTime,Rhigh,Rlow,period,duration,time
1992,1992-10-05 16:00:00,1992-10-06 22:00:00,0.21378960497184002,0.1360070794160415,10.1953125,23,9
1993,1993-01-09 13:00:00,1993-01-12 04:00:00,0.22993684012167265,0.13418966392301918,10.9609375,25,10
1993,1993-01-16 05:00:00,1993-01-17 10:00:00,0.17666430584630016,0.1344326555357945,10.75,10,10
1993,1993-02-03 07:00:00,1993-02-04 23:00:00,0.17702664748161973,0.1350414594702028,13.9765625,19,10
1993,1993-02-27 16:00:00,1993-03-02 08:00:00,0.1958471447756735,0.13408326398451081,10.8828125,32,10
1993,1993-03-13 15:00:00,1993-03-14 17:00:00,0.27685334015985413,0.139835933616409,15.703125,19,10
1993,1993-04-06 10:00:00,1993-04-09 04:00:00,0.2331183149692786,0.13492661732462494,9.9765625,34,10
1993,1993-04-28 05:00:00,1993-04-30 07:00:00,0.17437891326885077,0.1342386788473738,10.96875,17,10
1993,1993-08-29 21:00:00,1993-09-01 02:00:00,0.2875404321099421,0.1376760758205696,13.125,35,10
1993,1993-10-27 08:00:00,1993-10-28 00:00:00,0.17875775272217093,0.13406749568150428,8.8984375,9,10
1993,1993-11-25 21:00:00,1993-11-29 13:00:00,0.19544666941060088,0.13440072751880527,10.6015625,28,10
1994,1994-01-04 15:00:00,1994-01-05 06:00:00,0.18183328467017854,0.1356233427336889,11.828125,9,11
1994,1994-03-02 15:00:00,1994-03-04 07:00:00,0.23695011985895537,0.13765479220129925,11.828125,25,11
1994,1994-05-20 19:00:00,1994-05-21 23:00:00,0.16909548724260404,0.1434757823179595,9.1953125,10,11
1994,1994-09-04 11:00:00,1994-09-05 13:00:00,0.17788040538593167,0.13578846914907322,9.15625,11,11
1994,1994-10-14 19:00:00,1994-10-20 12:00:00,0.21805605642133846,0.13400699075629147,10.734375,47,11
1994,1994-11-17 11:00:00,1994-11-19 15:00:00,0.31797498599060575,0.1407637273752354,13.078125,41,11
1994,1994-12-14 22:00:00,1994-12-19 15:00:00,0.21805928500211977,0.13545595640391106,14.390625,58,11
1994,1994-12-23 02:00:00,1994-12-25 06:00:00,0.2627652238304145,0.13632680922854515,12.4296875,46,11
1995,1995-03-02 12:00:00,1995-03-03 14:00:00,0.17605378880506245,0.14065941498284204,10.65625,10,12
1995,1995-08-07 20:00:00,1995-08-10 00:00:00,0.19264713898962849,0.13436919292371266,10.328125,21,12
1995,1995-08-28 12:00:00,1995-08-30 15:00:00,0.20114111978267074,0.13496245504773974,14.1640625,22,12
1995,1995-09-18 18:00:00,1995-09-20 22:00:00,0.2021342843379959,0.1340236479372925,14.1171875,31,12
1996,1996-01-08 01:00:00,1996-01-09 04:00:00,0.16532779303148648,0.13624481940623423,10.0703125,9,13
1996,1996-02-03 12:00:00,1996-02-05 14:00:00,0.19597509547492709,0.13406266980514162,10.671875,23,13
1996,1996-03-12 02:00:00,1996-03-13 08:00:00,0.22241873659448919,0.13819178694371076,11.4609375,22,13
1996,1996-07-10 19:00:00,1996-07-13 03:00:00,0.21965552922243653,0.13448295431736104,11.28125,26,13
1996,1996-09-13 11:00:00,1996-09-15 01:00:00,0.19569677566374008,0.13431109523590662,12.9140625,19,13
1996,1996-10-04 16:00:00,1996-10-09 10:00:00,0.17057214546229682,0.1341502694526841,9.703125,35,13
1996,1996-11-15 14:00:00,1996-11-19 20:00:00,0.22902876697133698,0.13516580623325575,15.6796875,48,13
1996,1996-12-14 14:00:00,1996-12-18 08:00:00,0.2351002655588926,0.1363724555286049,13.1640625,56,13
1997,1997-02-09 01:00:00,1997-02-10 03:00:00,0.17968635417723164,0.13454120472693,9.46875,9,14
1997,1997-04-01 17:00:00,1997-04-02 22:00:00,0.20917658597032704,0.1347710957029476,11.8671875,20,14
1997,1997-06-04 11:00:00,1997-06-08 04:00:00,0.17627335492855392,0.13460369440080133,8.7265625,29,14
1997,1997-10-15 23:00:00,1997-10-21 18:00:00,0.1953257386848001,0.13461241805815632,11.078125,51,14
1997,1997-11-08 05:00:00,1997-11-09 19:00:00,0.1525370484776094,0.13520908087076547,10.2421875,9,14
1998,1998-01-28 00:00:00,1998-02-01 16:00:00,0.2201674285080101,0.1359501602838135,10.9609375,38,15
1998,1998-02-27 00:00:00,1998-03-01 02:00:00,0.15140785622654035,0.13464099797585175,13.03125,9,15
1998,1998-05-13 00:00:00,1998-05-15 05:00:00,0.224284785698405,0.1373550609497371,11.1171875,37,15
1998,1998-08-24 01:00:00,1998-08-28 16:00:00,0.22760881900719238,0.1340727284285253,13.25,64,15
1998,1998-09-01 07:00:00,1998-09-02 21:00:00,0.19764277891873933,0.13436294220278056,12.5625,19,15
1999,1999-01-31 11:00:00,1999-02-02 12:00:00,0.17789665448042086,0.13653450285004834,10.734375,16,16
1999,1999-02-25 08:00:00,1999-02-26 22:00:00,0.15465071695692942,0.13731922919509718,10.7578125,8,16
1999,1999-03-15 08:00:00,1999-03-16 11:00:00,0.19090647331269534,0.13406557671311914,9.7578125,11,16
1999,1999-04-30 11:00:00,1999-05-03 04:00:00,0.23130821889983003,0.13578241051302148,10.53125,42,16
1999,1999-05-14 22:00:00,1999-05-18 03:00:00,0.22582421757237667,0.13533523426064295,10.65625,30,16
1999,1999-09-13 14:00:00,1999-09-16 19:00:00,0.2603250548219793,0.13408128993715743,12.984375,30,16
1999,1999-09-21 08:00:00,1999-09-23 12:00:00,0.23749485082339655,0.13705800853298364,16.2109375,43,16
1999,1999-10-18 05:00:00,1999-10-18 19:00:00,0.26179712052045995,0.1357255643045275,12.7265625,12,16
1999,1999-11-22 10:00:00,1999-11-25 14:00:00,0.16741384201019976,0.1353685143914513,11.7109375,16,16
1999,1999-12-01 06:00:00,1999-12-03 09:00:00,0.18002135661563173,0.13485024704731668,11.9296875,24,16
1999,1999-12-15 03:00:00,1999-12-15 18:00:00,0.15578257774779924,0.13915326054086646,14.15625,8,16
2000,2000-01-20 11:00:00,2000-01-22 14:00:00,0.17030638177820023,0.13488743157802702,13.203125,10,17
2000,2000-01-25 02:00:00,2000-01-25 18:00:00,0.20891934955973693,0.14412996967845934,10.78125,14,17
2000,2000-04-18 23:00:00,2000-04-21 02:00:00,0.1799497092109889,0.1347369015054813,8.984375,14,17
2000,2000-05-29 19:00:00,2000-05-31 23:00:00,0.19828095177303032,0.13613435413193833,10.65625,25,17
2000,2000-09-06 06:00:00,2000-09-07 22:00:00,0.1964319467979223,0.13573702553633252,10.6640625,23,17
2000,2000-09-30 01:00:00,2000-10-02 17:00:00,0.1769386107036337,0.1341436456231911,10.5625,28,17
2000,2000-10-27 10:00:00,2000-10-29 15:00:00,0.19986541168245386,0.13627873500838658,10.75,21,17
2000,2000-12-03 16:00:00,2000-12-04 21:00:00,0.1799770221993445,0.13496287158331297,10.765625,21,17
2001,2001-03-06 08:00:00,2001-03-10 15:00:00,0.2206398001994112,0.13509758014784062,14.140625,42,18
2001,2001-03-21 06:00:00,2001-03-23 00:00:00,0.23829157789764005,0.13771487879674446,11.65625,20,18
2001,2001-05-07 00:00:00,2001-05-10 04:00:00,0.17448811877999076,0.13404640923579705,10.109375,23,18
2001,2001-09-14 21:00:00,2001-09-18 12:00:00,0.21038922694583007,0.13482626862570268,9.3828125,33,18
2001,2001-09-30 09:00:00,2001-10-02 13:00:00,0.20899448415624175,0.13444667376348735,9.890625,35,18
2001,2001-10-12 21:00:00,2001-10-13 23:00:00,0.17401103619712327,0.1345280031798511,12.3359375,11,18
2001,2001-11-05 13:00:00,2001-11-07 06:00:00,0.19102546087130282,0.13477857873240912,14.125,13,18
2001,2001-11-26 20:00:00,2001-11-30 13:00:00,0.2010040375369401,0.1341950358573613,14.2890625,30,18
2001,2001-12-26 09:00:00,2001-12-28 10:00:00,0.15053808149465792,0.13462030953346038,13.453125,8,18
2002,2002-01-03 14:00:00,2002-01-04 18:00:00,0.1958083998793438,0.13886905194031995,10.6875,14,19
2002,2002-02-25 09:00:00,2002-02-28 00:00:00,0.15940187854986115,0.13472689384268116,10.5859375,12,19
2002,2002-09-09 13:00:00,2002-09-11 16:00:00,0.25555756034316823,0.13528804805413958,11.3984375,22,19
