domain_number,model_years,dune_interval_yr,coastsat_lrr_m_yr,coastsat_target_m,coastsat_target_loess_m,dune_rate_m_yr,dune_measured_change_m,dune_target_m,dune_target_loess_m,target_difference_m,model_ends_solved_on_coastsat_m,model_ends_solved_on_duneline_m,model_ends_unsolved_m
55,14,14.086,-1.037,-14.518,-10.462,-1.604,-22.594,-22.456,-9.782,7.938,3.889,3.889,3.889
56,14,14.086,-0.507,-7.098,-5.987,-0.24,-3.381,-3.36,-7.135,-3.738,3.617,3.617,3.617
57,14,14.086,0.289,4.046,-2.462,0.549,7.733,7.686,-4.298,-3.64,3.529,3.529,3.528
58,14,14.086,0.617,8.638,-0.29,0.052,0.732,0.728,-2.772,7.91,2.732,2.732,2.731
59,14,14.086,0.435,6.09,0.653,0.314,4.423,4.396,-3.687,1.694,1.459,1.459,1.458
60,14,14.086,-0.251,-3.514,3.165,-0.254,-3.578,-3.556,-6.284,0.042,-0.912,-0.913,-0.914
61,14,14.086,-1.116,-15.624,7.466,-1.111,-15.65,-15.554,-8.356,-0.07,-3.199,-3.2,-3.202
62,14,14.086,-1.247,-17.458,12.39,-1.545,-21.763,-21.63,-8.567,4.172,-7.267,-7.269,-7.272
63,14,14.086,1.441,20.174,19.202,-1.162,-16.368,-16.268,-6.311,36.442,-8.671,-8.674,-8.68
64,14,14.086,2.272,31.808,26.932,-0.371,-5.226,-5.194,-1.18,37.002,-9.229,-9.235,-9.245
65,14,14.086,2.905,40.67,31.251,0.474,6.677,6.636,5.369,34.034,-10.163,-10.172,-10.188
66,14,14.086,4.799,67.186,32.016,1.518,21.383,21.252,11.226,45.934,-13.15,-13.163,-13.188
67,14,14.086,3.927,54.978,31.788,2.157,30.384,30.198,15.282,24.78,-18.367,-18.386,-18.426
68,14,14.086,1.656,23.184,30.352,1.732,24.397,24.248,17.354,-1.064,-23.801,-23.827,-23.888
69,14,14.086,1.51,21.14,27.243,0.968,13.635,13.552,17.803,7.588,-29.761,-29.791,-29.885
70,14,14.086,1.923,26.922,23.042,1.165,16.41,16.31,16.997,10.612,-32.084,-32.103,-32.244
71,14,14.086,1.429,20.006,17.964,0.453,6.381,6.342,14.952,13.664,-35.817,-35.78,-35.989
72,14,14.086,1.752,24.528,12.795,1.49,20.988,20.86,11.041,3.668,-37.025,-36.797,-37.104
73,14,14.086,0.403,5.642,7.36,2.098,29.553,29.372,5.861,-23.73,-38.077,-38.202,-38.646
74,14,14.086,-0.882,-12.348,0.674,0.718,10.114,10.052,0.042,-22.4,-40.196,-40.155,-40.794
75,14,14.086,0.062,0.868,-6.177,-1.186,-16.706,-16.604,-6.245,17.472,-41.577,-41.933,-42.845
76,14,14.086,-0.619,-8.666,-10.018,-1.502,-21.157,-21.028,-12.798,12.362,-41.777,-42.434,-43.731
77,14,14.086,-2.126,-29.764,-10.76,-1.583,-22.298,-22.162,-17.466,-7.602,-39.238,-40.172,-42.023
78,14,14.086,-3.527,-49.378,-10.818,-2.249,-31.68,-31.486,-18.384,-17.892,-38.616,-39.961,-42.657
79,14,14.086,-0.86,-12.04,-11.792,-1.117,-15.734,-15.638,-16.596,3.598,-36.104,-37.927,-41.281
80,14,14.086,-0.14,-1.96,-12.081,-1.177,-16.579,-16.478,-14.008,14.518,-30.177,-32.61,-37.145
81,14,14.086,-0.16,-2.24,-10.879,0.152,2.141,2.128,-11.537,-4.368,-23.465,-26.674,-32.231
82,14,14.086,-1.723,-24.122,-9.815,-0.08,-1.127,-1.12,-8.332,-23.002,-15.925,-20.111,-27.149
83,14,14.086,-1.257,-17.598,-8.804,-2.517,-35.455,-35.238,-4.825,17.64,-9.256,-14.658,-23.628
84,14,14.086,-0.415,-5.81,-6.716,-1.572,-22.144,-22.008,-1.947,16.198,0.701,-6.2,-17.591
85,14,14.086,-0.12,-1.68,-1.498,0.309,4.353,4.326,0.483,-6.006,10.215,1.479,-12.846
86,14,14.086,0.145,2.03,5.497,0.653,9.198,9.142,4.137,-7.112,17.284,6.322,-11.534
87,14,14.086,0.793,11.102,11.957,0.301,4.24,4.214,8.351,6.888,24.505,10.87,-11.173
88,14,14.086,2.023,28.322,18.3,1.065,15.002,14.91,12.32,13.412,29.757,12.941,-14.046
89,14,14.086,1.766,24.724,24.721,1.344,18.932,18.816,16.156,5.908,34.951,14.39,-18.498
90,14,14.086,1.912,26.768,31.105,1.131,15.931,15.834,19.897,10.934,41.352,16.608,-23.545
