domain_number,mean_1996_2024,mean_1996_2010,mean_2010_2024
1,2.843,3.23,6.896
2,2.527,2.787,4.05
3,2.464,2.07,3.441
4,1.919,1.839,3.311
5,0.821,0.1,2.411
6,-1.388,-1.345,-1.13
7,-1.314,-2.054,-0.168
8,-0.324,-1.096,1.573
9,0.137,-1.274,2.643
10,0.714,-1.362,3.724
11,0.792,-1.95,4.048
12,0.617,-2.387,3.531
13,0.564,-1.985,2.828
14,1.057,-1.093,3.603
15,1.252,0.088,3.585
16,1.033,1.259,2.756
17,1.308,1.279,2.981
18,1.678,1.703,3.371
19,1.833,1.602,3.307
20,1.197,-0.213,3.223
21,-0.043,-0.812,1.667
22,-0.843,-0.56,-0.026
23,-1.863,-1.67,-0.582
24,-2.273,-2.749,0.705
25,-2.477,-3.189,0.442
26,-1.547,-1.931,0.292
27,0.007,2.113,-0.587
28,1.902,3.092,2.23
29,2.921,3.158,4.642
30,3.173,1.576,4.601
31,2.595,1.988,2.518
32,1.48,1.991,2.255
33,1.353,1.659,2.536
34,1.816,-0.241,3.805
35,0.6,-2.595,3.464
36,0.006,-3.566,2.489
37,-0.121,-2.39,1.02
38,0.129,0.537,0.962
39,0.205,0.528,1.401
40,0.334,0.732,0.835
41,0.611,1.557,0.774
42,0.393,1.269,0.133
43,0.19,0.825,0.302
44,0.061,1.165,0.07
45,-0.504,0.503,-0.109
46,-1.094,-1.016,-0.994
47,-1.028,-1.437,-0.037
48,-0.401,-0.11,0.09
49,-0.293,1.485,-0.75
50,-0.591,-0.014,-1.355
51,-0.663,-0.581,-1.31
52,-0.896,0.37,-1.808
53,-0.987,-0.543,-1.242
54,-0.853,0.193,-1.314
55,-0.449,0.393,-1.037
56,-0.205,0.357,-0.507
57,-0.004,-0.191,0.289
58,0.314,0.209,0.617
59,0.247,0.31,0.435
60,-0.562,-0.311,-0.251
61,-1.299,-0.736,-1.116
62,-1.546,-0.368,-1.247
63,-0.816,-2.022,1.441
64,-0.161,-2.074,2.272
65,0.478,-2.299,2.905
66,2.142,-1.072,4.799
67,2.771,2.21,3.927
68,2.263,5.065,1.656
69,1.529,3.786,1.51
70,0.842,0.681,1.923
71,0.687,-0.44,1.429
72,1.018,-0.895,1.752
73,1.056,-0.418,0.403
74,0.39,1.735,-0.882
75,-0.937,0.004,0.062
76,-1.954,-3.045,-0.619
77,-1.734,-3.238,-2.126
78,-1.936,-2.659,-3.527
79,-1.62,-1.735,-0.86
80,-2.516,-5.449,-0.14
81,-1.883,-4.546,-0.16
82,-1.489,-0.62,-1.723
83,-2.126,-2.234,-1.257
84,-1.587,-3.328,-0.415
85,-1.038,-2.715,-0.12
86,-0.544,-2.475,0.145
87,0.032,-2.071,0.793
88,1.004,-0.912,2.023
89,1.182,-0.202,1.766
90,1.194,-0.304,1.912
