domain,topo_version,n_profiles,shift_m_median,shift_m_p10,shift_m_p90,spread_straddles_zero,n_cells,action,residual_m,rows_now,rows_after,n_road_profiles,setback_v2_m,setback_new_m,setback_new_p10_m,setback_new_p90_m,setback_derived_m,setback_raw84_m,insert_anchor,road_land_max_cell,road_land_spread_cells,insert_row_behind_road,crest_row,rows_behind_road,setback_model_now_m,flags
1,v2,50,-12.4,-54.2,0.6,1,-1,remove,-2.4,161,160,0,,,,,,,crest,,,1.0,0.0,existing rows 1..1 removed,,SPREAD_STRADDLES_ZERO
2,v2,50,14.6,-10.8,35.8,1,1,add,4.6,159,160,0,,,,,,,crest,,,1.0,0.0,new rows 1..1,,SPREAD_STRADDLES_ZERO
3,v2,50,39.8,27.9,43.2,0,3,add,9.8,157,160,0,,,,,,,crest,,,1.0,0.0,new rows 1..3,,
4,v2,50,28.7,22.7,36.2,0,2,add,8.7,155,157,0,,,,,,,crest,,,1.0,0.0,new rows 1..2,,
5,v2,50,62.3,42.4,70.8,0,6,add,2.3,158,164,0,,,,,,,crest,,,1.0,0.0,new rows 1..6,,
6,v2,50,8.8,-0.5,74.7,1,0,none,8.8,174,174,0,,,,,,,,,,,,,,
7,v2,50,5.1,-13.1,8.2,1,0,none,5.1,178,178,0,,,,,,,,,,,,,,
8,v2,50,-10.3,-16.3,21.3,1,-1,remove,-0.3,170,169,0,,,,,,,crest,,,1.0,0.0,existing rows 1..1 removed,,"ROAD_EXCLUDED_FROM_SPAN,SPREAD_STRADDLES_ZERO"
9,v2,50,-4.5,-11.8,12.5,1,0,none,-4.5,163,163,50,40.0,30.3,22.6,62.5,40.0,46.3,,,,,,,40.0,
10,v2,50,5.2,1.3,10.4,0,0,none,5.2,154,154,50,20.0,28.5,21.3,36.2,20.0,42.3,,,,,,,20.0,
11,v2,50,19.9,9.5,24.0,0,1,add,9.9,162,163,50,10.0,24.5,15.3,31.9,20.0,38.3,road,3.0,1.0,4.0,,new rows 4..4,10.0,
12,v2,50,17.7,3.0,26.6,0,1,add,7.7,170,171,50,20.0,35.0,25.8,42.2,30.0,50.0,road,4.0,1.0,5.0,,new rows 5..5,20.0,
13,v2,50,7.3,2.4,18.7,0,0,none,7.3,168,168,50,20.0,32.3,26.0,50.5,20.0,65.9,,,,,,,20.0,
14,v2,50,3.6,0.7,5.8,0,0,none,3.6,35,35,50,60.0,60.1,35.4,65.1,60.0,74.0,,,,,,,60.0,
15,v2,50,-19.1,-29.2,-9.8,0,-1,remove,-9.1,32,31,50,60.0,40.9,19.7,58.5,50.0,62.0,road,8.0,1.0,6.0,,existing rows 6..6 removed,60.0,
16,v2,50,-49.5,-56.7,-14.1,0,-4,remove,-9.5,61,57,50,40.0,1.4,-27.8,24.3,0.0,31.1,road,8.0,3.0,2.0,,existing rows 2..5 removed,40.0,NEAR_ZERO_NEW(<10m)
17,v2,50,0.3,-10.8,11.3,1,0,none,0.3,71,71,50,90.0,92.7,59.2,121.1,90.0,109.8,,,,,,,90.0,
18,v2,50,7.7,0.4,11.1,0,0,none,7.7,87,87,50,120.0,120.9,111.0,136.7,120.0,141.2,,,,,,,120.0,
19,v2,50,-1.6,-2.8,1.0,1,0,none,-1.6,97,97,50,130.0,127.7,97.7,137.7,130.0,145.6,,,,,,,130.0,
20,v2,50,-7.3,-15.9,-5.9,0,0,none,-7.3,103,103,50,70.0,51.6,42.1,72.9,70.0,87.8,,,,,,,70.0,
21,v2,50,-4.6,-12.7,2.1,1,0,none,-4.6,113,113,50,120.0,114.6,91.2,145.7,120.0,135.2,,,,,,,120.0,
22,v2,50,-17.8,-25.1,-4.9,0,-1,remove,-7.8,128,127,50,170.0,161.8,131.4,203.1,160.0,196.4,road,24.0,5.0,18.0,,existing rows 18..18 removed,170.0,
23,v2,50,-11.6,-23.1,-6.9,0,-1,remove,-1.6,134,133,50,230.0,212.9,205.2,221.1,220.0,234.9,road,25.0,1.0,23.0,,existing rows 23..23 removed,230.0,
24,v2,50,-6.6,-16.5,-4.1,0,0,none,-6.6,141,141,50,210.0,203.5,192.6,215.8,210.0,224.1,,,,,,,210.0,
25,v2,50,-4.7,-8.2,10.5,1,0,none,-4.7,138,138,50,200.0,196.2,191.4,209.2,200.0,215.2,,,,,,,200.0,
26,v2,50,6.4,0.7,18.6,0,0,none,6.4,148,148,50,195.0,204.7,151.3,250.3,195.0,256.5,,,,,,,195.0,
27,v2,50,-3.9,-10.5,16.1,1,0,none,-3.9,161,161,50,220.0,220.5,193.0,268.5,220.0,283.2,,,,,,,220.0,
28,v2,50,-0.0,-6.3,6.4,1,0,none,-0.0,166,166,50,250.0,252.8,223.2,269.1,250.0,288.1,,,,,,,250.0,
29,v2,50,-8.8,-16.5,-0.1,0,0,none,-8.8,154,154,50,260.0,251.9,241.8,259.9,260.0,272.7,,,,,,,260.0,
30,v2,50,-12.3,-27.3,-6.3,0,-1,remove,-2.3,140,139,50,250.0,233.6,216.9,242.0,240.0,254.8,road,27.0,1.0,25.0,,existing rows 25..25 removed,250.0,
31,v2,50,-12.7,-29.6,-5.7,0,-1,remove,-2.7,139,138,50,230.0,217.3,206.7,234.0,220.0,249.3,road,26.0,1.0,23.0,,existing rows 23..23 removed,230.0,
32,v2,50,-10.2,-17.0,-3.7,0,-1,remove,-0.2,141,140,50,210.0,197.5,170.1,214.7,200.0,222.4,road,24.0,2.0,21.0,,existing rows 21..21 removed,210.0,
33,v2,50,-13.7,-19.7,-8.3,0,-1,remove,-3.7,137,136,50,180.0,163.1,148.6,176.8,170.0,261.2,road,23.0,3.0,18.0,,existing rows 18..18 removed,180.0,
34,v2,50,-14.8,-19.5,0.3,1,-1,remove,-4.8,136,135,50,210.0,199.8,151.9,216.5,200.0,317.9,road,25.0,2.0,21.0,,existing rows 21..21 removed,210.0,SPREAD_STRADDLES_ZERO
35,v2,50,-10.0,-20.1,-0.4,0,-1,remove,-0.0,116,115,50,195.0,182.9,161.3,199.6,185.0,334.0,road,22.0,1.0,20.0,,existing rows 20..20 removed,195.0,
36,v2,50,-14.1,-19.4,-6.2,0,-1,remove,-4.1,134,133,50,350.0,338.8,317.7,366.5,340.0,341.6,road,41.0,4.0,35.0,,existing rows 35..35 removed,350.0,
37,v2,50,-15.1,-32.9,-9.1,0,-1,remove,-5.1,159,158,50,330.0,314.9,301.6,325.1,320.0,336.8,road,37.0,2.0,33.0,,existing rows 33..33 removed,330.0,
38,v2,50,-21.3,-37.6,-7.1,0,-2,remove,-1.3,166,164,50,300.0,272.1,257.4,297.3,280.0,288.4,road,34.0,3.0,29.0,,existing rows 29..30 removed,300.0,
