domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
1,9,24.17,6.119,12.14,32.633,2.078,0.526,0.0,5.0,4.0,0
2,11,24.769,5.3,14.58,34.86,2.13,0.456,0.0,5.0,7.0,0
3,10,31.836,6.122,21.51,38.56,2.737,0.526,0.0,5.0,5.0,0
4,13,41.274,6.54,31.75,52.337,3.549,0.562,0.0,5.0,7.0,0
5,13,12.589,12.491,-4.683,36.663,1.082,1.074,15.385,5.0,5.0,0
6,6,-17.703,7.098,-28.01,-6.433,-1.522,0.61,100.0,6.0,6.0,0
7,4,-27.867,4.475,-30.5,-21.2,-2.396,0.385,100.0,6.0,4.0,0
8,8,-11.394,4.109,-17.088,-6.15,-0.98,0.353,100.0,6.0,7.0,0
9,9,-17.456,2.121,-20.65,-13.75,-1.501,0.182,100.0,6.0,5.0,0
10,10,-25.58,7.736,-36.86,-17.877,-2.199,0.665,100.0,5.5,7.0,0
11,10,-38.886,4.548,-46.758,-33.533,-3.343,0.391,100.0,4.0,4.0,0
12,10,-38.685,4.1,-46.213,-34.373,-3.326,0.353,100.0,6.0,6.0,0
13,11,-30.161,3.475,-35.208,-24.879,-2.593,0.299,100.0,6.0,6.0,0
14,10,-14.121,6.756,-24.1,-3.51,-1.214,0.581,100.0,5.0,5.0,0
15,10,6.314,9.982,-6.675,24.36,0.543,0.858,30.0,5.0,6.5,0
16,10,28.329,2.431,25.017,32.16,2.436,0.209,0.0,5.0,5.0,0
17,10,36.117,6.471,26.145,44.429,3.105,0.556,0.0,4.0,7.0,0
18,10,30.837,8.857,17.597,43.246,2.651,0.762,0.0,4.5,5.0,0
19,10,12.618,4.617,2.507,18.357,1.085,0.397,0.0,6.0,7.0,0
20,10,-9.251,6.169,-19.983,-0.717,-0.795,0.53,100.0,6.0,5.0,0
21,11,3.558,5.915,-6.715,11.355,0.306,0.509,27.273,8.0,7.0,0
22,10,-0.47,13.825,-22.551,14.143,-0.04,1.189,50.0,7.0,5.0,0
23,10,-28.546,5.852,-36.739,-18.457,-2.454,0.503,100.0,7.0,9.5,0
24,10,-34.467,3.893,-41.675,-30.138,-2.964,0.335,100.0,8.0,8.0,0
25,10,-21.714,8.636,-32.498,-9.126,-1.867,0.743,100.0,8.0,9.0,0
26,10,-10.04,5.592,-19.025,-0.961,-0.863,0.481,100.0,7.0,8.0,0
27,10,27.155,9.615,9.8,38.557,2.335,0.827,0.0,6.0,9.0,0
28,10,31.409,3.812,27.263,38.806,2.701,0.328,0.0,8.0,8.0,0
29,10,32.954,7.151,23.657,42.033,2.833,0.615,0.0,7.0,8.5,0
30,10,32.731,8.912,21.816,47.063,2.814,0.766,0.0,7.0,8.0,0
31,11,45.456,6.596,31.717,51.032,3.908,0.567,0.0,8.0,9.0,0
32,10,18.378,7.966,6.361,31.862,1.58,0.685,0.0,8.0,9.5,0
33,11,6.459,6.079,-3.55,12.382,0.555,0.523,27.273,8.0,9.0,0
34,10,-8.093,2.312,-12.494,-5.467,-0.696,0.199,100.0,7.0,9.5,0
35,11,-26.819,13.132,-43.618,-10.972,-2.306,1.129,100.0,7.0,8.0,0
36,10,-38.466,8.899,-49.461,-25.57,-3.307,0.765,100.0,6.5,10.0,0
37,11,-22.878,2.653,-25.671,-17.93,-1.967,0.228,100.0,7.0,8.0,0
38,10,8.162,15.385,-12.127,29.444,0.702,1.323,40.0,7.0,10.0,0
39,10,19.009,8.878,8.167,33.75,1.634,0.763,0.0,6.0,8.0,0
40,10,5.668,5.251,-4.102,11.783,0.487,0.451,20.0,7.0,9.0,0
41,10,-5.229,7.11,-15.112,8.554,-0.45,0.611,70.0,6.0,8.0,0
42,10,26.171,6.218,15.516,32.12,2.25,0.535,0.0,7.0,10.0,0
43,10,9.475,3.277,5.716,15.46,0.815,0.282,0.0,8.0,8.0,0
44,10,22.714,1.637,19.838,26.14,1.953,0.141,0.0,8.0,9.5,0
45,10,16.15,2.058,13.339,19.412,1.389,0.177,0.0,8.0,8.0,0
46,10,5.136,4.802,-1.93,14.01,0.442,0.413,20.0,5.0,10.5,0
