domain,model_total_change_m,model_rate_m_per_yr
0,5.084016974310089,0.26757984075316255
1,4.983754068960707,0.262302845734774
2,5.045527127828336,0.26555405935938614
3,5.029253396023478,0.2646975471591304
4,5.389222692547719,0.2836432996077747
5,5.129632295646388,0.2699806471392836
6,4.8581911204241806,0.2556942694960095
7,4.806990639610831,0.25299950734793847
8,4.43678732305716,0.23351512226616633
9,3.2305999307554885,0.17003157530292046
10,1.522452218615399,0.08012906413765258
11,-1.779413363075946,-0.09365333489873401
12,-8.841494856946156,-0.46534183457611344
13,-19.615220421914273,-1.0323800222060144
14,-37.57487524815542,-1.9776250130608117
15,-65.5724951901575,-3.4511839573767102
16,-56.181594338296236,-2.956926017805065
17,-47.848020311117125,-2.5183168584798485
18,-40.819121941418416,-2.148374839022022
19,-30.65144285132783,-1.613233834280412
20,-15.667397888082178,-0.8245998888464304
21,-15.293112750239743,-0.8049006710652497
22,-17.673559212800228,-0.9301873269894857
23,-16.34230110551607,-0.8601211108166353
24,-15.512355020090126,-0.8164397378994803
25,-11.666913413695966,-0.6140480744050508
26,-10.212426416460858,-0.5374961271821505
27,-8.601847650372292,-0.45272882370380485
28,-7.109226839477742,-0.37416983365672324
29,-2.6370015238658198,-0.13878955388767472
30,2.588333751825303,0.13622809220133172
31,8.273363637654711,0.4354401914555111
32,12.003955411239986,0.6317871269073677
33,14.754035435514652,0.7765281808165606
34,17.12676429933117,0.9014086473332196
35,21.944341945719316,1.1549653655641745
36,24.58219423802211,1.2937996967380059
37,24.514850924146685,1.290255311797194
38,24.576598801270393,1.2935052000668628
39,22.49843864707418,1.1841283498460096
40,18.32317341124667,0.9643775479603511
41,14.828920826074409,0.780469517161811
42,17.823927778686993,0.9381014620361575
43,21.355988810286817,1.1239994110677272
44,25.131718068804275,1.3227220036212777
45,28.65848513932633,1.5083413231224385
46,30.164861409056357,1.5876242846871766
47,31.877061035167117,1.6777400544824799
48,31.114441653666518,1.6376021922982378
49,31.873842145933168,1.6775706392596403
50,29.324178142065875,1.5433777969508355
51,28.64132973343908,1.5074384070231095
52,26.281161260918225,1.3832190137325382
53,22.48132276735464,1.183227514071297
54,17.83807139344799,0.9388458628130522
55,15.18328001750433,0.7991200009212805
56,10.661640744895749,0.5611389865734605
57,8.201387322491883,0.431651964341678
58,7.844525263631795,0.41286975071746285
59,5.8302359439487645,0.30685452336572444
60,3.9287545832942214,0.20677655701548533
61,1.254267774780601,0.06601409340950531
62,-1.224794404766726,-0.06446286340877505
63,-2.055849710293387,-0.10820261633123089
64,-3.5146957082936297,-0.18498398464703314
65,-5.182145303986772,-0.27274448968351434
66,-5.7997174130496205,-0.30524828489734845
67,-6.564391980321716,-0.3454943147537745
68,-2.6145612940454157,-0.13760848916028504
69,0.9178376675261006,0.04830724565926845
70,3.063203734223862,0.16122124916967695
71,10.946659750905837,0.576139986889781
72,19.051482538472328,1.0027096072880173
73,25.689484676674965,1.3520781408776297
74,36.32618422933251,1.9119044331227637
75,42.93682955549548,2.259833134499762
76,49.86238167373676,2.624335877565093
77,51.70682081598625,2.721411621894013
78,50.91718186368939,2.6798516770362837
79,47.64153843672079,2.5074493914063574
80,42.95782943840641,2.260938391495074
81,38.532644533256644,2.0280339228029813
82,34.76858429800768,1.8299254893688253
83,28.68107165721949,1.5095300872220785
84,20.373502044101542,1.0722895812685023
85,13.893480852458651,0.731235834339929
86,7.61491730492844,0.40078512131202315
87,4.321653617276297,0.22745545354085775
88,1.898313999439324,0.09991126312838548
89,-1.8710879328868941,-0.09847831225720495
90,-5.702323576611661,-0.30012229350587694
91,-7.748301785693911,-0.4078053571417848
92,-7.333154224658983,-0.38595548550836756
93,-8.460365700949751,-0.4452824053131448
94,-14.160903831321775,-0.745310727964304
95,-18.81094553543153,-0.990049765022712
96,-20.174954451556914,-1.0618397079766797
97,-21.4823786775803,-1.1306515093463316
98,-19.672311138048144,-1.0353847967393761
99,-15.181474602579328,-0.7990249790831225
100,-11.109535864782856,-0.5847124139359398
101,-10.516159293537157,-0.5534820680809031
102,-8.186832372230128,-0.4308859143279015
103,-2.412823126799367,-0.12699069088417722
104,5.390990372972283,0.2837363354195938
105,5.999515346186854,0.3157639655887818
106,5.510068689707168,0.2900036152477457
107,5.738806632772821,0.30204245435646426
108,5.006047020914821,0.26347615899551685
109,5.523238015150582,0.2906967376395043
110,4.9155663440915305,0.25871401811008055
111,5.304495962001511,0.2791839980000795
112,4.877205864232337,0.2566950454859125
113,4.601765038001531,0.24219815989481744
114,5.256972988615871,0.2766827888745195
115,5.389107467959548,0.28363723515576567
116,4.8615611789059585,0.25587164099505044
117,4.692675146776992,0.24698290246194693
118,5.117500991457291,0.2693421574451206
119,4.834853706581725,0.2544659845569329
