domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
11,10,-0.4129,-1.5476,-1.6351,-1.5224,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,23.0,23.0,23.0,2018.0,0.0,23.0,23.0,23.0,2018.0,0.0,22.0,22.0,22.0,2017.0,0.0,23.0,23.0,23.0,2018.0
12,10,-0.6907,-1.7796,-1.8414,-1.705,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,25.0,24.0,25.0,2020.0,0.0,23.0,23.0,23.0,2018.0,0.0,23.0,23.0,23.0,2018.0,0.0,22.0,20.25,22.0,2017.0,0.0,23.0,23.0,23.0,2018.0
13,11,-0.6941,-1.4227,-1.5703,-1.0937,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,19.0,17.5,22.0,2014.0,0.0,23.0,22.0,23.0,2018.0,0.1818,16.0,16.0,18.5,2011.0,0.0,23.0,23.0,23.0,2018.0
14,10,-0.1974,-0.8866,-0.9536,-0.7794,0.0,24.0,24.0,24.0,2019.0,0.0,24.0,24.0,24.0,2019.0,0.0,25.0,25.0,25.0,2020.0,0.1,18.0,18.0,22.0,2013.0,0.0,23.0,23.0,23.0,2018.0,0.9,15.0,15.0,15.0,2010.0,0.2,23.0,23.0,23.0,2018.0
15,10,0.2832,-0.1817,-0.532,0.1768,0.2,23.0,21.25,23.0,2018.0,0.4,22.5,19.0,23.0,2017.5,0.0,25.0,23.0,25.0,2020.0,0.8,14.0,12.0,20.5,2009.0,0.6,19.0,13.5,22.0,2014.0,1.0,11.5,8.0,13.0,2006.5,0.8,19.0,11.5,22.0,2014.0
16,10,0.0042,1.2942,1.1468,1.3837,0.0,20.5,20.0,21.75,2015.5,0.0,20.0,20.0,21.0,2015.0,0.0,25.0,25.0,25.0,2020.0,0.0,19.0,19.0,19.0,2014.0,0.0,19.0,19.0,19.75,2014.0,0.2,16.5,16.0,18.5,2011.5,0.0,19.0,19.0,19.0,2014.0
17,10,0.2765,0.9262,0.8993,1.0251,0.0,21.5,20.25,22.0,2016.5,0.0,21.0,20.0,22.0,2016.0,0.0,23.0,22.0,24.0,2018.0,0.0,17.5,16.25,18.0,2012.5,0.0,18.0,18.0,19.0,2013.0,0.6,15.0,15.0,16.0,2010.0,0.0,18.0,16.5,18.75,2013.0
18,10,0.7005,0.9921,0.896,1.0404,0.0,22.5,22.0,24.0,2017.5,0.0,20.5,19.0,23.0,2015.5,0.0,23.5,22.0,24.0,2018.5,0.0,16.0,16.0,18.0,2011.0,0.0,18.0,17.0,18.0,2013.0,0.6,15.0,15.0,16.0,2010.0,0.0,17.0,16.0,18.0,2012.0
19,10,1.1646,0.4311,0.1754,0.7595,0.3,22.0,22.0,22.0,2017.0,0.3,22.0,19.75,22.0,2017.0,0.3,22.0,19.75,22.0,2017.0,0.6,15.0,14.25,16.0,2010.0,0.6,15.0,14.25,16.0,2010.0,0.8,14.0,13.0,15.0,2009.0,0.6,15.0,14.25,16.0,2010.0
20,10,0.3406,-0.514,-0.7807,-0.279,0.0,22.0,21.0,22.0,2017.0,0.3,21.5,20.25,22.0,2016.5,0.0,23.0,21.25,24.0,2018.0,0.6,20.0,19.0,20.0,2015.0,0.5,20.0,19.0,21.0,2015.0,0.9,16.0,13.0,19.0,2011.0,0.6,20.0,19.0,21.0,2015.0
21,11,-0.8659,0.0021,-0.7912,0.6204,0.0909,22.0,21.0,23.0,2017.0,0.0909,22.0,20.5,23.0,2017.0,0.0909,22.0,21.0,23.0,2017.0,0.3636,18.0,15.5,20.0,2013.0,0.3636,18.0,16.0,20.5,2013.0,0.7273,15.0,9.0,18.0,2010.0,0.4545,18.0,15.5,20.5,2013.0
22,10,-1.3596,0.8498,0.7846,0.9387,0.0,23.0,23.0,23.0,2018.0,0.0,23.0,22.0,23.0,2018.0,0.0,22.0,22.0,22.0,2017.0,0.0,20.0,19.0,21.0,2015.0,0.0,20.0,19.0,21.0,2015.0,0.8,15.0,10.0,16.0,2010.0,0.0,21.0,19.5,21.0,2016.0
23,10,-2.9789,1.3091,1.0383,1.5131,0.0,23.0,23.0,23.0,2018.0,0.0,22.5,22.0,23.0,2017.5,0.0,22.0,21.25,22.0,2017.0,0.0,21.5,21.0,22.0,2016.5,0.0,22.0,22.0,22.0,2017.0,0.2,20.0,20.0,20.0,2015.0,0.0,22.0,22.0,22.0,2017.0
24,10,-3.8449,1.1298,0.963,1.1992,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,21.0,22.0,2017.0,0.1,16.0,16.0,18.0,2011.0,0.0,19.0,16.5,20.75,2014.0,0.0,20.5,19.0,21.0,2015.5,0.4,16.0,15.0,16.0,2011.0,0.0,20.0,16.5,21.0,2015.0
25,10,-3.7658,0.5526,0.4017,0.6954,0.0,18.0,17.25,18.0,2013.0,0.0,17.0,16.0,17.75,2012.0,0.8,15.0,15.0,15.0,2010.0,0.6,15.0,15.0,16.0,2010.0,0.3,16.0,15.25,16.0,2011.0,1.0,15.0,15.0,15.0,2010.0,0.7,15.0,15.0,15.75,2010.0
