domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
70,10,0.3732,0.1351,-0.1882,0.5774,0.2,22.5,18.5,24.0,2017.5,0.3,21.0,18.25,23.0,2016.0,0.1,24.0,20.5,24.0,2019.0,0.7,15.5,12.0,16.75,2010.5,0.7,16.5,15.0,17.0,2011.5,0.9,8.0,7.25,13.25,2003.0,0.8,15.0,5.0,16.75,2010.0
71,10,0.2504,-0.6758,-0.8348,-0.5752,0.0,24.0,23.25,24.0,2019.0,0.0,20.0,20.0,23.0,2015.0,0.0,24.0,24.0,25.0,2019.0,0.2,17.0,16.0,18.5,2012.0,0.2,17.0,16.25,19.5,2012.0,0.8,15.0,8.75,15.0,2010.0,0.3,16.5,15.25,19.25,2011.5
72,10,0.9386,-1.6732,-2.0487,-1.3543,0.0,23.0,23.0,23.0,2018.0,0.0,23.0,23.0,23.0,2018.0,0.0,23.0,23.0,24.0,2018.0,0.0,20.0,20.0,20.0,2015.0,0.0,21.0,21.0,21.0,2016.0,0.0,19.0,18.0,19.0,2014.0,0.0,21.0,21.0,21.0,2016.0
73,10,1.5902,-2.1266,-2.3753,-1.6452,0.0,22.0,20.5,22.0,2017.0,0.0,22.0,20.5,22.0,2017.0,0.0,21.5,19.25,22.0,2016.5,0.0,19.5,18.25,20.0,2014.5,0.0,20.0,19.0,20.75,2015.0,0.1,18.5,18.0,19.0,2013.5,0.0,20.0,18.25,20.0,2015.0
74,10,0.8816,1.0722,0.6019,1.529,0.1,24.0,24.0,24.0,2019.0,0.1,24.0,24.0,24.0,2019.0,0.1,24.0,24.0,24.0,2019.0,0.3,21.0,21.0,21.0,2016.0,0.2,22.0,21.0,23.0,2017.0,0.5,19.5,19.0,20.0,2014.5,0.3,23.0,21.5,23.0,2018.0
75,10,-1.2592,1.21,1.034,1.4292,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,21.25,22.0,2017.0,0.0,18.0,16.5,18.0,2013.0,0.0,18.0,18.0,19.75,2013.0,0.2,16.0,16.0,16.0,2011.0,0.1,18.0,18.0,18.0,2013.0
76,10,-2.2659,-0.898,-1.5997,-0.367,0.1,24.0,23.0,24.0,2019.0,0.1,23.5,23.0,24.0,2018.5,0.3,22.5,22.0,23.0,2017.5,0.4,22.0,22.0,22.0,2017.0,0.3,22.0,22.0,22.75,2017.0,0.5,21.0,16.5,22.0,2016.0,0.4,22.0,22.0,22.75,2017.0
77,10,-1.4188,-1.8605,-1.9809,-1.7729,0.0,24.0,22.0,24.0,2019.0,0.0,23.0,22.0,24.0,2018.0,0.0,23.0,22.0,24.0,2018.0,0.0,20.5,19.25,21.0,2015.5,0.0,21.5,20.25,22.0,2016.5,0.0,19.5,19.0,20.75,2014.5,0.0,21.0,20.25,22.0,2016.0
78,10,-1.4316,-1.4508,-1.7997,-0.9892,0.1,24.0,23.25,24.0,2019.0,0.1,24.0,23.0,24.0,2019.0,0.1,23.0,23.0,24.0,2018.0,0.2,18.0,17.25,19.0,2013.0,0.1,21.0,19.5,23.0,2016.0,0.3,17.5,15.25,18.0,2012.5,0.2,18.5,18.0,22.25,2013.5
79,10,-1.9234,0.375,-0.0116,0.5474,0.3,22.0,21.0,22.75,2017.0,0.4,21.0,19.5,22.75,2016.0,0.5,20.5,19.25,21.0,2015.5,0.8,18.5,15.0,20.0,2013.5,0.6,20.0,18.0,20.75,2015.0,1.0,12.0,12.0,13.0,2007.0,0.9,20.0,18.0,20.75,2015.0
80,10,-3.2954,-2.6306,-3.398,-1.0303,0.1,24.0,22.0,24.0,2019.0,0.1,23.5,21.25,24.0,2018.5,0.2,21.5,21.0,22.75,2016.5,0.2,21.5,20.25,22.0,2016.5,0.2,22.0,21.0,23.75,2017.0,0.3,20.5,20.0,22.0,2015.5,0.2,22.0,21.0,23.75,2017.0
81,10,-2.3244,-2.0418,-2.9867,-1.2162,0.0,24.0,22.25,24.0,2019.0,0.0,23.5,22.0,24.0,2018.5,0.0,22.5,22.0,23.0,2017.5,0.0,22.0,21.0,22.75,2017.0,0.0,22.5,21.25,23.75,2017.5,0.2,20.5,19.0,22.0,2015.5,0.0,22.5,21.25,23.75,2017.5
82,10,-1.2712,0.9002,0.0242,1.4292,0.1,22.0,20.25,23.0,2017.0,0.1,21.0,20.0,21.0,2016.0,0.1,20.5,19.25,21.0,2015.5,0.3,17.5,16.0,18.0,2012.5,0.3,17.5,16.25,18.75,2012.5,0.5,15.0,12.25,16.0,2010.0,0.3,18.0,16.0,18.75,2013.0
83,10,-2.3136,0.3643,-0.5542,0.4888,0.1,20.5,20.0,22.0,2015.5,0.1,20.5,19.0,21.75,2015.5,0.3,19.0,16.0,20.0,2014.0,0.6,17.5,15.0,20.0,2012.5,0.6,19.0,15.25,20.0,2014.0,0.8,15.0,14.25,18.0,2010.0,0.6,17.5,15.0,20.0,2012.5
84,11,-1.7312,-1.6803,-1.7349,-1.3698,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,21.0,22.0,2017.0,0.0,20.0,20.0,20.0,2015.0,0.0,21.0,21.0,21.0,2016.0,0.0,20.0,20.0,20.0,2015.0,0.0,21.0,21.0,21.0,2016.0
85,12,-1.4238,-1.2352,-1.5622,-1.1212,0.0,21.5,21.0,22.0,2016.5,0.0,21.0,21.0,21.0,2016.0,0.0,21.0,20.75,21.0,2016.0,0.0,19.5,19.0,20.0,2014.5,0.0,20.0,19.75,20.0,2015.0,0.0,19.0,18.5,19.0,2014.0,0.0,20.0,20.0,20.0,2015.0
86,12,-0.8352,-1.6398,-1.9086,-1.4226,0.0,22.0,22.0,22.0,2017.0,0.0,22.0,21.0,22.0,2017.0,0.0,22.0,22.0,23.0,2017.0,0.0,20.0,20.0,20.0,2015.0,0.0,20.0,20.0,20.25,2015.0,0.0,19.0,16.0,19.0,2014.0,0.0,20.0,20.0,20.0,2015.0
87,11,-0.4371,-1.6114,-1.7648,-1.5453,0.0,21.0,21.0,22.0,2016.0,0.0,21.0,21.0,22.0,2016.0,0.0,22.0,22.0,22.5,2017.0,0.0,19.0,19.0,20.0,2014.0,0.0,20.0,20.0,20.0,2015.0,0.0,19.0,18.0,19.0,2014.0,0.0,20.0,19.5,20.0,2015.0
88,10,0.2862,-1.198,-1.3003,-1.125,0.0,20.5,20.0,21.0,2015.5,0.0,20.0,20.0,20.0,2015.0,0.0,24.0,23.25,24.0,2019.0,0.0,18.5,18.0,19.0,2013.5,0.0,18.5,18.0,19.0,2013.5,0.0,16.0,16.0,16.0,2011.0,0.0,19.0,18.0,19.0,2014.0
89,9,0.8701,-1.0875,-1.1865,-0.9842,0.0,22.0,21.0,22.0,2017.0,0.0,21.0,21.0,21.0,2016.0,0.0,22.0,21.0,22.0,2017.0,0.0,20.0,19.0,20.0,2015.0,0.0,19.0,19.0,20.0,2014.0,0.3333,16.0,15.0,17.0,2011.0,0.0,20.0,19.0,21.0,2015.0
90,10,0.8532,-1.1484,-1.2106,-0.9078,0.0,23.0,23.0,23.0,2018.0,0.0,22.0,20.0,22.0,2017.0,0.0,23.0,23.0,23.0,2018.0,0.0,19.0,18.0,19.0,2014.0,0.0,19.0,18.0,19.0,2014.0,0.4,16.5,11.0,18.0,2011.5,0.1,19.0,18.0,19.0,2014.0
