domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
1,usa_NC_0032_0021,usa_NC_0032_0021,forward,1996_2020,-0.5125,0.2906,376,1996_2010,2.5023,0.5715,3.0148,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2003,2017,22,2017,2017,22,2003,2017,22,2003,2017,22
1,usa_NC_0032_0022,usa_NC_0032_0022,forward,1996_2020,-0.3295,0.2921,383,1996_2010,2.8369,0.5752,3.1664,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2003,2017,22,2003,2017,22,2003,2017,22,2003,2017,22
1,usa_NC_0032_0023,usa_NC_0032_0023,forward,1996_2020,-0.2187,0.3049,374,1996_2010,3.1991,0.631,3.4178,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2003,2017,22,2017,2017,22,2003,2017,22,2002,2017,22
1,usa_NC_0032_0024,usa_NC_0032_0024,forward,1996_2020,0.0148,0.308,377,1996_2010,3.3678,0.6499,3.353,False,False,False,False,False,False,False,2003,2018,23,2003,2018,23,2019,2019,24,2003,2017,22,2003,2017,22,2003,2017,22,2003,2017,22
1,usa_NC_0032_0025,usa_NC_0032_0025,forward,1996_2020,0.2077,0.3018,382,1996_2010,3.5079,0.6678,3.3002,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2003,2017,22,2017,2017,22,2003,2016,21,2003,2017,22
1,usa_NC_0032_0026,usa_NC_0032_0026,forward,1996_2020,0.4357,0.2921,375,1996_2010,3.4787,0.67,3.043,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2016,2016,21,2017,2017,22,2016,2016,21,2003,2017,22
1,usa_NC_0032_0027,usa_NC_0032_0027,forward,1996_2020,0.5992,0.2858,376,1996_2010,3.483,0.6788,2.8838,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2016,2016,21,2017,2017,22,2004,2016,21,2003,2017,22
1,usa_NC_0032_0028,usa_NC_0032_0028,forward,1996_2020,0.7996,0.2787,369,1996_2010,3.359,0.6951,2.5594,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2004,2016,21,2004,2017,22,2004,2016,21,2003,2017,22
1,usa_NC_0032_0029,usa_NC_0032_0029,forward,1996_2020,1.019,0.2786,370,1996_2010,3.3356,0.677,2.3166,False,False,False,False,False,False,False,2004,2018,23,2004,2018,23,2004,2018,23,2004,2017,22,2004,2017,22,2004,2016,21,2004,2017,22
2,usa_NC_0032_0030,usa_NC_0032_0030,forward,1996_2020,1.1885,0.27,371,1996_2010,3.2457,0.6645,2.0572,False,False,False,False,False,False,False,2006,2018,23,2006,2018,23,2006,2018,23,2005,2017,22,2005,2017,22,2004,2016,21,2004,2017,22
2,usa_NC_0032_0031,usa_NC_0032_0031,forward,1996_2020,1.1484,0.2783,377,1996_2010,3.3532,0.6838,2.2048,False,False,False,False,False,False,False,2005,2018,23,2005,2018,23,2018,2018,23,2004,2017,22,2005,2018,23,2004,2016,21,2004,2017,22
2,usa_NC_0032_0032,usa_NC_0032_0032,forward,1996_2020,1.173,0.2758,373,1996_2010,3.0393,0.717,1.8663,False,False,False,False,False,False,False,2005,2018,23,2005,2018,23,2005,2018,23,2004,2017,22,2005,2018,23,2004,2016,21,2004,2017,22
2,usa_NC_0032_0033,usa_NC_0032_0033,forward,1996_2020,1.2042,0.2913,369,1996_2010,3.0205,0.7586,1.8163,False,False,False,False,False,False,False,2005,2018,23,2005,2018,23,2005,2018,23,2004,2017,22,2004,2018,23,2004,2016,21,2003,2017,22
2,usa_NC_0032_0034,usa_NC_0032_0034,forward,1996_2020,1.3093,0.3001,369,1996_2010,2.92,0.7638,1.6107,False,False,False,False,False,False,False,2004,2018,23,2004,2018,23,2004,2018,23,2004,2016,21,2004,2017,22,2003,2016,21,2003,2017,22
2,usa_NC_0032_0035,usa_NC_0032_0035,forward,1996_2020,1.4373,0.2842,372,1996_2010,2.8604,0.7487,1.4231,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2018,2018,23,2003,2016,21,2003,2017,22,2003,2016,21,2002,2017,22
2,usa_NC_0032_0036,usa_NC_0032_0036,forward,1996_2020,1.505,0.274,377,1996_2010,2.7595,0.7245,1.2545,False,False,False,False,False,False,False,2003,2018,23,2003,2018,23,2003,2018,23,2003,2016,21,2003,2017,22,2003,2015,20,2002,2016,21
2,usa_NC_0032_0037,usa_NC_0032_0037,forward,1996_2020,1.5639,0.2613,376,1996_2010,2.6068,0.6858,1.0429,False,False,False,False,False,False,False,2003,2017,22,2003,2017,22,2003,2017,22,2003,2016,21,2003,2016,21,2003,2011,16,2002,2016,21
2,usa_NC_0032_0038,usa_NC_0032_0038,forward,1996_2020,1.5577,0.2552,375,1996_2010,2.5187,0.6721,0.961,False,False,False,False,False,True,False,2017,2017,22,2017,2017,22,2017,2017,22,2003,2014,19,2003,2016,21,2003,2010,15,2002,2016,21
2,usa_NC_0032_0039,usa_NC_0032_0039,forward,1996_2020,1.5963,0.2445,377,1996_2010,2.1626,0.6519,0.5663,False,False,False,True,False,True,True,2005,2017,22,2005,2017,22,2005,2016,21,2003,2010,15,2005,2016,21,2002,2005,10,2002,2002,7
2,usa_NC_0032_0040,usa_NC_0032_0040,forward,1996_2020,1.5781,0.2323,381,1996_2010,2.1756,0.613,0.5975,False,False,False,True,False,True,True,2002,2017,22,2002,2017,22,2002,2017,22,2002,2010,15,2002,2016,21,2002,2005,10,2002,2002,7
3,usa_NC_0032_0041,usa_NC_0032_0041,forward,1996_2020,1.5767,0.2249,387,1996_2010,2.1734,0.5896,0.5967,False,False,False,True,False,True,True,2006,2017,22,2006,2017,22,2002,2016,21,2002,2010,15,2002,2015,20,2002,2005,10,2002,2002,7
3,usa_NC_0032_0042,usa_NC_0032_0042,forward,1996_2020,1.7016,0.2269,375,1996_2010,2.1194,0.5905,0.4178,False,False,False,True,True,True,True,2006,2016,21,2006,2016,21,2005,2016,21,2002,2005,10,2005,2010,15,2002,2005,10,2002,2002,7
3,usa_NC_0032_0043,usa_NC_0032_0043,forward,1996_2020,1.8509,0.2189,373,1996_2010,2.0117,0.5643,0.1608,True,True,True,True,True,True,True,2005,2016,21,2005,2016,21,2002,2015,20,2002,2005,10,2002,2005,10,2002,2002,7,2002,2002,7
3,usa_NC_0032_0044,usa_NC_0032_0044,forward,1996_2020,1.9899,0.2159,373,1996_2010,1.8959,0.559,-0.094,True,True,True,True,True,True,True,2008,2015,20,2008,2015,20,2008,2008,13,2002,2005,10,2008,2008,13,2002,2002,7,2002,2002,7
3,usa_NC_0032_0045,usa_NC_0032_0045,forward,1996_2020,1.9864,0.2115,365,1996_2010,1.693,0.5556,-0.2934,False,False,True,True,True,True,True,2003,2015,20,2003,2012,17,2003,2008,13,2003,2008,13,2003,2008,13,2003,2003,8,2002,2002,7
3,usa_NC_0032_0046,usa_NC_0032_0046,forward,1996_2020,2.0233,0.2153,362,1996_2010,1.7689,0.5584,-0.2544,False,False,True,True,True,True,True,2008,2013,18,2008,2012,17,2004,2008,13,2003,2008,13,2004,2008,13,2003,2007,12,2002,2006,11
3,usa_NC_0032_0047,usa_NC_0032_0047,forward,1996_2020,2.0446,0.2147,365,1996_2010,2.0852,0.5568,0.0406,True,True,True,True,True,True,True,2008,2016,21,2008,2015,20,2004,2008,13,2003,2007,12,2004,2008,13,2002,2006,11,2002,2006,11
3,usa_NC_0032_0048,usa_NC_0032_0048,forward,1996_2020,1.9778,0.2233,371,1996_2010,2.2607,0.5835,0.2829,False,False,True,True,True,True,True,2002,2016,21,2002,2015,20,2002,2010,15,2002,2006,11,2002,2010,15,2002,2002,7,2002,2002,7
3,usa_NC_0032_0049,usa_NC_0032_0049,forward,1996_2020,1.9001,0.224,372,1996_2010,2.2697,0.5855,0.3696,False,False,True,True,True,True,True,2006,2016,21,2006,2016,21,2006,2014,19,2002,2004,9,2005,2010,15,2002,2002,7,2001,2001,6
3,usa_NC_0032_0050,usa_NC_0032_0050,forward,1996_2020,1.8312,0.2219,377,1996_2010,2.4188,0.6076,0.5876,False,False,False,True,False,True,True,2005,2016,21,2005,2016,21,2005,2016,21,2005,2010,15,2005,2014,19,2004,2004,9,2001,2001,6
4,usa_NC_0032_0051,usa_NC_0032_0051,forward,1996_2020,1.7092,0.227,381,1996_2010,2.2733,0.6143,0.5641,False,False,False,True,False,True,True,2005,2016,21,2005,2016,21,2005,2015,20,2005,2010,15,2005,2014,19,2001,2004,9,2001,2001,6
