window,smooth,step,run_tag,resid_gis1,resid_gis90,next_override
2010,coastsat,0,,-0.018,0.014,"1=72.8,90=31.2"
2010,coastsat,1,2026-09-19-edgesolve-2010/coastsat/step1,0.004,0.002,"1=72.8,90=31.2"
