domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
1,usa_NC_0032_0021,usa_NC_0032_0021,backward,1996_2020,-0.5125,0.2906,376,2010_2020,-4.7532,0.7667,-4.2407,False,False,False,False,False,False,False,2000,2000,21,2000,2000,21,1999,1999,22,2001,2001,20,2000,2000,21,2001,2001,20,2015,2000,21
1,usa_NC_0032_0022,usa_NC_0032_0022,backward,1996_2020,-0.3295,0.2921,383,2010_2020,-4.6765,0.7295,-4.347,False,False,False,False,False,False,False,2000,2000,21,2000,2000,21,1996,1996,25,2015,2000,21,2015,2000,21,2015,2001,20,2015,2000,21
1,usa_NC_0032_0023,usa_NC_0032_0023,backward,1996_2020,-0.2187,0.3049,374,2010_2020,-4.4307,0.715,-4.212,False,False,False,False,False,False,False,2000,2000,21,2000,2000,21,1996,1996,25,2015,2000,21,2015,2000,21,2015,2000,21,2015,2000,21
1,usa_NC_0032_0024,usa_NC_0032_0024,backward,1996_2020,0.0148,0.308,377,2010_2020,-4.3461,0.7203,-4.3609,False,False,False,False,False,False,False,2015,2000,21,2015,2000,21,2015,1996,25,2015,2000,21,2015,2000,21,2015,2000,21,2016,2000,21
1,usa_NC_0032_0025,usa_NC_0032_0025,backward,1996_2020,0.2077,0.3018,382,2010_2020,-3.9191,0.7134,-4.1268,False,False,False,False,False,False,False,2000,2000,21,2000,2000,21,1996,1996,25,2015,2000,21,2015,2000,21,2015,2001,20,2016,2000,21
1,usa_NC_0032_0026,usa_NC_0032_0026,backward,1996_2020,0.4357,0.2921,375,2010_2020,-3.4481,0.7226,-3.8838,False,False,False,False,False,False,False,2000,2000,21,2000,2000,21,1996,1996,25,2015,2001,20,2015,2000,21,2015,2001,20,2016,2000,21
1,usa_NC_0032_0027,usa_NC_0032_0027,backward,1996_2020,0.5992,0.2858,376,2010_2020,-3.1998,0.7276,-3.799,False,False,False,False,False,False,False,2000,2000,21,2000,1997,24,2000,1996,25,2015,2001,20,2015,2000,21,2015,2001,20,2016,2000,21
1,usa_NC_0032_0028,usa_NC_0032_0028,backward,1996_2020,0.7996,0.2787,369,2010_2020,-2.9151,0.7016,-3.7147,False,False,False,False,False,False,False,2000,1997,24,2000,1997,24,2000,1996,25,2001,2001,20,2000,2000,21,2015,2001,20,2016,2000,21
1,usa_NC_0032_0029,usa_NC_0032_0029,backward,1996_2020,1.019,0.2786,370,2010_2020,-2.4104,0.7229,-3.4294,False,False,False,False,False,False,False,2000,1997,24,2000,1997,24,2000,1996,25,2001,2001,20,2000,2000,21,2001,2001,20,2016,2000,21
2,usa_NC_0032_0030,usa_NC_0032_0030,backward,1996_2020,1.1885,0.27,371,2010_2020,-2.2959,0.6915,-3.4844,False,False,False,False,False,False,False,2000,1997,24,2000,1997,24,2000,1996,25,2016,2001,20,2000,2000,21,2016,2002,19,2016,2001,20
