domain_number,n_transects,ref_lrr_median_m_yr,diff_marked_median_m_yr,diff_marked_q25_m_yr,diff_marked_q75_m_yr,marked_in_ci_frac,years_needed_ci_median,years_needed_ci_q25,years_needed_ci_q75,stable_entry_ci_median,marked_in_abs_frac,years_needed_abs_median,years_needed_abs_q25,years_needed_abs_q75,stable_entry_abs_median,marked_in_rel_frac,years_needed_rel_median,years_needed_rel_q25,years_needed_rel_q75,stable_entry_rel_median,marked_in_ci3x_frac,years_needed_ci3x_median,years_needed_ci3x_q25,years_needed_ci3x_q75,stable_entry_ci3x_median,marked_in_abs50_frac,years_needed_abs50_median,years_needed_abs50_q25,years_needed_abs50_q75,stable_entry_abs50_median,marked_in_abs100_frac,years_needed_abs100_median,years_needed_abs100_q25,years_needed_abs100_q75,stable_entry_abs100_median,marked_in_overlap_frac,years_needed_overlap_median,years_needed_overlap_q25,years_needed_overlap_q75,stable_entry_overlap_median
1,9,0.2077,-4.1268,-4.2407,-3.799,0.0,21.0,21.0,21.0,2000.0,0.0,21.0,21.0,24.0,2000.0,0.0,25.0,25.0,25.0,1996.0,0.0,20.0,20.0,21.0,2001.0,0.0,21.0,21.0,21.0,2000.0,0.0,20.0,20.0,20.0,2001.0,0.0,21.0,21.0,21.0,2000.0
2,11,1.4373,-2.3874,-3.187,-1.4206,0.0,25.0,25.0,25.0,1996.0,0.0,25.0,24.5,25.0,1996.0,0.0,25.0,24.0,25.0,1996.0,0.0,20.0,20.0,20.0,2001.0,0.0,21.0,21.0,21.0,2000.0,0.1818,20.0,16.0,20.0,2001.0,0.0909,21.0,21.0,21.0,2000.0
3,10,1.939,-0.0542,-0.4026,0.0702,0.5,24.0,24.0,24.75,1997.0,0.5,24.0,21.25,24.0,1997.0,0.7,16.0,11.5,21.0,2005.0,1.0,10.0,10.0,14.5,2011.0,0.9,16.0,11.25,19.0,2005.0,1.0,8.0,7.25,10.0,2013.0,1.0,7.0,7.0,19.0,2014.0
4,13,1.2034,0.1418,-0.0704,0.3009,0.5385,22.0,22.0,23.0,1999.0,0.5385,22.0,22.0,23.0,1999.0,0.6154,22.0,22.0,24.0,1999.0,1.0,10.0,9.0,16.0,2011.0,0.8462,22.0,16.0,22.0,1999.0,1.0,8.0,8.0,9.0,2013.0,1.0,22.0,16.0,22.0,1999.0
5,13,0.2691,2.1206,1.4309,2.5213,0.0,23.0,21.0,23.0,1998.0,0.0,23.0,22.0,23.0,1998.0,0.0,25.0,25.0,25.0,1996.0,0.0,16.0,14.0,16.0,2005.0,0.0,16.0,16.0,17.0,2005.0,0.0769,15.0,14.0,16.0,2006.0,0.2308,16.0,14.0,16.0,2005.0
6,6,-2.1038,-0.8522,-0.942,-0.7894,0.0,21.0,21.0,21.75,2000.0,0.0,21.0,17.25,21.0,2000.0,0.0,18.5,16.0,21.0,2002.5,0.0,15.5,15.0,16.75,2005.5,0.0,17.5,16.0,19.0,2003.5,0.6667,11.0,10.25,12.5,2010.0,0.3333,15.5,15.0,19.0,2005.5
7,4,-1.8394,1.0318,0.3743,1.584,0.25,19.0,19.0,19.0,2002.0,0.25,19.0,18.75,19.0,2002.0,0.25,15.5,11.75,18.25,2005.5,0.5,14.0,10.25,17.25,2007.0,0.5,14.0,10.25,17.5,2007.0,0.5,11.5,8.5,14.0,2009.5,0.5,12.5,7.25,17.25,2008.5
8,8,-0.9606,2.2995,1.5697,2.6452,0.0,19.0,18.0,19.0,2002.0,0.0,19.0,18.0,19.0,2002.0,0.0,19.0,16.75,19.0,2002.0,0.0,16.5,13.75,17.0,2004.5,0.0,17.5,14.5,18.0,2003.5,0.125,15.0,12.75,16.0,2006.0,0.25,16.0,12.5,17.0,2005.0
9,9,-0.9072,3.084,2.684,3.3232,0.0,20.0,20.0,21.0,2001.0,0.0,20.0,19.0,21.0,2001.0,0.0,20.0,20.0,22.0,2001.0,0.0,17.0,17.0,18.0,2004.0,0.0,18.0,18.0,18.0,2003.0,0.0,15.0,15.0,15.0,2006.0,0.0,17.0,17.0,17.0,2004.0
10,10,-0.4681,3.666,3.3862,3.816,0.0,21.0,20.25,22.75,2000.0,0.0,21.0,19.25,21.0,2000.0,0.0,25.0,23.25,25.0,1996.0,0.0,17.0,17.0,17.0,2004.0,0.0,18.0,18.0,18.75,2003.0,0.0,16.0,16.0,17.0,2005.0,0.0,17.0,17.0,17.0,2004.0
