gis,kind,historical_year,start_setback_m,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
11,historical,1999.0,10.0,0.0,2001,0,10.0,10,0.0
10,historical,1999.0,20.0,20.0,1996,2,30.0,15,20.0
12,historical,1999.0,20.0,20.0,1996,2,30.0,15,20.0
13,historical,1999.0,20.0,20.0,1996,2,30.0,15,20.0
9,historical,1999.0,40.0,40.0,1996,4,50.0,15,40.0
16,control,,40.0,40.0,1996,4,50.0,15,40.0
84,control,,65.0,55.0,1999,6,65.0,12,55.0
14,historical,1999.0,60.0,60.0,1996,6,70.0,15,60.0
15,control,,60.0,60.0,1996,6,70.0,15,60.0
20,control,,70.0,70.0,1996,7,80.0,15,70.0
87,control,,70.0,70.0,1996,7,80.0,15,70.0
17,control,,90.0,80.0,1997,8,90.0,14,80.0
49,control,,90.0,90.0,1996,9,100.0,15,90.0
50,control,,90.0,90.0,1996,9,100.0,15,90.0
86,control,,90.0,90.0,1996,9,100.0,15,90.0
85,control,,110.0,100.0,2008,10,110.0,3,100.0
18,control,,120.0,120.0,1996,12,130.0,15,120.0
19,control,,130.0,130.0,1996,13,140.0,15,130.0
44,control,,160.0,150.0,2008,15,160.0,3,150.0
45,control,,150.0,150.0,1996,15,160.0,15,150.0
46,control,,150.0,150.0,1996,15,160.0,15,150.0
47,control,,150.0,150.0,1996,15,160.0,15,150.0
48,control,,150.0,150.0,1996,15,160.0,15,150.0
51,control,,155.0,155.0,1996,16,165.0,15,155.0
42,control,,180.0,160.0,2008,16,170.0,3,160.0
43,control,,170.0,160.0,2002,16,170.0,9,160.0
54,control,,160.0,160.0,1996,16,170.0,15,160.0
88,control,,160.0,160.0,1996,16,170.0,15,160.0
89,control,,160.0,160.0,1996,16,170.0,15,160.0
90,control,,160.0,160.0,1996,16,170.0,15,160.0
33,control,,180.0,170.0,1999,17,180.0,12,170.0
52,control,,170.0,170.0,1996,17,180.0,15,170.0
53,control,,170.0,170.0,1996,17,180.0,15,170.0
55,control,,170.0,170.0,1996,17,180.0,15,170.0
35,control,,195.0,175.0,2010,18,185.0,1,175.0
56,control,,180.0,180.0,1996,18,190.0,15,180.0
34,control,,210.0,190.0,2010,19,200.0,1,190.0
40,control,,210.0,190.0,2008,19,200.0,3,190.0
41,control,,200.0,190.0,2003,19,200.0,8,190.0
32,control,,210.0,210.0,1996,21,220.0,15,210.0
39,control,,230.0,210.0,2002,21,220.0,9,210.0
57,control,,210.0,210.0,1996,21,220.0,15,210.0
58,control,,240.0,240.0,1996,24,250.0,15,240.0
59,control,,270.0,270.0,1996,27,280.0,15,270.0
38,control,,300.0,280.0,2005,28,290.0,6,280.0
65,control,,290.0,290.0,1996,29,300.0,15,290.0
66,control,,290.0,290.0,1996,29,300.0,15,290.0
67,control,,300.0,290.0,2009,29,300.0,2,290.0
37,control,,330.0,300.0,2007,30,310.0,4,300.0
63,control,,300.0,300.0,1996,30,310.0,15,300.0
64,control,,300.0,300.0,1996,30,310.0,15,300.0
60,control,,310.0,310.0,1996,31,320.0,15,310.0
62,control,,320.0,320.0,1996,32,330.0,15,320.0
36,control,,350.0,330.0,2008,33,340.0,3,330.0
61,control,,330.0,330.0,1996,33,340.0,15,330.0
