gis,historical_year,modelled_first_year,error_years,n_relocations,managed,outcome,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
9,1999,,,0,True,never relocated,40.0,1996,4,50.0,15,40.0
10,1999,,,0,True,never relocated,20.0,1996,2,30.0,15,20.0
11,1999,,,0,True,never relocated,0.0,2001,0,10.0,10,0.0
12,1999,,,0,True,never relocated,20.0,1996,2,30.0,15,20.0
13,1999,,,0,True,never relocated,20.0,1996,2,30.0,15,20.0
14,1999,,,0,True,never relocated,60.0,1996,6,70.0,15,60.0
