window,model_ends,run_name,arm,run_dir,note,timestamp,git_commit,topo_product,topo_dune_version,island_offset_version,scenario,groin_enabled,source_sink_preset,rate_estimator,mean_bias_interior_m_yr,rmse_interior_m_yr
1996_2010,coastsat,HAT_1996_2010_zeroBE_road_bdm_nogroin,calibration,output\raw_runs\matrix\1996_2010\zeroBE\HAT_1996_2010_zeroBE_road_bdm_nogroin,,2026-09-18 15:52:42,7e492c345232,1984-start,v2,v1,full_management,False,zeroBE,lrr,-0.22784959673477087,1.0705159026226287
2010_2024,coastsat,HAT_2010_2024_zeroBE_road_bdm_nourish_nogroin,calibration,output\raw_runs\matrix\2010_2024\zeroBE\HAT_2010_2024_zeroBE_road_bdm_nourish_nogroin,,2026-09-18 16:46:37,7e492c345232,2004-start,v1,v1,full_management,False,zeroBE,lrr,-2.030454589191598,2.6292740411573
