product,window,loess_domains,domain_number,shoreline_target_smoothed_m,duneline_target_smoothed_m,cascade_raw_m,cascade_smoothed_m
projected,2010_2024,7,9,1.92,-11.782,-5.027,-5.027
projected,2010_2024,7,10,10.0,-6.676,-0.346,-0.346
projected,2010_2024,7,11,8.348,7.528,4.012,3.135
projected,2010_2024,7,12,9.933,14.68,7.894,4.878
projected,2010_2024,7,13,11.395,18.364,7.246,5.404
projected,2010_2024,7,14,12.985,17.265,4.825,4.356
projected,2010_2024,7,15,14.953,15.674,0.466,2.002
projected,2010_2024,7,16,17.281,16.358,0.355,-0.339
projected,2010_2024,7,17,19.209,18.62,-2.641,-1.885
projected,2010_2024,7,18,19.681,22.547,-4.331,-2.771
projected,2010_2024,7,19,16.674,22.828,-2.327,-3.149
projected,2010_2024,7,20,10.077,15.122,1.173,-3.126
projected,2010_2024,7,21,0.16,1.445,-3.728,-3.055
projected,2010_2024,7,22,-11.284,-14.932,-2.778,-3.098
projected,2010_2024,7,23,-20.876,-28.347,-2.521,-3.023
projected,2010_2024,7,24,-24.564,-32.499,-3.373,-2.985
projected,2010_2024,7,25,-20.909,-26.985,-3.525,-2.834
projected,2010_2024,7,26,-12.138,-13.767,-1.282,-3.266
projected,2010_2024,7,27,1.603,3.321,-2.797,-4.338
projected,2010_2024,7,28,16.694,16.605,-7.689,-6.549
projected,2010_2024,7,29,27.547,24.365,-5.145,-9.059
projected,2010_2024,7,30,33.631,28.685,-11.784,-11.183
projected,2010_2024,7,31,32.685,28.999,-12.646,-12.846
projected,2010_2024,7,32,27.099,26.928,-13.816,-14.94
projected,2010_2024,7,33,20.893,23.496,-16.924,-17.758
projected,2010_2024,7,34,14.916,18.091,-22.23,-20.857
projected,2010_2024,7,35,9.634,11.717,-24.105,-23.856
projected,2010_2024,7,36,5.015,7.435,-26.303,-25.93
projected,2010_2024,7,37,2.19,4.758,-28.154,-26.83
projected,2010_2024,7,38,1.891,1.968,-27.567,-26.532
projected,2010_2024,7,39,3.312,0.21,-25.769,-24.808
projected,2010_2024,7,40,4.685,-0.39,-22.227,-21.931
projected,2010_2024,7,41,5.067,-1.111,-18.161,-18.765
projected,2010_2024,7,42,4.385,-1.284,-15.232,-15.898
projected,2010_2024,7,43,1.94,-1.712,-13.638,-13.393
projected,2010_2024,7,44,-2.175,-4.219,-11.373,-11.109
projected,2010_2024,7,45,-6.351,-7.239,-8.331,-8.997
projected,2010_2024,7,46,-8.94,-8.153,-6.796,-7.003
projected,2010_2024,7,47,-9.634,-6.873,-5.798,-5.057
projected,2010_2024,7,48,-8.909,-3.964,-2.944,-3.078
projected,2010_2024,7,49,-7.868,-0.402,-0.715,-0.956
projected,2010_2024,7,50,-8.095,0.127,1.089,0.884
projected,2010_2024,7,51,-9.711,-3.811,2.992,2.213
projected,2010_2024,7,52,-11.112,-9.312,2.899,3.084
projected,2010_2024,7,53,-11.142,-14.278,4.159,3.443
projected,2010_2024,7,54,-9.619,-15.521,3.223,3.634
projected,2010_2024,7,55,-6.816,-11.942,3.889,3.638
projected,2010_2024,7,56,-3.291,-6.688,3.617,3.537
projected,2010_2024,7,57,-0.439,-1.479,3.528,3.176
projected,2010_2024,7,58,-0.1,1.007,2.731,2.329
projected,2010_2024,7,59,-2.783,-1.267,1.458,0.915
projected,2010_2024,7,60,-7.463,-6.32,-0.914,-1.148
projected,2010_2024,7,61,-11.223,-11.129,-3.202,-3.717
projected,2010_2024,7,62,-11.986,-13.308,-7.272,-6.105
projected,2010_2024,7,63,-8.745,-10.733,-8.68,-8.053
projected,2010_2024,7,64,-0.497,-3.315,-9.245,-9.533
projected,2010_2024,7,65,10.636,6.765,-10.188,-11.471
projected,2010_2024,7,66,19.464,15.335,-13.188,-14.534
projected,2010_2024,7,67,24.883,19.915,-18.426,-18.78
projected,2010_2024,7,68,26.307,20.622,-23.888,-23.727
projected,2010_2024,7,69,22.111,17.909,-29.885,-28.312
projected,2010_2024,7,70,16.918,15.409,-32.244,-32.169
projected,2010_2024,7,71,13.695,15.549,-35.989,-34.949
projected,2010_2024,7,72,11.199,14.991,-37.104,-37.074
projected,2010_2024,7,73,6.784,10.707,-38.646,-38.946
projected,2010_2024,7,74,-0.471,3.196,-40.794,-40.696
projected,2010_2024,7,75,-9.199,-6.978,-42.845,-42.014
projected,2010_2024,7,76,-17.42,-16.692,-43.731,-42.626
projected,2010_2024,7,77,-22.87,-21.177,-42.023,-42.62
projected,2010_2024,7,78,-25.585,-21.251,-42.657,-41.62
projected,2010_2024,7,79,-26.443,-18.422,-41.281,-39.593
projected,2010_2024,7,80,-26.152,-13.43,-37.145,-36.46
projected,2010_2024,7,81,-26.124,-10.286,-32.231,-32.234
projected,2010_2024,7,82,-25.388,-9.379,-27.149,-27.584
projected,2010_2024,7,83,-22.956,-6.696,-23.628,-22.764
projected,2010_2024,7,84,-19.793,-4.376,-17.591,-18.334
projected,2010_2024,7,85,-14.367,-0.778,-12.846,-14.71
projected,2010_2024,7,86,-6.665,5.192,-11.534,-12.666
projected,2010_2024,7,87,1.232,9.632,-11.173,-13.022
projected,2010_2024,7,88,7.683,12.606,-14.046,-15.858
projected,2010_2024,7,89,13.786,15.538,-18.498,-18.917
projected,2010_2024,7,90,19.729,18.496,-23.545,-22.195
total,1996_2010,7,1,45.22,-0.156,-0.78,-0.78
total,1996_2010,7,2,39.025,-55.325,-3.382,-3.382
total,1996_2010,7,3,28.975,-35.694,-0.222,-0.222
total,1996_2010,7,4,25.753,-12.282,-0.048,-0.048
total,1996_2010,7,5,1.395,4.854,-4.303,-4.303
total,1996_2010,7,6,-18.837,-6.277,-19.848,-19.848
total,1996_2010,7,7,-28.751,-27.05,-18.716,-18.716
total,1996_2010,7,8,-15.339,-12.009,-13.059,-13.059
total,1996_2010,7,9,-17.83,-25.64,-9.83,-9.83
total,1996_2010,7,10,-19.074,-33.847,-7.593,-7.593
total,1996_2010,7,11,-24.937,-47.536,-6.647,-6.332
total,1996_2010,7,12,-25.481,-48.335,-4.349,-4.853
total,1996_2010,7,13,-21.51,-44.58,-3.742,-3.299
total,1996_2010,7,14,-12.198,-34.416,-1.777,-1.77
total,1996_2010,7,15,-0.656,-23.506,0.141,-0.52
total,1996_2010,7,16,9.772,-16.212,1.008,0.253
total,1996_2010,7,17,16.541,-10.739,0.256,0.725
total,1996_2010,7,18,17.003,-8.34,0.583,1.193
total,1996_2010,7,19,11.726,-7.85,2.46,1.572
total,1996_2010,7,20,4.069,-7.715,2.445,1.294
total,1996_2010,7,21,-5.354,-9.86,0.885,0.001
total,1996_2010,7,22,-15.319,-14.232,-2.463,-2.15
total,1996_2010,7,23,-24.263,-19.149,-4.651,-4.267
total,1996_2010,7,24,-28.529,-23.255,-7.109,-5.283
total,1996_2010,7,25,-21.256,-23.238,-6.35,-5.36
total,1996_2010,7,26,-5.938,-18.79,-4.423,-4.558
total,1996_2010,7,27,11.176,-11.772,-2.661,-3.514
total,1996_2010,7,28,26.246,-2.314,-2.555,-2.942
total,1996_2010,7,29,32.613,8.054,-3.173,-2.779
total,1996_2010,7,30,31.035,15.04,-2.556,-2.988
total,1996_2010,7,31,26.805,18.487,-2.914,-4.06
total,1996_2010,7,32,21.071,17.356,-4.872,-6.599
total,1996_2010,7,33,10.435,9.985,-9.259,-10.358
total,1996_2010,7,34,-5.351,0.318,-16.02,-14.961
total,1996_2010,7,35,-19.47,-7.828,-23.355,-19.216
total,1996_2010,7,36,-25.414,-15.41,-23.782,-22.715
total,1996_2010,7,37,-21.33,-20.231,-25.566,-24.509
total,1996_2010,7,38,-10.695,-19.833,-24.995,-23.596
total,1996_2010,7,39,2.281,-18.09,-22.18,-21.631
total,1996_2010,7,40,11.248,-15.527,-18.935,-18.478
total,1996_2010,7,41,14.485,-11.772,-14.495,-14.904
total,1996_2010,7,42,15.512,-7.848,-11.159,-11.513
total,1996_2010,7,43,13.995,-4.36,-8.077,-8.554
total,1996_2010,7,44,8.749,-1.504,-6.277,-5.903
total,1996_2010,7,45,1.803,-1.399,-3.121,-3.711
total,1996_2010,7,46,-3.305,-4.248,-1.112,-1.952
total,1996_2010,7,47,-4.738,-7.706,-1.021,-0.339
total,1996_2010,7,48,-3.3,-11.989,0.742,1.244
total,1996_2010,7,49,-0.902,-17.441,3.837,2.836
total,1996_2010,7,50,1.084,-21.507,4.52,4.274
total,1996_2010,7,51,0.135,-23.466,5.254,5.314
total,1996_2010,7,52,-1.36,-22.701,5.914,6.243
total,1996_2010,7,53,-0.366,-18.688,7.495,7.104
total,1996_2010,7,54,1.203,-13.671,8.234,7.758
total,1996_2010,7,55,2.086,-9.868,8.026,8.087
total,1996_2010,7,56,2.692,-8.329,8.263,7.98
total,1996_2010,7,57,2.463,-8.237,8.031,7.48
total,1996_2010,7,58,1.283,-7.467,6.701,6.58
total,1996_2010,7,59,-0.923,-4.899,5.426,5.329
total,1996_2010,7,60,-3.974,-1.443,3.808,3.663
total,1996_2010,7,61,-9.188,-0.202,2.784,1.427
total,1996_2010,7,62,-15.654,-0.606,-1.467,-0.852
total,1996_2010,7,63,-21.369,-2.545,-4.807,-2.796
total,1996_2010,7,64,-23.977,-5.228,-4.296,-4.241
total,1996_2010,7,65,-19.917,-5.838,-4.455,-5.565
total,1996_2010,7,66,-7.651,-4.32,-6.642,-7.654
total,1996_2010,7,67,5.775,-1.986,-10.462,-10.584
total,1996_2010,7,68,9.399,-0.247,-14.15,-14.186
total,1996_2010,7,69,13.18,0.248,-18.063,-17.863
total,1996_2010,7,70,10.762,-0.153,-21.428,-21.31
total,1996_2010,7,71,0.871,-0.454,-25.061,-24.106
total,1996_2010,7,72,-4.363,1.84,-26.932,-26.268
total,1996_2010,7,73,-6.402,5.794,-27.354,-28.044
total,1996_2010,7,74,-11.528,4.653,-29.719,-29.914
total,1996_2010,7,75,-18.472,-5.848,-31.548,-32.403
total,1996_2010,7,76,-26.377,-21.537,-35.86,-35.263
total,1996_2010,7,77,-33.972,-37.666,-37.51,-34.626
total,1996_2010,7,78,-36.355,-45.865,-37.7,-33.957
total,1996_2010,7,79,-35.708,-45.916,-32.722,-32.557
total,1996_2010,7,80,-34.157,-43.558,-29.704,-30.069
total,1996_2010,7,81,-33.893,-40.784,-28.771,-27.156
total,1996_2010,7,82,-35.467,-42.817,-23.548,-24.248
total,1996_2010,7,83,-35.969,-46.996,-21.311,-21.076
total,1996_2010,7,84,-37.295,-49.507,-17.925,-18.25
total,1996_2010,7,85,-37.13,-50.906,-14.879,-16.069
total,1996_2010,7,86,-32.514,-48.764,-14.296,-14.759
total,1996_2010,7,87,-24.516,-42.255,-13.636,-14.888
total,1996_2010,7,88,-16.404,-33.563,-15.348,-16.573
total,1996_2010,7,89,-8.558,-24.518,-18.127,-18.391
total,1996_2010,7,90,-0.702,-15.193,-21.295,-20.353
total,2010_2024,7,1,96.545,14.678,-22.535,-22.535
total,2010_2024,7,2,56.694,18.465,-19.354,-19.354
total,2010_2024,7,3,48.173,22.541,-16.838,-16.838
total,2010_2024,7,4,46.35,19.414,-16.059,-16.059
total,2010_2024,7,5,33.75,5.255,-15.794,-15.794
total,2010_2024,7,6,-15.825,-30.336,-30.044,-30.044
total,2010_2024,7,7,-2.351,-38.824,-19.287,-19.287
total,2010_2024,7,8,22.024,-39.748,-11.857,-11.857
total,2010_2024,7,9,36.998,-11.782,-5.027,-5.027
total,2010_2024,7,10,52.137,-6.676,-0.346,-0.346
total,2010_2024,7,11,47.718,7.528,4.012,3.135
total,2010_2024,7,12,48.668,14.68,7.894,4.878
total,2010_2024,7,13,47.888,18.364,7.246,5.404
total,2010_2024,7,14,46.054,17.265,4.825,4.356
total,2010_2024,7,15,44.851,15.674,0.466,2.002
total,2010_2024,7,16,44.53,16.358,0.355,-0.339
total,2010_2024,7,17,43.911,18.62,-2.641,-1.885
total,2010_2024,7,18,43.679,22.547,-4.331,-2.771
total,2010_2024,7,19,41.353,22.828,-2.327,-3.149
total,2010_2024,7,20,33.747,15.122,1.173,-3.126
total,2010_2024,7,21,22.384,1.445,-3.728,-3.055
total,2010_2024,7,22,12.429,-14.932,-2.778,-3.098
total,2010_2024,7,23,6.127,-28.347,-2.521,-3.023
total,2010_2024,7,24,3.774,-32.499,-3.373,-2.985
total,2010_2024,7,25,5.032,-26.985,-3.525,-2.834
total,2010_2024,7,26,9.6,-13.767,-1.282,-3.266
total,2010_2024,7,27,18.033,3.321,-2.797,-4.338
total,2010_2024,7,28,28.355,16.605,-7.689,-6.549
total,2010_2024,7,29,35.883,24.365,-5.145,-9.059
total,2010_2024,7,30,40.561,28.685,-11.784,-11.183
total,2010_2024,7,31,40.722,28.999,-12.646,-12.846
total,2010_2024,7,32,38.91,26.928,-13.816,-14.94
total,2010_2024,7,33,40.651,23.496,-16.924,-17.758
total,2010_2024,7,34,42.268,18.091,-22.23,-20.857
total,2010_2024,7,35,39.621,11.717,-24.105,-23.856
total,2010_2024,7,36,32.734,7.435,-26.303,-25.93
total,2010_2024,7,37,24.547,4.758,-28.154,-26.83
total,2010_2024,7,38,18.177,1.968,-27.567,-26.532
total,2010_2024,7,39,14.656,0.21,-25.769,-24.808
total,2010_2024,7,40,12.191,-0.39,-22.227,-21.931
total,2010_2024,7,41,9.083,-1.111,-18.161,-18.765
total,2010_2024,7,42,5.778,-1.284,-15.232,-15.898
total,2010_2024,7,43,2.671,-1.712,-13.638,-13.393
total,2010_2024,7,44,-0.403,-4.219,-11.373,-11.109
total,2010_2024,7,45,-2.32,-7.239,-8.331,-8.997
total,2010_2024,7,46,-3.14,-8.153,-6.796,-7.003
total,2010_2024,7,47,-4.326,-6.873,-5.798,-5.057
total,2010_2024,7,48,-6.513,-3.964,-2.944,-3.078
total,2010_2024,7,49,-9.78,-0.402,-0.715,-0.956
total,2010_2024,7,50,-14.507,0.127,1.089,0.884
total,2010_2024,7,51,-18.338,-3.811,2.992,2.213
total,2010_2024,7,52,-19.548,-9.312,2.899,3.084
total,2010_2024,7,53,-18.792,-14.278,4.159,3.443
total,2010_2024,7,54,-16.189,-15.521,3.223,3.634
total,2010_2024,7,55,-11.527,-11.942,3.889,3.638
total,2010_2024,7,56,-5.739,-6.688,3.617,3.537
total,2010_2024,7,57,-0.329,-1.479,3.528,3.176
total,2010_2024,7,58,2.357,1.007,2.731,2.329
total,2010_2024,7,59,1.096,-1.267,1.458,0.915
total,2010_2024,7,60,-2.016,-6.32,-0.914,-1.148
total,2010_2024,7,61,0.047,-11.129,-3.202,-3.717
total,2010_2024,7,62,6.496,-13.308,-7.272,-6.105
total,2010_2024,7,63,16.237,-10.733,-8.68,-8.053
total,2010_2024,7,64,29.902,-3.315,-9.245,-9.533
total,2010_2024,7,65,39.573,6.765,-10.188,-11.471
total,2010_2024,7,66,40.435,15.335,-13.188,-14.534
total,2010_2024,7,67,38.142,19.915,-18.426,-18.78
total,2010_2024,7,68,33.533,20.622,-23.888,-23.727
total,2010_2024,7,69,27.019,17.909,-29.885,-28.312
total,2010_2024,7,70,23.56,15.409,-32.244,-32.169
total,2010_2024,7,71,20.562,15.549,-35.989,-34.949
total,2010_2024,7,72,14.346,14.991,-37.104,-37.074
total,2010_2024,7,73,7.242,10.707,-38.646,-38.946
total,2010_2024,7,74,0.09,3.196,-40.794,-40.696
total,2010_2024,7,75,-7.704,-6.978,-42.845,-42.014
total,2010_2024,7,76,-13.42,-16.692,-43.731,-42.626
total,2010_2024,7,77,-15.102,-21.177,-42.023,-42.62
total,2010_2024,7,78,-14.689,-21.251,-42.657,-41.62
total,2010_2024,7,79,-12.746,-18.422,-41.281,-39.593
total,2010_2024,7,80,-10.208,-13.43,-37.145,-36.46
total,2010_2024,7,81,-10.703,-10.286,-32.231,-32.234
total,2010_2024,7,82,-11.769,-9.379,-27.149,-27.584
total,2010_2024,7,83,-11.849,-6.696,-23.628,-22.764
total,2010_2024,7,84,-8.309,-4.376,-17.591,-18.334
total,2010_2024,7,85,-1.962,-0.778,-12.846,-14.71
total,2010_2024,7,86,5.346,5.192,-11.534,-12.666
total,2010_2024,7,87,12.613,9.632,-11.173,-13.022
total,2010_2024,7,88,18.419,12.606,-14.046,-15.858
total,2010_2024,7,89,24.042,15.538,-18.498,-18.917
total,2010_2024,7,90,29.401,18.496,-23.545,-22.195
