gis,historical_year,modelled_first_year,error_years,n_relocations,managed,outcome,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
9,1999,,,0,True,never relocated,0.0,2002.0,0.0,10.0,3.0,0.0
10,1999,1998.0,-1.0,1,True,relocated,,,,,,
11,1999,1992.0,-7.0,1,True,relocated,,,,,,
12,1999,,,0,True,never relocated,0.0,1999.0,0.0,10.0,6.0,0.0
13,1999,,,0,True,never relocated,0.0,2000.0,0.0,10.0,5.0,0.0
14,1999,,,0,True,never relocated,40.0,2002.0,4.0,50.0,3.0,40.0
84,1989,1987.0,-2.0,2,True,relocated,,,,,,
85,1989,1985.0,-4.0,3,True,relocated,,,,,,
86,1989,1985.0,-4.0,2,True,relocated,,,,,,
87,1989,,,0,True,never relocated,10.0,2001.0,1.0,20.0,4.0,10.0
