tolerance_years,historical_domains,hits,misses,hit_domains,miss_domains,control_domains,false_positives,false_positive_domains,recall,false_positive_rate
2,10,3,7,84 85 10,86 87 9 11 12 13 14,45,0,,0.3,0.0
5,10,4,6,84 85 86 10,87 9 11 12 13 14,45,0,,0.4,0.0
