gis,expected_year,largest_jump_year,largest_jump_m,matches
9,1999,1999,20.0,True
10,1999,1999,50.0,True
11,1999,1999,80.0,True
12,1999,1999,60.0,True
13,1999,1999,50.0,True
14,1999,1999,19.999999999999993,True
84,1989,1989,30.0,True
85,1989,1989,110.0,True
86,1989,1989,90.0,True
87,1989,1989,20.0,True
