tolerance_years,historical_domains,hits,misses,hit_domains,miss_domains,control_domains,false_positives,false_positive_domains,recall,false_positive_rate
2,10,3,7,86 10 11,84 85 87 9 12 13 14,45,0,,0.3,0.0
5,10,4,6,86 9 10 11,84 85 87 12 13 14,45,0,,0.4,0.0
