gis,historical,event_year,free_start_m,free_last_m,free_last_year,prescribed_start_m,prescribed_last_m,prescribed_last_year,compared_through,difference_at_common_m,rmse_m,measured_2004_m
9,True,1999.0,30.3,20.0,2004,30.3,10.3,2004,2004,-9.7,8.401445453866002,50.0
10,True,1999.0,28.5,10.0,2004,28.5,60.0,2004,2004,50.0,26.72612419124244,40.0
11,True,1999.0,24.5,10.0,2004,24.5,100.0,2000,2000,80.0,27.439773622801415,20.0
12,True,1999.0,35.0,15.0,2004,35.0,85.0,2004,2004,70.0,37.416573867739416,30.0
13,True,1999.0,32.3,12.299999999999997,2004,32.3,62.3,2004,2004,50.0,26.72612419124244,50.0
14,True,1999.0,60.1,40.1,2004,60.1,60.099999999999994,2004,2004,19.999999999999993,10.690449676496971,65.0
15,False,,40.9,30.9,2004,40.9,30.9,2004,2004,0.0,0.0,
16,False,,1.4,1.4,2004,1.4,1.4,2004,2004,0.0,0.0,
17,False,,92.7,92.7,2004,92.7,92.7,2004,2004,0.0,0.0,
18,False,,120.9,120.9,2004,120.9,120.9,2004,2004,0.0,0.0,
19,False,,127.7,127.7,2004,127.7,127.7,2004,2004,0.0,0.0,
20,False,,51.6,51.6,2004,51.6,51.6,2004,2004,0.0,0.0,
32,False,,197.5,207.5,2004,197.5,207.5,2004,2004,0.0,0.0,
33,False,,163.1,173.1,2004,163.1,173.1,2004,2004,0.0,0.0,
34,False,,199.8,199.8,2004,199.8,199.8,2004,2004,0.0,0.0,
35,False,,182.9,182.9,2004,182.9,182.9,2004,2004,0.0,0.0,
36,False,,338.8,328.8,2004,338.8,328.8,2004,2004,0.0,0.0,
37,False,,314.9,304.9,2004,314.9,304.9,2004,2004,0.0,0.0,
38,False,,272.1,252.10000000000002,2004,272.1,252.10000000000002,2004,2004,0.0,0.0,
39,False,,220.8,190.8,2004,220.8,190.8,2004,2004,0.0,0.0,
40,False,,205.1,185.1,2004,205.1,185.1,2004,2004,0.0,0.0,
41,False,,193.9,173.9,2004,193.9,173.9,2004,2004,0.0,0.0,
42,False,,169.6,159.6,2004,169.6,159.6,2004,2004,0.0,0.0,
43,False,,164.4,154.4,2004,164.4,154.4,2004,2004,0.0,0.0,
44,False,,170.4,150.4,2004,170.4,150.4,2004,2004,0.0,0.0,
45,False,,172.6,162.6,2004,172.6,162.6,2004,2004,0.0,0.0,
46,False,,162.2,152.2,2004,162.2,152.2,2004,2004,0.0,0.0,
47,False,,162.2,142.2,2004,162.2,142.2,2004,2004,0.0,0.0,
48,False,,161.2,141.2,2004,161.2,141.2,2004,2004,0.0,0.0,
49,False,,121.6,91.6,2004,121.6,91.6,2004,2004,0.0,0.0,
50,False,,128.8,98.80000000000001,2004,128.8,98.80000000000001,2004,2004,0.0,0.0,
51,False,,183.1,163.1,2004,183.1,163.1,2004,2004,0.0,0.0,
52,False,,187.8,157.8,2004,187.8,157.8,2004,2004,0.0,0.0,
53,False,,177.7,157.7,2004,177.7,157.7,2004,2004,0.0,0.0,
54,False,,189.1,169.1,2004,189.1,169.1,2004,2004,0.0,0.0,
55,False,,181.6,171.6,2004,181.6,171.6,2004,2004,0.0,0.0,
56,False,,173.6,163.6,2004,173.6,163.6,2004,2004,0.0,0.0,
57,False,,203.2,193.2,2004,203.2,193.2,2004,2004,0.0,0.0,
58,False,,245.4,245.4,2004,245.4,245.4,2004,2004,0.0,0.0,
59,False,,254.6,254.6,2004,254.6,254.6,2004,2004,0.0,0.0,
60,False,,311.6,311.6,2004,311.6,311.6,2004,2004,0.0,0.0,
61,False,,319.2,319.2,2004,319.2,319.2,2004,2004,0.0,0.0,
62,False,,291.6,291.6,2004,291.6,291.6,2004,2004,0.0,0.0,
63,False,,249.1,249.1,2004,249.1,249.1,2004,2004,0.0,0.0,
64,False,,238.8,238.8,2004,238.8,238.8,2004,2004,0.0,0.0,
65,False,,250.5,250.5,2004,250.5,250.5,2004,2004,0.0,0.0,
66,False,,238.6,238.6,2004,238.6,238.6,2004,2004,0.0,0.0,
67,False,,248.0,248.0,2004,248.0,248.0,2004,2004,0.0,0.0,
84,True,1989.0,59.7,0.0,2004,59.7,19.700000000000003,2004,2004,19.700000000000003,25.336685241909983,30.0
85,True,1989.0,44.0,0.0,2004,44.0,84.0,2004,2004,84.0,82.56599092327819,70.0
86,True,1989.0,12.2,10.0,2004,12.2,70.0,2004,2004,60.0,69.8978847012861,50.0
87,True,1989.0,60.0,20.0,2004,60.0,40.0,2004,2004,20.0,17.45743121887939,40.0
88,False,,166.8,146.8,2004,166.8,146.8,2004,2004,0.0,0.0,
89,False,,152.2,132.2,2004,152.2,132.2,2004,2004,0.0,0.0,
90,False,,154.1,154.1,2004,154.1,154.1,2004,2004,0.0,0.0,
