gis,historical_year,modelled_first_year,error_years,n_relocations,managed,outcome,min_setback_m,closest_year,cells_remaining,migration_needed_m,years_at_min,end_setback_m
9,1999,2002.0,3.0,1,True,relocated,,,,,,
10,1999,1998.0,-1.0,1,True,relocated,,,,,,
11,1999,1998.0,-1.0,1,True,relocated,,,,,,
12,1999,,,0,True,never relocated,15.0,1999.0,2.0,25.0,6.0,15.0
13,1999,,,0,True,never relocated,12.299999999999997,2000.0,1.0,22.299999999999997,5.0,12.299999999999997
14,1999,,,0,True,never relocated,40.1,2002.0,4.0,50.1,3.0,40.1
84,1989,1995.0,6.0,1,True,relocated,,,,,,
85,1989,1995.0,6.0,1,True,relocated,,,,,,
86,1989,1988.0,-1.0,2,True,relocated,,,,,,
87,1989,,,0,True,never relocated,20.0,2001.0,2.0,30.0,4.0,20.0
