gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
1.000,8236.000,8155.600,80.400,4.085,-4.163,-2.094,-41.207,7.000,19.000,9,8.248,6.179
2.000,8062.600,8087.600,-25.000,-1.270,-4.798,-3.405,-67.006,7.000,16.000,11,3.527,2.134
3.000,7974.600,8009.400,-34.800,-1.768,-4.769,-4.508,-88.712,7.000,18.000,10,3.001,2.739
4.000,7885.600,7904.800,-19.200,-0.976,-3.980,-4.413,-86.849,7.000,19.000,13,3.004,3.438
5.000,7717.000,7734.400,-17.400,-0.884,-2.372,-2.876,-56.598,7.000,18.000,13,1.487,1.992
6.000,7499.000,7482.400,16.600,0.844,-1.385,-1.418,-27.900,7.000,20.000,6,2.229,2.261
7.000,7420.000,7409.000,11.000,0.559,-2.188,-2.346,-46.160,7.000,17.000,4,2.747,2.905
8.000,7371.800,7358.400,13.400,0.681,-1.702,-1.580,-31.095,7.000,20.500,8,2.383,2.261
9.000,7308.800,7303.200,5.600,0.285,-2.135,-2.280,-44.872,7.000,19.000,9,2.419,2.565
10.000,7229.600,7239.400,-9.800,-0.498,-2.737,-2.984,-58.715,6.000,18.500,10,2.239,2.486
11.000,7130.800,7174.600,-43.800,-2.226,-2.961,-3.355,-66.019,5.000,18.000,10,0.736,1.129
12.000,7055.000,7089.000,-34.000,-1.728,-2.348,-2.077,-40.884,7.000,21.000,10,0.620,0.350
13.000,6981.000,7013.800,-32.800,-1.667,-1.719,-1.244,-24.481,7.000,19.000,11,0.052,-0.423
14.000,6910.200,6921.600,-11.400,-0.579,-0.754,0.408,8.025,6.000,20.500,10,0.175,-0.987
15.000,6853.600,6844.400,9.200,0.467,0.107,0.562,11.060,6.000,18.000,10,0.361,-0.095
16.000,6790.200,6770.600,19.600,0.996,0.826,0.847,16.661,6.000,20.000,10,0.170,0.149
17.000,6656.400,6662.000,-5.600,-0.285,0.441,0.002,0.034,6.000,19.000,10,-0.726,-0.286
18.000,6557.000,6562.000,-5.000,-0.254,-0.068,-0.219,-4.309,7.000,19.500,10,-0.186,-0.035
19.000,6483.400,6484.800,-1.400,-0.071,-0.026,-0.599,-11.780,7.000,17.000,10,-0.045,0.527
20.000,6405.000,6402.800,2.200,0.112,0.357,0.058,1.133,7.000,20.000,10,-0.245,0.054
21.000,6292.400,6290.400,2.000,0.102,0.789,0.367,7.219,7.000,19.000,11,-0.687,-0.265
