domain,casc_p1,casc_p2
1,-4.729380326986928,3.476154186796793
2,-4.834964975291487,3.149571393105584
3,-4.6339050586413295,2.7132362606374447
4,-4.279642430224416,2.240676222695533
5,-3.849493750347841,1.7775177574405472
6,-3.659649328500093,1.5697827504295685
7,-3.107401712152289,1.4606495438608351
8,-2.5878750979562914,1.4259853580261794
9,-2.196135431867257,1.4404361873362947
10,-1.890336426121736,1.5039416603392683
11,-1.624449419339969,1.5758000878105278
12,-1.344913039748603,1.6439349394064384
13,-1.083606926483534,1.696658607477139
14,-0.8279454238431863,1.6984572442033872
15,-0.5820443231964211,1.64920583038542
16,-0.3811687149612134,1.4781273645126838
17,-0.2739154616817323,1.3134032027136011
18,-0.1565077491336054,1.1544856304239233
19,-0.0258429910825622,1.006430172361159
20,0.0764247898862071,0.8497413751934885
21,0.1466997390081852,0.7812219657366059
22,0.2057635803588209,0.6291257857780799
23,0.2736522652850195,0.5288994316173572
24,0.3554348450834609,0.4858792678444139
25,0.4933467923383922,0.5400378801997575
26,0.6634342924067693,0.6674517441997571
27,0.86037178800215,0.8304608328166239
28,1.0204793294681964,0.9671060694860312
29,1.1412031382201708,1.0268451669841765
30,1.207312415604711,1.1632113113065687
31,1.1558994792672932,1.3257767409662278
32,0.996934164327098,1.3940986198748953
33,0.7287419164439598,1.3987928214750829
34,0.3943342134786149,1.3035240636040424
35,0.064967174276541,1.1701722366431435
36,-0.261966366827592,1.0087313906718964
37,-0.5382408043177008,0.8522530360164521
38,-0.726681751934108,0.7384708106454205
39,-0.8455440097858008,0.6267942386672724
40,-0.8989647621560383,0.520037804594623
41,-0.9108734204599882,0.4088832364974593
42,-0.911022699405788,0.2843516345150806
43,-0.9165149475865386,0.1452957192710773
44,-0.9482046279835789,-0.0029848226415988
45,-0.9751005223307616,-0.1402810562388858
46,-1.0181337802385553,-0.2858490402057674
47,-1.0789422151428805,-0.4267052955129066
48,-1.1389192179357692,-0.5399949093062367
49,-1.1884640191705138,-0.61664633399619
50,-1.2146930084799266,-0.6588707162157713
51,-1.2015210818038775,-0.6681254296995078
52,-1.145129997446339,-0.6509155596539399
53,-1.0450810236740744,-0.6044823382462421
54,-0.9395876996060984,-0.5465910292036166
55,-0.7877868085246283,-0.4742747971609632
56,-0.6274467000794391,-0.4022227746574566
57,-0.500056087950663,-0.2722623017225193
58,-0.3861383474843161,-0.1338353423605693
59,-0.2706900045871289,0.0106395990852889
60,-0.1938496514447411,0.1661096251470248
61,-0.1087730335406066,0.3432002198085112
62,-0.0411079882994385,0.5086252961761251
63,0.0413448219066647,0.6974197327745826
64,0.127779686141879,0.8716138268546472
65,0.1853446793900557,1.007634463080173
66,0.2233010296043023,1.0597115073128855
67,0.2006227069683569,1.0153852095473654
68,0.1223132719484404,0.9169673454150028
69,0.0239154651031551,0.7534432236813593
70,-0.0904482417511257,0.5759537307418271
71,-0.2648431411978884,0.3651012869588668
72,-0.51179965474142,0.1448514178038021
73,-0.8173873754698918,-0.1066865101092528
74,-1.187883308294838,-0.3909923406609628
75,-1.6160496398545197,-0.7203111840568566
76,-2.1120981840445308,-1.0337247262941889
77,-2.6265341746759856,-1.3058626058064404
78,-3.1417966400211075,-1.516852251456049
79,-3.5417686092709184,-1.6187821977412358
80,-3.811628689736476,-1.6128861988435077
81,-3.952461013182024,-1.4823423996677898
82,-3.956335882085333,-1.2482024327209165
83,-3.813293743562205,-0.9178301430884817
84,-3.5829416422842777,-0.4658036562411061
85,-3.207228366316906,0.0530985541467066
86,-2.716803787006044,0.5858049378530221
87,-2.174259113532657,1.1001278751175496
88,-1.6518965738971088,1.5407141303158338
89,-1.193053789945154,1.8431228879968733
90,-0.9009442087981954,1.8860179452971109
