transect_id,domain_number,distance_m,match_method,northing_m
usa_NC_0037_0068,97,0.0,polygon_join,3947044.807
usa_NC_0037_0069,97,0.0,polygon_join,3947094.221
usa_NC_0037_0070,97,0.0,polygon_join,3947143.35
usa_NC_0037_0071,97,0.0,polygon_join,3947192.087
usa_NC_0037_0072,97,0.0,polygon_join,3947240.898
usa_NC_0037_0073,97,0.0,polygon_join,3947290.202
usa_NC_0037_0074,97,0.0,polygon_join,3947338.897
usa_NC_0037_0075,97,0.0,polygon_join,3947387.149
usa_NC_0037_0076,97,0.0,polygon_join,3947436.823
usa_NC_0037_0077,97,0.0,polygon_join,3947484.95
usa_NC_0037_0078,98,0.0,polygon_join,3947534.13
usa_NC_0037_0079,98,0.0,polygon_join,3947582.805
usa_NC_0037_0080,98,0.0,polygon_join,3947630.684
usa_NC_0037_0081,98,0.0,polygon_join,3947680.876
usa_NC_0037_0082,98,0.0,polygon_join,3947729.657
usa_NC_0037_0083,98,0.0,polygon_join,3947778.623
usa_NC_0037_0084,98,0.0,polygon_join,3947827.849
usa_NC_0037_0085,98,0.0,polygon_join,3947875.627
usa_NC_0037_0086,98,0.0,polygon_join,3947923.924
usa_NC_0037_0087,98,0.0,polygon_join,3947973.545
usa_NC_0037_0088,98,0.0,polygon_join,3948020.958
usa_NC_0037_0089,99,0.0,polygon_join,3948069.952
usa_NC_0037_0090,99,0.0,polygon_join,3948110.802
usa_NC_0037_0091,99,0.0,polygon_join,3948160.909
usa_NC_0037_0092,99,0.0,polygon_join,3948210.392
usa_NC_0037_0093,99,0.0,polygon_join,3948251.712
usa_NC_0037_0094,99,0.0,polygon_join,3948310.548
usa_NC_0037_0095,99,0.0,polygon_join,3948361.884
usa_NC_0037_0096,99,0.0,polygon_join,3948412.759
usa_NC_0037_0097,99,0.0,polygon_join,3948463.38
usa_NC_0037_0098,99,0.0,polygon_join,3948513.438
usa_NC_0037_0099,100,0.0,polygon_join,3948560.79
usa_NC_0037_0100,100,0.0,polygon_join,3948609.926
usa_NC_0037_0101,100,0.0,polygon_join,3948640.713
usa_NC_0037_0102,100,0.0,polygon_join,3948687.029
usa_NC_0037_0103,100,0.0,polygon_join,3948733.43
usa_NC_0037_0104,100,0.0,polygon_join,3948780.323
usa_NC_0037_0105,100,0.0,polygon_join,3948827.43
