model_year,groin_active,trapping_rate_applied_m_yr,applied_dx_updrift_m,applied_dx_downdrift_m,cumulative_updrift_m,cumulative_downdrift_m
1984,True,50.0,-50.0,50.0,-50.0,50.0
1985,True,50.0,-50.0,50.0,-100.0,100.0
1986,True,50.0,-50.0,50.0,-150.0,150.0
1987,True,50.0,-50.0,50.0,-200.0,200.0
1988,True,50.0,-50.0,50.0,-250.0,250.0
1989,True,50.0,-50.0,50.0,-300.0,300.0
1990,True,50.0,-50.0,50.0,-350.0,350.0
1991,True,50.0,-50.0,50.0,-400.0,400.0
1992,True,50.0,-50.0,50.0,-450.0,450.0
1993,True,50.0,-50.0,50.0,-500.0,500.0
1994,True,50.0,-50.0,50.0,-550.0,550.0
1995,True,50.0,-50.0,50.0,-600.0,600.0
1996,True,50.0,-50.0,50.0,-650.0,650.0
1997,True,49.285714285714285,-49.285714285714285,49.285714285714285,-699.2857142857143,699.2857142857143
1998,True,48.57142857142857,-48.57142857142857,48.57142857142857,-747.8571428571429,747.8571428571429
1999,True,47.857142857142854,-47.857142857142854,47.857142857142854,-795.7142857142858,795.7142857142858
2000,True,47.142857142857146,-47.142857142857146,47.142857142857146,-842.8571428571429,842.8571428571429
2001,True,46.42857142857143,-46.42857142857143,46.42857142857143,-889.2857142857143,889.2857142857143
2002,True,45.714285714285715,-45.714285714285715,45.714285714285715,-935.0,935.0
2003,True,45.0,-45.0,45.0,-980.0,980.0
