gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
1.000,8154.639,8183.790,-29.152,-1.526,3.530,3.139,59.957,19.000,37.000,9,-5.057,-4.666
2.000,8086.434,8114.229,-27.795,-1.455,2.744,2.506,47.855,16.000,38.000,11,-4.200,-3.961
3.000,8008.290,8023.747,-15.457,-0.809,2.864,2.409,46.002,18.000,37.500,10,-3.674,-3.218
4.000,7903.634,7905.850,-2.216,-0.116,2.360,2.751,52.544,19.000,36.000,13,-2.476,-2.867
5.000,7733.199,7763.818,-30.619,-1.603,1.180,0.832,15.899,18.000,38.000,13,-2.784,-2.436
6.000,7481.403,7554.248,-72.845,-3.814,-1.285,-1.484,-28.334,20.000,36.000,6,-2.529,-2.331
7.000,7408.150,7485.816,-77.666,-4.066,-0.707,-0.709,-13.550,17.000,37.000,4,-3.360,-3.357
8.000,7357.305,7418.745,-61.440,-3.217,0.347,0.122,2.330,20.500,37.000,8,-3.564,-3.339
9.000,7302.304,7339.852,-37.548,-1.966,1.046,0.660,12.613,19.000,37.000,9,-3.012,-2.626
10.000,7238.164,7271.778,-33.614,-1.760,1.759,1.222,23.345,18.500,37.000,10,-3.519,-2.982
11.000,7173.720,7190.624,-16.904,-0.885,2.210,1.420,27.123,18.000,34.500,10,-3.095,-2.305
12.000,7088.080,7116.719,-28.639,-1.499,1.964,0.889,16.979,21.000,35.000,10,-3.463,-2.388
13.000,7012.807,7029.316,-16.508,-0.864,1.803,0.887,16.932,19.000,35.000,11,-2.667,-1.751
14.000,6920.555,6924.692,-4.137,-0.217,2.397,1.672,31.927,20.500,35.000,10,-2.613,-1.888
15.000,6843.331,6830.783,12.548,0.657,2.224,1.523,29.087,18.000,36.000,10,-1.567,-0.866
16.000,6769.530,6739.353,30.177,1.580,1.459,1.352,25.813,20.000,39.000,10,0.121,0.228
17.000,6660.864,6643.392,17.471,0.915,1.943,1.669,31.871,19.000,37.000,10,-1.029,-0.754
18.000,6561.008,6548.571,12.437,0.651,2.086,2.312,44.160,19.500,36.000,10,-1.435,-1.661
19.000,6483.927,6454.137,29.790,1.560,2.122,2.336,44.610,17.000,36.000,10,-0.563,-0.776
20.000,6401.889,6372.632,29.257,1.532,1.971,1.651,31.525,20.000,36.000,10,-0.439,-0.119
21.000,6289.406,6281.972,7.434,0.389,0.687,0.682,13.020,19.000,39.000,11,-0.298,-0.292
22.000,6160.443,6186.058,-25.614,-1.341,-0.680,-0.627,-11.972,19.000,39.000,10,-0.661,-0.714
23.000,6046.676,6094.132,-47.457,-2.485,-1.630,-1.575,-30.081,18.000,39.000,10,-0.855,-0.910
24.000,5920.501,5983.428,-62.927,-3.295,-1.633,-2.015,-38.481,20.000,39.000,10,-1.662,-1.280
25.000,5823.410,5881.842,-58.432,-3.059,-1.769,-2.194,-41.899,20.000,39.000,10,-1.290,-0.866
26.000,5730.926,5767.866,-36.940,-1.934,-1.088,-1.667,-31.846,20.000,38.000,10,-0.846,-0.267
27.000,5638.443,5648.350,-9.908,-0.519,-0.584,-0.128,-2.444,20.000,38.000,10,0.065,-0.391
28.000,5525.810,5517.105,8.705,0.456,1.739,2.292,43.777,21.000,39.000,10,-1.284,-1.836
29.000,5394.224,5395.268,-1.044,-0.055,3.170,3.342,63.824,20.000,39.000,10,-3.225,-3.396
30.000,5275.579,5284.277,-8.698,-0.455,3.858,2.554,48.770,21.000,39.000,10,-4.313,-3.009
31.000,5159.796,5164.473,-4.677,-0.245,2.711,2.408,45.999,21.000,39.000,11,-2.956,-2.653
32.000,5037.690,5041.916,-4.225,-0.221,1.618,2.106,40.217,21.500,40.000,10,-1.840,-2.327
33.000,4903.467,4907.576,-4.109,-0.215,1.457,2.187,41.778,20.000,39.000,11,-1.672,-2.403
34.000,4762.876,4777.553,-14.677,-0.768,2.575,2.131,40.705,21.000,40.000,10,-3.343,-2.900
35.000,4632.839,4660.155,-27.316,-1.430,1.811,0.659,12.596,21.000,40.000,11,-3.242,-2.090
36.000,4525.648,4553.326,-27.678,-1.449,1.506,0.347,6.634,22.000,40.000,10,-2.955,-1.797
37.000,4435.580,4461.677,-26.097,-1.366,0.932,0.591,11.287,21.000,40.000,11,-2.299,-1.957
38.000,4392.709,4385.155,7.554,0.396,0.319,0.448,8.560,21.000,40.000,10,0.077,-0.053
39.000,4347.488,4336.431,11.057,0.579,0.366,0.598,11.418,21.000,40.000,10,0.213,-0.019
40.000,4320.598,4318.922,1.676,0.088,0.459,1.131,21.603,21.500,38.000,10,-0.371,-1.043
41.000,4295.011,4285.856,9.156,0.479,0.367,1.659,31.685,19.500,36.500,10,0.113,-1.180
42.000,4271.299,4254.559,16.740,0.876,0.187,1.170,22.343,21.000,36.000,10,0.689,-0.293
43.000,4248.022,4233.469,14.553,0.762,0.087,0.182,3.468,21.000,35.000,10,0.675,0.580
44.000,4224.684,4209.005,15.679,0.821,-0.256,-0.248,-4.735,21.000,36.000,10,1.077,1.069
45.000,4199.911,4185.471,14.440,0.756,-0.748,-0.669,-12.787,21.000,36.000,10,1.504,1.426
46.000,4171.726,4166.581,5.145,0.269,-0.967,-1.093,-20.883,21.000,39.000,10,1.236,1.363
47.000,4138.047,4141.809,-3.761,-0.197,-0.783,-1.247,-23.825,20.500,41.000,10,0.587,1.050
48.000,4105.088,4104.275,0.813,0.043,-0.451,-0.791,-15.103,20.500,40.000,10,0.494,0.833
49.000,4086.450,4073.214,13.236,0.693,-0.940,-0.570,-10.885,20.000,40.000,10,1.633,1.263
50.000,4072.676,4045.020,27.656,1.448,-0.981,-0.273,-5.205,20.000,40.000,10,2.429,1.721
51.000,4048.599,4007.259,41.340,2.164,-0.865,-0.155,-2.956,18.500,40.000,10,3.029,2.319
52.000,4019.161,3970.604,48.557,2.542,-1.410,-0.325,-6.216,20.000,39.500,10,3.953,2.868
53.000,3977.235,3927.276,49.959,2.616,-1.146,-1.065,-20.339,19.000,41.000,10,3.762,3.681
54.000,3918.125,3867.071,51.054,2.673,-1.276,-1.044,-19.937,21.000,41.000,10,3.949,3.717
55.000,3827.877,3800.807,27.069,1.417,-0.834,-0.855,-16.337,18.000,40.000,10,2.252,2.273
56.000,3717.036,3713.638,3.398,0.178,-0.503,-0.617,-11.776,21.000,40.000,11,0.681,0.794
57.000,3647.279,3632.348,14.930,0.782,0.066,-0.083,-1.590,20.000,39.000,10,0.715,0.865
58.000,3556.726,3549.050,7.676,0.402,0.392,0.353,6.738,21.000,39.500,10,0.010,0.049
59.000,3465.987,3455.689,10.299,0.539,0.412,0.109,2.090,20.000,39.000,10,0.127,0.430
60.000,3376.042,3364.617,11.425,0.598,-0.579,-1.006,-19.215,20.000,39.000,10,1.177,1.604
61.000,3286.098,3268.429,17.669,0.925,-1.413,-1.617,-30.885,19.000,39.000,10,2.338,2.542
62.000,3178.164,3156.769,21.395,1.120,-1.721,-1.709,-32.645,20.000,39.000,10,2.841,2.829
63.000,3088.219,3056.399,31.821,1.666,-0.066,-0.452,-8.627,19.000,38.000,10,1.732,2.118
64.000,2998.075,2959.327,38.748,2.029,0.734,-0.156,-2.980,20.500,38.500,10,1.295,2.185
65.000,2907.649,2856.062,51.588,2.701,1.641,1.024,19.556,19.000,38.000,10,1.060,1.677
66.000,2806.172,2745.168,61.004,3.194,3.462,3.124,59.663,20.000,37.000,11,-0.268,0.070
67.000,2680.544,2619.936,60.608,3.173,3.085,3.338,63.751,19.500,37.000,10,0.088,-0.165
68.000,2554.074,2506.355,47.719,2.498,1.310,2.653,50.679,19.000,37.000,10,1.189,-0.155
69.000,2440.325,2407.712,32.613,1.708,0.764,2.212,42.240,19.000,38.500,10,0.943,-0.504
70.000,2341.755,2322.021,19.733,1.033,0.932,0.594,11.343,17.500,39.000,10,0.101,0.439
71.000,2252.334,2241.384,10.950,0.573,1.221,0.957,18.271,22.000,44.000,10,-0.648,-0.383
72.000,2182.169,2158.301,23.868,1.250,1.763,1.450,27.699,20.500,45.000,10,-0.513,-0.201
