domain,n_samples,n_1984,n_1997,n_both,offset_med_m,offset_p25_m,offset_p75_m,offset_min_m,offset_max_m,offset_mean_m,offset_sd_m,offset_med_cells,nearest_med_m,offset_over_nearest,x1984_med,x1997_med
49,500,500,500,500,34.23,26.09,39.04,20.56,43.2,32.53,6.81,3.42,33.94,1.01,456161.93,456135.41
50,500,500,500,500,33.76,24.69,38.96,18.48,47.98,32.7,8.95,3.38,32.41,1.04,456209.71,456175.95
51,500,500,500,500,26.48,23.82,31.17,18.45,36.77,27.51,5.25,2.65,26.4,1.0,456253.17,456225.03
52,500,500,500,500,13.57,7.21,23.46,3.45,34.42,15.47,8.94,1.36,13.55,1.0,456283.11,456267.78
53,500,500,500,500,11.31,6.8,18.8,2.81,26.1,12.71,6.89,1.13,11.28,1.0,456316.62,456313.24
54,500,500,500,500,27.94,27.17,29.24,15.94,29.29,26.6,3.81,2.79,27.73,1.01,456386.64,456358.5
55,500,500,500,500,7.12,3.48,11.37,0.4,15.81,7.67,4.4,0.71,7.07,1.01,456444.97,456437.84
56,500,500,500,500,-8.84,-13.51,-3.75,-16.97,14.09,-7.12,8.11,-0.88,10.26,0.86,456487.47,456500.78
57,500,500,500,500,1.95,-3.32,6.7,-11.26,15.73,1.83,6.85,0.2,5.1,0.38,456578.77,456581.3
58,500,500,500,500,4.95,-3.07,10.19,-8.28,17.44,4.06,7.38,0.49,6.61,0.75,456682.62,456667.81
59,500,500,500,500,-15.32,-16.75,-7.72,-22.94,0.9,-12.63,6.49,-1.53,15.08,1.02,456741.96,456758.6
60,500,500,500,500,0.01,-9.5,2.3,-15.43,3.34,-3.55,6.6,0.0,2.52,0.0,456848.2,456845.24
61,500,500,500,500,-8.42,-13.19,-2.98,-18.38,2.21,-8.26,6.19,-0.84,8.19,1.03,456941.01,456941.19
62,500,500,500,500,-29.67,-34.47,-21.91,-41.16,-10.83,-28.88,7.97,-2.97,28.87,1.03,457017.2,457050.09
63,500,500,500,500,-50.81,-53.32,-46.5,-57.9,-36.32,-49.08,5.31,-5.08,49.47,1.03,457112.45,457162.85
64,500,500,500,500,-58.91,-65.68,-52.8,-75.24,-49.49,-60.33,7.99,-5.89,57.97,1.02,457193.4,457244.88
65,500,500,500,500,-40.23,-48.1,-36.28,-57.25,-33.27,-42.92,7.45,-4.02,39.38,1.02,457293.96,457333.34
66,500,500,500,500,-53.63,-58.4,-45.15,-63.05,-29.83,-51.32,8.97,-5.36,50.64,1.06,457381.16,457424.73
67,500,500,500,500,-52.56,-55.6,-40.61,-58.96,-28.87,-48.34,9.56,-5.26,50.77,1.04,457499.12,457554.87
68,500,500,500,500,-16.77,-20.5,-12.74,-28.6,-1.49,-15.91,5.58,-1.68,16.14,1.04,457648.21,457660.29
69,500,500,500,500,5.29,3.48,6.97,-0.99,9.05,5.01,2.45,0.53,5.19,1.02,457761.85,457757.46
70,500,500,500,500,3.27,2.25,4.19,0.97,7.77,3.45,1.59,0.33,3.22,1.02,457862.43,457860.24
71,500,500,500,500,6.13,5.22,7.66,1.95,16.47,6.95,2.88,0.61,6.03,1.02,457957.22,457949.69
72,500,500,500,500,25.64,20.22,39.49,7.09,41.16,28.05,9.7,2.56,25.55,1.0,458044.41,458018.77
73,500,500,500,500,50.24,42.37,56.89,35.16,63.04,49.95,8.35,5.02,49.74,1.01,458115.28,458064.14
74,500,500,500,500,27.33,11.61,42.79,8.47,50.75,27.91,15.55,2.73,27.06,1.01,458142.69,458117.14
75,500,500,500,500,5.45,1.8,10.83,-3.36,13.89,5.79,5.01,0.55,5.43,1.0,458161.78,458161.05
76,500,500,500,500,-4.26,-7.09,-2.35,-10.13,0.86,-4.41,2.7,-0.43,4.24,1.0,458184.23,458189.64
77,500,500,500,500,-3.04,-6.18,0.01,-8.09,13.41,-1.95,5.08,-0.3,4.11,0.74,458219.13,458222.17
78,500,500,500,500,23.49,20.26,25.32,13.46,28.36,22.44,3.84,2.35,23.36,1.01,458265.44,458242.86
79,500,500,500,500,45.74,28.72,68.35,19.78,71.56,46.77,17.59,4.57,45.19,1.01,458249.44,458201.52
80,500,500,500,500,70.25,57.06,76.97,52.67,81.11,67.75,9.94,7.03,70.08,1.0,458203.05,458132.79
81,500,500,500,500,36.89,21.55,44.78,21.19,54.22,35.02,12.14,3.69,36.85,1.0,458134.16,458097.53
82,500,500,500,500,53.2,30.14,64.23,21.12,68.64,47.94,16.91,5.32,51.01,1.04,458049.43,457996.24
83,500,500,500,500,26.89,22.5,43.16,12.15,54.5,30.37,11.91,2.69,26.77,1.0,457952.58,457935.55
84,500,500,500,500,36.29,34.28,48.54,26.93,65.5,40.87,11.75,3.63,35.63,1.02,457905.79,457869.5
85,500,500,500,500,58.75,55.59,59.83,52.93,63.31,57.94,2.69,5.88,58.05,1.01,457831.13,457771.88
86,500,500,500,500,26.84,15.16,39.61,10.65,52.73,28.18,13.45,2.68,26.61,1.01,457727.78,457700.94
87,500,500,500,500,10.28,6.89,15.12,6.25,15.73,10.76,3.53,1.03,10.11,1.02,457638.24,457631.69
88,500,500,500,500,6.34,2.34,11.43,-0.05,15.78,7.03,4.96,0.63,6.3,1.01,457562.52,457556.18
89,500,500,500,500,-8.35,-9.9,-5.49,-10.95,-0.14,-7.24,3.34,-0.83,8.25,1.01,457476.5,457487.08
90,500,500,500,500,-0.81,-2.47,0.8,-7.23,2.32,-1.03,2.17,-0.08,1.49,0.54,457403.29,457404.01
