transect_id,domain_number,mean_start_m,n_start,sd_start_m,first_obs_start,last_obs_start,mean_end_m,n_end,sd_end_m,first_obs_end,last_obs_end,change_m,endpoint_rate_m_yr
usa_NC_0032_0021,1,64.319,21,15.344,2003-11-29,2004-11-15,155.438,32,46.908,2023-01-21,2023-12-15,91.118,4.771
usa_NC_0032_0022,1,60.505,19,13.425,2003-11-29,2004-11-15,143.283,35,40.612,2023-01-21,2023-12-15,82.778,4.334
usa_NC_0032_0023,1,66.074,19,18.952,2003-11-29,2004-11-15,133.369,35,34.803,2023-01-21,2023-12-15,67.295,3.523
usa_NC_0032_0024,1,78.574,19,17.628,2003-11-29,2004-11-15,134.688,34,29.014,2023-01-21,2023-12-15,56.115,2.938
usa_NC_0032_0025,1,56.037,19,18.030,2003-11-29,2004-11-15,108.192,37,24.379,2023-01-21,2023-12-15,52.155,2.731
usa_NC_0032_0026,1,60.706,18,18.715,2003-11-29,2004-11-15,110.182,38,19.711,2023-01-21,2023-12-15,49.476,2.590
usa_NC_0032_0027,1,49.794,18,18.641,2003-11-29,2004-11-15,97.019,37,19.145,2023-01-21,2023-12-15,47.224,2.473
usa_NC_0032_0028,1,47.106,18,19.152,2003-11-29,2004-11-15,92.495,39,19.372,2023-01-21,2023-12-15,45.389,2.376
usa_NC_0032_0029,1,47.913,16,21.644,2003-11-29,2004-11-15,95.979,39,15.870,2023-01-21,2023-12-15,48.067,2.517
usa_NC_0032_0030,2,65.680,15,15.852,2003-11-29,2004-11-15,117.982,39,14.699,2023-01-21,2023-12-15,52.302,2.738
usa_NC_0032_0031,2,63.319,16,15.837,2003-11-29,2004-11-15,113.618,38,12.640,2023-01-21,2023-12-15,50.300,2.634
usa_NC_0032_0032,2,69.627,15,14.947,2003-11-29,2004-11-15,118.405,38,11.534,2023-01-21,2023-12-15,48.779,2.554
usa_NC_0032_0033,2,51.681,16,14.188,2003-11-29,2004-11-15,99.013,38,12.770,2023-01-21,2023-12-15,47.332,2.478
usa_NC_0032_0034,2,68.119,16,14.438,2003-11-29,2004-11-15,115.629,38,12.362,2023-01-21,2023-12-15,47.510,2.488
usa_NC_0032_0035,2,54.919,16,14.827,2003-11-29,2004-11-15,104.697,38,11.564,2023-01-21,2023-12-15,49.779,2.606
usa_NC_0032_0036,2,43.881,16,14.166,2003-11-29,2004-11-15,91.134,38,9.807,2023-01-21,2023-12-15,47.253,2.474
usa_NC_0032_0037,2,40.350,16,15.254,2003-11-29,2004-11-15,85.550,38,11.822,2023-01-21,2023-12-15,45.200,2.367
usa_NC_0032_0038,2,34.620,15,15.119,2003-11-29,2004-11-15,80.008,37,12.292,2023-01-21,2023-12-15,45.388,2.376
usa_NC_0032_0039,2,38.183,18,12.595,2003-11-29,2004-11-15,84.426,38,11.648,2023-01-21,2023-12-15,46.243,2.421
usa_NC_0032_0040,2,37.216,19,13.158,2003-11-29,2004-11-15,83.539,38,10.924,2023-01-21,2023-12-15,46.324,2.425
usa_NC_0032_0041,3,38.385,20,11.036,2003-11-29,2004-11-15,80.887,38,10.427,2023-01-21,2023-12-15,42.502,2.225
usa_NC_0032_0042,3,41.533,18,10.918,2003-11-29,2004-11-15,83.192,38,11.617,2023-01-21,2023-12-15,41.659,2.181
