gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
1.000,8154.639,8184.865,-30.227,-1.583,3.530,3.139,59.957,19.000,37.000,9,-5.113,-4.722
2.000,8086.434,8142.126,-55.691,-2.916,2.744,2.506,47.855,16.000,38.000,11,-5.660,-5.422
3.000,8008.290,8038.248,-29.958,-1.569,2.864,2.409,46.002,18.000,37.500,10,-4.433,-3.977
4.000,7903.634,7932.374,-28.739,-1.505,2.360,2.751,52.544,19.000,36.000,13,-3.864,-4.256
5.000,7733.199,7770.666,-37.466,-1.962,1.180,0.832,15.899,18.000,38.000,13,-3.142,-2.794
6.000,7481.403,7556.631,-75.228,-3.939,-1.285,-1.484,-28.334,20.000,36.000,6,-2.654,-2.455
7.000,7408.150,7485.816,-77.666,-4.066,-0.707,-0.709,-13.550,17.000,37.000,4,-3.360,-3.357
8.000,7357.305,7418.745,-61.440,-3.217,0.347,0.122,2.330,20.500,37.000,8,-3.564,-3.339
9.000,7302.304,7339.852,-37.548,-1.966,1.046,0.660,12.613,19.000,37.000,9,-3.012,-2.626
10.000,7238.164,7274.491,-36.326,-1.902,1.759,1.222,23.345,18.500,37.000,10,-3.661,-3.124
11.000,7173.720,7198.699,-24.979,-1.308,2.210,1.420,27.123,18.000,34.500,10,-3.518,-2.728
12.000,7088.080,7127.932,-39.852,-2.087,1.964,0.889,16.979,21.000,35.000,10,-4.050,-2.976
13.000,7012.807,7041.732,-28.925,-1.514,1.803,0.887,16.932,19.000,35.000,11,-3.317,-2.401
14.000,6920.555,6941.612,-21.057,-1.103,2.397,1.672,31.927,20.500,35.000,10,-3.499,-2.774
15.000,6843.331,6847.891,-4.560,-0.239,2.224,1.523,29.087,18.000,36.000,10,-2.463,-1.762
16.000,6769.530,6739.353,30.177,1.580,1.459,1.352,25.813,20.000,39.000,10,0.121,0.228
17.000,6660.864,6657.171,3.693,0.193,1.943,1.669,31.871,19.000,37.000,10,-1.750,-1.475
18.000,6561.008,6555.313,5.696,0.298,2.086,2.312,44.160,19.500,36.000,10,-1.788,-2.014
19.000,6483.927,6472.883,11.044,0.578,2.122,2.336,44.610,17.000,36.000,10,-1.544,-1.757
20.000,6401.889,6389.331,12.558,0.658,1.971,1.651,31.525,20.000,36.000,10,-1.313,-0.993
21.000,6289.406,6283.737,5.669,0.297,0.687,0.682,13.020,19.000,39.000,11,-0.390,-0.385
22.000,6160.443,6186.058,-25.614,-1.341,-0.680,-0.627,-11.972,19.000,39.000,10,-0.661,-0.714
23.000,6046.676,6094.977,-48.301,-2.529,-1.630,-1.575,-30.081,18.000,39.000,10,-0.899,-0.954
24.000,5920.501,5983.428,-62.927,-3.295,-1.633,-2.015,-38.481,20.000,39.000,10,-1.662,-1.280
25.000,5823.410,5881.842,-58.432,-3.059,-1.769,-2.194,-41.899,20.000,39.000,10,-1.290,-0.866
26.000,5730.926,5767.866,-36.940,-1.934,-1.088,-1.667,-31.846,20.000,38.000,10,-0.846,-0.267
27.000,5638.443,5648.350,-9.908,-0.519,-0.584,-0.128,-2.444,20.000,38.000,10,0.065,-0.391
28.000,5525.810,5533.163,-7.354,-0.385,1.739,2.292,43.777,21.000,39.000,10,-2.124,-2.677
29.000,5394.224,5414.458,-20.234,-1.059,3.170,3.342,63.824,20.000,39.000,10,-4.229,-4.401
30.000,5275.579,5296.776,-21.198,-1.110,3.858,2.554,48.770,21.000,39.000,10,-4.967,-3.663
31.000,5159.796,5179.842,-20.046,-1.050,2.711,2.408,45.999,21.000,39.000,11,-3.761,-3.458
32.000,5037.690,5086.561,-48.871,-2.559,1.618,2.106,40.217,21.500,40.000,10,-4.177,-4.664
33.000,4903.467,4943.133,-39.667,-2.077,1.457,2.187,41.778,20.000,39.000,11,-3.534,-4.264
34.000,4762.876,4797.763,-34.887,-1.827,2.575,2.131,40.705,21.000,40.000,10,-4.401,-3.958
35.000,4632.839,4683.276,-50.437,-2.641,1.811,0.659,12.596,21.000,40.000,11,-4.452,-3.300
36.000,4525.648,4561.078,-35.430,-1.855,1.506,0.347,6.634,22.000,40.000,10,-3.361,-2.202
37.000,4435.580,4463.836,-28.256,-1.479,0.932,0.591,11.287,21.000,40.000,11,-2.412,-2.070
38.000,4392.709,4388.900,3.810,0.199,0.319,0.448,8.560,21.000,40.000,10,-0.119,-0.249
39.000,4347.488,4336.648,10.839,0.568,0.366,0.598,11.418,21.000,40.000,10,0.201,-0.030
40.000,4320.598,4318.922,1.676,0.088,0.459,1.131,21.603,21.500,38.000,10,-0.371,-1.043
41.000,4295.011,4285.856,9.156,0.479,0.367,1.659,31.685,19.500,36.500,10,0.113,-1.180
42.000,4271.299,4254.559,16.740,0.876,0.187,1.170,22.343,21.000,36.000,10,0.689,-0.293
43.000,4248.022,4235.185,12.837,0.672,0.087,0.182,3.468,21.000,35.000,10,0.585,0.491
44.000,4224.684,4210.305,14.379,0.753,-0.256,-0.248,-4.735,21.000,36.000,10,1.008,1.001
45.000,4199.911,4187.798,12.113,0.634,-0.748,-0.669,-12.787,21.000,36.000,10,1.382,1.304
46.000,4171.726,4166.581,5.145,0.269,-0.967,-1.093,-20.883,21.000,39.000,10,1.236,1.363
47.000,4138.047,4141.809,-3.761,-0.197,-0.783,-1.247,-23.825,20.500,41.000,10,0.587,1.050
48.000,4105.088,4104.275,0.813,0.043,-0.451,-0.791,-15.103,20.500,40.000,10,0.494,0.833
49.000,4086.450,4073.214,13.236,0.693,-0.940,-0.570,-10.885,20.000,40.000,10,1.633,1.263
50.000,4072.676,4044.602,28.075,1.470,-0.981,-0.273,-5.205,20.000,40.000,10,2.451,1.742
51.000,4048.599,4007.259,41.340,2.164,-0.865,-0.155,-2.956,18.500,40.000,10,3.029,2.319
52.000,4019.161,3986.050,33.112,1.734,-1.410,-0.325,-6.216,20.000,39.500,10,3.144,2.059
53.000,3977.235,3929.188,48.047,2.516,-1.146,-1.065,-20.339,19.000,41.000,10,3.662,3.581
54.000,3918.125,3867.071,51.054,2.673,-1.276,-1.044,-19.937,21.000,41.000,10,3.949,3.717
55.000,3827.877,3800.807,27.069,1.417,-0.834,-0.855,-16.337,18.000,40.000,10,2.252,2.273
56.000,3717.036,3713.638,3.398,0.178,-0.503,-0.617,-11.776,21.000,40.000,11,0.681,0.794
57.000,3647.279,3631.995,15.283,0.800,0.066,-0.083,-1.590,20.000,39.000,10,0.734,0.883
