scenario,kind,domain,setback_m,verdict,road_off_island,pct_road_cells_water,pct_profiles_road_submerged,pct_bayside_water,pct_seaside_water,pct_findwidths_disagree,road_start_cell,road_end_cell,border_row,domain_width_rows,iw_min,iw_p20,iw_median,iw_max,largest_fitting_setback_m,narrow_label,pct_profiles_land_behind,land_behind_median_cells,gap_median_cells,relocation_road_ele_m,relocation_ele_refuses,average_barrier_width_m,relocation_width_refuses
2004 initial,initial,49,130.0,FITS,False,0.0,0.0,0.0,0.0,0.0,13,15,16,29,20,22,23,27,190.0,TRUE_END,0.0,0,0,,,,
2004 initial,initial,50,110.0,FITS,False,0.0,0.0,0.0,0.0,0.0,11,13,14,26,15,19,21,24,160.0,TRUE_END,2.0,0,1,,,,
2004 initial,initial,51,120.0,FITS,False,0.0,0.0,0.0,0.0,0.0,12,14,15,30,18,22,24,28,190.0,TRUE_END,4.0,0,3,,,,
2004 initial,initial,52,95.0,FITS,False,0.0,0.0,0.0,0.0,0.0,9,11,12,32,15,18,21,27,160.0,TRUE_END,8.0,0,1,,,,
2004 initial,initial,53,140.0,FITS,False,0.0,0.0,0.0,0.0,0.0,14,16,17,37,21,24,26,33,210.0,MIXED,32.0,0,1,,,,
2004 initial,initial,54,150.0,FITS,False,0.0,0.0,0.0,0.0,0.0,15,17,18,45,22,25,28,44,230.0,HOLED,66.0,1,2,,,,
2004 initial,initial,55,160.0,FITS,False,0.0,0.0,0.0,0.0,0.0,16,18,19,52,23,33,36,49,310.0,HOLED,70.0,4,1,,,,
2004 initial,initial,56,180.0,FITS,False,0.0,0.0,0.0,0.0,0.0,18,20,21,52,24,27,29,34,250.0,MIXED,28.0,0,2,,,,
2004 initial,initial,57,200.0,FITS,False,0.0,0.0,0.0,0.0,0.0,20,22,23,47,25,29,36,45,270.0,TRUE_END,12.0,0,1,,,,
2004 initial,initial,58,240.0,FITS,False,0.0,0.0,0.0,0.0,0.0,24,26,27,55,32,41,45,52,400.0,MIXED,36.0,0,2,,,,
2004 initial,initial,59,270.0,FITS,False,0.0,0.0,0.0,0.0,0.0,27,29,30,58,42,44,48,57,430.0,HOLED,52.0,1,1,,,,
2004 initial,initial,60,310.0,FITS,False,0.0,0.0,0.0,0.0,0.0,31,33,34,60,48,56,58,59,540.0,TRUE_END,20.0,0,1,,,,
2004 initial,initial,61,330.0,FITS,False,0.0,0.0,0.0,0.0,0.0,33,35,36,63,48,53,59,62,560.0,MIXED,30.0,0,1,,,,
2004 initial,initial,62,340.0,FITS,False,0.0,0.0,0.0,0.0,0.0,34,36,37,68,56,62,63,67,590.0,MIXED,24.0,0,1,,,,
2004 initial,initial,63,350.0,FITS,False,0.0,0.0,0.0,0.0,0.0,35,37,38,70,60,63,65,69,620.0,MIXED,28.0,0,1,,,,
2004 initial,initial,64,370.0,FITS,False,0.0,0.0,0.0,0.0,0.0,37,39,40,72,62,65,69,70,660.0,MIXED,34.0,0,1,,,,
2004 initial,initial,65,370.0,FITS,False,0.0,0.0,0.0,0.0,0.0,37,39,40,71,60,67,68,70,640.0,TRUE_END,4.0,0,1,,,,
