year,topo_version,domain,profile,duneline_cell,interior_row0_cell,shift_m
2004,v1,1,0,6.35,12,56.5
2004,v1,1,1,6.28,12,57.2
2004,v1,1,2,6.21,11,47.9
2004,v1,1,3,6.14,11,48.6
2004,v1,1,4,6.07,11,49.3
2004,v1,1,5,6.2,11,48.0
2004,v1,1,6,6.34,12,56.6
2004,v1,1,7,6.47,12,55.3
2004,v1,1,8,6.46,12,55.4
2004,v1,1,9,6.35,12,56.5
2004,v1,1,10,7.25,12,47.5
2004,v1,1,11,7.15,12,48.5
2004,v1,1,12,7.05,12,49.5
2004,v1,1,13,6.94,10,30.6
2004,v1,1,14,6.84,12,51.6
2004,v1,1,15,6.74,12,52.6
2004,v1,1,16,6.64,12,53.6
2004,v1,1,17,6.6,12,54.0
2004,v1,1,18,6.6,12,54.0
2004,v1,1,19,6.6,12,54.0
2004,v1,1,20,6.6,12,54.0
2004,v1,1,21,7.42,12,45.8
2004,v1,1,22,7.08,12,49.2
2004,v1,1,23,6.87,12,51.3
2004,v1,1,24,6.67,12,53.3
2004,v1,1,25,6.48,12,55.2
2004,v1,1,26,6.3,12,57.0
2004,v1,1,27,6.14,12,58.6
2004,v1,1,28,5.99,12,60.1
2004,v1,1,29,5.84,12,61.6
2004,v1,1,30,5.68,12,63.2
2004,v1,1,31,5.53,12,64.7
2004,v1,1,32,6.38,12,56.2
2004,v1,1,33,6.22,12,57.8
2004,v1,1,34,6.07,12,59.3
2004,v1,1,35,5.91,12,60.9
2004,v1,1,36,5.76,12,62.4
2004,v1,1,37,5.61,12,63.9
2004,v1,1,38,5.5,12,65.0
2004,v1,1,39,5.4,11,56.0
2004,v1,1,40,5.29,11,57.1
2004,v1,1,41,5.19,11,58.1
2004,v1,1,42,5.09,11,59.1
2004,v1,1,43,4.98,11,60.2
2004,v1,1,44,5.88,12,61.2
2004,v1,1,45,5.77,12,62.3
2004,v1,1,46,5.67,12,63.3
2004,v1,1,47,5.57,12,64.3
2004,v1,1,48,5.47,12,65.3
2004,v1,1,49,5.44,12,65.6
2004,v1,2,0,9.3,17,77.0
2004,v1,2,1,9.27,16,67.3
2004,v1,2,2,9.24,15,57.6
2004,v1,2,3,9.13,15,58.7
2004,v1,2,4,8.96,14,50.4
2004,v1,2,5,8.79,14,52.1
2004,v1,2,6,8.62,13,43.8
2004,v1,2,7,9.45,14,45.5
2004,v1,2,8,9.29,16,67.1
2004,v1,2,9,9.12,17,78.8
2004,v1,2,10,8.95,11,20.5
2004,v1,2,11,8.78,12,32.2
2004,v1,2,12,8.61,12,33.9
2004,v1,2,13,8.44,12,35.6
2004,v1,2,14,9.27,12,27.3
2004,v1,2,15,9.11,12,28.9
2004,v1,2,16,8.93,12,30.7
2004,v1,2,17,8.76,12,32.4
2004,v1,2,18,8.58,12,34.2
2004,v1,2,19,8.41,12,35.9
2004,v1,2,20,9.23,13,37.7
2004,v1,2,21,9.06,13,39.4
2004,v1,2,22,8.88,12,31.2
2004,v1,2,23,8.71,12,32.9
2004,v1,2,24,8.54,14,54.6
2004,v1,2,25,8.36,13,46.4
2004,v1,2,26,8.19,17,88.1
2004,v1,2,27,9.01,14,49.9
2004,v1,2,28,8.86,15,61.4
2004,v1,2,29,8.7,15,63.0
2004,v1,2,30,8.54,15,64.6
2004,v1,2,31,8.39,14,56.1
2004,v1,2,32,8.23,14,57.7
2004,v1,2,33,9.08,15,59.2
2004,v1,2,34,8.92,15,60.8
2004,v1,2,35,8.77,15,62.3
2004,v1,2,36,8.61,14,53.9
2004,v1,2,37,8.46,13,45.4
2004,v1,2,38,8.3,17,87.0
2004,v1,2,39,8.14,17,88.6
2004,v1,2,40,9.0,14,50.0
2004,v1,2,41,8.86,14,51.4
2004,v1,2,42,8.71,14,52.9
2004,v1,2,43,8.57,17,84.3
2004,v1,2,44,8.43,16,75.7
2004,v1,2,45,8.28,16,77.2
2004,v1,2,46,9.14,17,78.6
2004,v1,2,47,9.0,17,80.0
2004,v1,2,48,8.86,16,71.4
2004,v1,2,49,8.71,16,72.9
2004,v1,3,0,7.7,14,63.0
2004,v1,3,1,7.56,14,64.4
2004,v1,3,2,7.41,14,65.9
2004,v1,3,3,7.27,13,57.3
2004,v1,3,4,7.13,13,58.7
2004,v1,3,5,7.99,13,50.1
2004,v1,3,6,7.84,13,51.6
2004,v1,3,7,7.7,13,53.0
2004,v1,3,8,7.56,12,44.4
2004,v1,3,9,7.41,10,25.9
2004,v1,3,10,8.27,12,37.3
2004,v1,3,11,8.13,12,38.7
2004,v1,3,12,7.99,12,40.1
2004,v1,3,13,7.84,12,41.6
2004,v1,3,14,8.7,13,43.0
2004,v1,3,15,8.56,13,44.4
2004,v1,3,16,8.42,13,45.8
2004,v1,3,17,8.27,12,37.3
2004,v1,3,18,8.13,12,38.7
2004,v1,3,19,8.99,13,40.1
2004,v1,3,20,8.84,13,41.6
2004,v1,3,21,8.7,13,43.0
2004,v1,3,22,8.56,12,34.4
2004,v1,3,23,8.42,15,65.8
2004,v1,3,24,9.27,15,57.3
2004,v1,3,25,9.12,13,38.8
2004,v1,3,26,8.92,13,40.8
2004,v1,3,27,8.72,13,42.8
2004,v1,3,28,9.53,14,44.7
2004,v1,3,29,9.33,14,46.7
2004,v1,3,30,9.13,14,48.7
2004,v1,3,31,8.93,14,50.7
2004,v1,3,32,8.73,14,52.7
2004,v1,3,33,9.53,14,44.7
2004,v1,3,34,9.33,14,46.7
2004,v1,3,35,9.13,14,48.7
2004,v1,3,36,8.94,14,50.6
2004,v1,3,37,8.74,14,52.6
2004,v1,3,38,9.54,14,44.6
2004,v1,3,39,9.34,14,46.6
2004,v1,3,40,9.14,14,48.6
2004,v1,3,41,8.94,14,50.6
2004,v1,3,42,9.74,14,42.6
2004,v1,3,43,9.54,14,44.6
2004,v1,3,44,9.35,14,46.5
2004,v1,3,45,9.15,14,48.5
2004,v1,3,46,8.95,14,50.5
2004,v1,3,47,9.75,14,42.5
2004,v1,3,48,9.55,14,44.5
2004,v1,3,49,9.35,14,46.5
2004,v1,4,0,10.89,16,51.1
2004,v1,4,1,10.69,15,43.1
2004,v1,4,2,10.5,15,45.0
2004,v1,4,3,11.3,16,47.0
2004,v1,4,4,11.1,15,39.0
