domain,topo_version,n_profiles,shift_m_median,shift_cells_median,shift_m_p10,shift_m_p90,shift_m_min,shift_m_max,row0_cell_median,duneline_cell_median
1,v1,50,56.5,5.65,48.5,64.0,30.6,65.6,12.0,6.21
2,v1,50,54.3,5.43,32.1,78.9,20.5,88.6,14.0,8.79
3,v1,50,46.2,4.62,38.7,57.4,25.9,65.9,14.0,8.79
4,v1,50,37.9,3.79,17.9,47.3,10.9,60.2,15.0,10.88
5,v1,50,49.7,4.97,43.9,71.2,12.9,81.0,18.0,13.06
6,v1,50,48.8,4.88,42.3,57.4,29.9,68.0,11.0,6.16
7,v1,50,46.9,4.69,37.8,57.2,35.4,69.2,11.0,6.01
8,v1,50,34.9,3.49,26.8,43.6,22.9,47.3,5.0,1.41
9,v1,50,19.9,1.99,14.6,25.0,12.2,27.9,4.0,1.97
10,v1,50,42.5,4.25,29.8,54.9,25.2,61.5,7.0,2.75
11,v1,50,50.6,5.06,45.5,55.1,34.7,57.1,7.0,1.91
12,v1,50,55.7,5.57,45.1,63.9,41.1,67.9,8.0,2.43
13,v1,50,36.8,3.68,24.0,55.4,20.7,59.0,10.0,5.78
14,v1,50,24.7,2.47,10.0,34.0,3.8,37.2,9.0,6.53
15,v1,50,24.8,2.48,12.4,45.3,7.4,50.5,12.0,9.28
16,v1,50,-7.2,-0.72,-24.7,14.2,-31.1,18.7,11.0,11.63
17,v1,50,18.5,1.85,-8.0,27.7,-20.5,29.7,12.0,9.9
18,v1,50,18.8,1.88,13.8,25.8,11.0,34.2,11.0,9.12
19,v1,50,14.7,1.47,8.5,22.2,5.6,25.4,13.0,11.44
20,v1,50,11.0,1.1,6.0,16.9,4.2,25.1,13.0,11.57
21,v1,50,12.8,1.28,7.5,17.7,2.4,20.2,10.0,8.5
22,v1,50,14.0,1.4,4.8,19.3,-0.7,21.9,9.0,7.08
23,v1,50,43.5,4.35,10.6,48.8,8.5,50.9,8.5,4.77
24,v1,50,50.7,5.07,46.4,55.1,43.3,57.8,9.0,4.25
25,v1,50,49.5,4.95,43.8,55.1,22.8,58.0,9.0,3.81
26,v1,50,40.9,4.09,26.8,52.4,19.8,55.0,9.0,5.04
27,v1,50,26.6,2.66,19.7,63.9,11.6,66.5,12.0,8.69
28,v1,50,32.6,3.26,19.0,50.4,16.0,53.6,12.5,9.23
29,v1,50,59.9,5.99,50.7,68.2,43.6,72.9,13.0,7.51
30,v1,50,55.0,5.5,45.1,63.7,36.8,68.9,14.0,8.37
31,v1,50,82.3,8.23,71.9,90.2,58.2,95.2,19.0,10.98
32,v1,50,80.1,8.01,59.7,88.1,51.2,95.7,18.0,9.8
33,v1,50,71.6,7.16,61.3,89.0,20.4,96.2,18.5,11.12
34,v1,50,58.9,5.89,47.1,71.6,38.9,76.1,16.0,10.46
35,v1,50,70.5,7.05,57.5,87.6,53.3,104.0,16.0,8.24
36,v1,50,56.2,5.62,44.6,67.4,40.5,78.3,12.0,6.55
37,v1,50,46.2,4.62,39.3,51.2,30.7,55.2,11.0,6.09
38,v1,50,8.5,0.85,1.6,23.3,-3.1,31.2,11.0,9.61
39,v1,50,-0.3,-0.03,-6.6,4.7,-9.2,7.2,8.0,8.49
40,v1,50,1.8,0.18,-2.1,6.7,-10.5,9.3,9.0,8.7
41,v1,50,3.6,0.36,-3.1,8.2,-5.3,10.9,11.0,10.38
42,v1,50,-0.9,-0.09,-7.1,8.1,-8.7,10.4,10.0,9.86
43,v1,50,-1.3,-0.13,-7.5,4.9,-9.3,11.1,10.0,10.09
44,v1,50,-2.1,-0.21,-7.2,1.8,-9.4,4.5,9.0,8.97
45,v1,50,-3.8,-0.38,-7.6,1.4,-10.8,3.6,9.0,9.12
46,v1,50,1.5,0.15,-4.4,7.0,-7.2,10.8,8.5,8.38
47,v1,50,-1.5,-0.15,-6.4,3.0,-10.6,5.6,8.0,7.91
48,v1,50,19.2,1.92,0.8,38.6,-2.6,55.7,10.0,7.73
49,v1,50,-2.5,-0.25,-8.2,33.3,-10.0,40.7,11.0,10.94
50,v1,50,-4.3,-0.43,-24.8,8.8,-27.5,19.4,11.5,11.85
51,v1,50,-24.2,-2.42,-41.2,-2.2,-50.0,6.7,9.0,11.69
52,v1,50,-0.5,-0.05,-15.7,11.7,-53.4,14.3,13.0,13.18
53,v1,50,-48.2,-4.82,-57.3,-37.6,-64.4,-11.2,9.0,13.66
54,v1,50,-55.8,-5.58,-61.5,-45.3,-64.5,-33.7,8.0,13.5
55,v1,50,-28.6,-2.86,-52.7,6.6,-58.3,10.3,9.0,12.75
56,v1,50,8.7,0.87,3.3,16.2,1.3,20.3,9.0,8.66
57,v1,50,1.9,0.19,-4.9,10.0,-8.5,17.8,10.0,9.58
58,v1,50,3.1,0.31,-1.1,7.7,-3.4,9.5,9.0,9.17
59,v1,50,5.9,0.59,1.9,10.6,-2.4,16.8,10.0,9.67
60,v1,50,-3.2,-0.32,-9.6,4.5,-12.1,9.5,9.0,9.16
