time,Rhigh,Rlow,period,duration
1,0.20152223378837225,0.13408166164285934,11.828125,35
1,0.1810755597634476,0.134698620847794,11.3515625,21
1,0.2514659703494542,0.13462399244312437,11.6640625,37
1,0.17065726677665305,0.13531738337173854,10.5859375,24
1,0.1580337503697354,0.13463810538522583,12.828125,15
1,0.19719357888976202,0.13492157708379637,10.2109375,20
1,0.20643794369738205,0.13507129132887336,14.4453125,26
1,0.22805013942729824,0.13419007557059398,11.03125,31
1,0.21222169207114533,0.1341404201579785,11.2890625,39
2,0.211015146457764,0.13523668362424238,10.7578125,42
2,0.20661590299531526,0.13683451979135525,11.4765625,10
2,0.2065445448924625,0.13634777879592946,10.890625,12
2,0.18117390801964023,0.13470190136461313,11.7265625,9
2,0.17238783736191357,0.1380671409771148,7.8984375,10
2,0.2438746186432188,0.13518508813453187,10.3125,28
2,0.18887807297851328,0.1368448407992898,11.890625,20
2,0.16062537920138129,0.1345756137062341,9.6171875,21
2,0.16210150180686983,0.1380345032800193,9.109375,8
2,0.23424202714924808,0.13555259153141028,11.6328125,23
2,0.23204987960927706,0.13523254885088898,11.7578125,46
2,0.23981713168168434,0.1342323947963926,12.3671875,29
2,0.20681087429862863,0.13470295439643282,12.2890625,20
3,0.16869157713406796,0.13711251278273373,9.8515625,14
3,0.1678659778173785,0.13523540804877876,8.8984375,8
3,0.16437718378891844,0.13907836855109318,12.609375,18
3,0.23276540746379243,0.134411395584788,11.8984375,49
3,0.17389507661359657,0.13468281577704663,8.921875,12
3,0.23073771569460438,0.13496711211001244,11.5234375,46
3,0.17248470833624396,0.13623572037553072,14.4765625,22
3,0.22806974991553566,0.13519896788181648,10.765625,35
3,0.16108011493453947,0.13568968224139347,9.0703125,9
3,0.36292537524696944,0.13452834758367574,12.4609375,54
4,0.18659902080484056,0.1516233343242602,11.890625,10
4,0.20618163470873035,0.1422167482354431,11.0546875,30
4,0.2771460334980287,0.1368105319577979,13.140625,34
4,0.18652550613404567,0.13763694808716492,8.6875,9
4,0.3037173197599238,0.13403764453889377,12.2109375,40
4,0.18469172295812206,0.1362141566663667,11.2578125,10
4,0.17300503835589032,0.1349134912916182,7.9765625,15
5,0.1950003096163225,0.13453736030261995,11.6875,10
5,0.23889480560949514,0.13442210453125178,15.5859375,32
5,0.2331497171585204,0.136948240497138,11.8125,34
5,0.1687082199283822,0.134766275214733,11.3515625,15
5,0.16942601441788147,0.1344469868067232,12.9609375,20
5,0.24575573816977553,0.134644938476641,12.6953125,46
5,0.1724293235353882,0.13554749853161296,12.8828125,17
5,0.19954070934913753,0.1389138436305303,9.859375,26
5,0.17650088679258297,0.13588156404288992,16.3828125,22
5,0.2539817262319363,0.13571224676020158,10.84375,52
5,0.1769405545891079,0.13441696142881576,11.6328125,25
5,0.2173104993186381,0.13588754755863564,10.578125,33
5,0.16134178618641598,0.1369872137637828,10.5546875,8
6,0.1821607518811633,0.13406569695899825,14.234375,22
6,0.22823177632540342,0.13630110624897177,15.453125,26
6,0.17205355070460432,0.13627718146178885,11.3046875,13
6,0.22956526614872752,0.1362216567152111,14.390625,22
6,0.19237222666806914,0.14280996058438614,10.546875,19
6,0.2222058262671988,0.13512158826362847,10.3125,50
6,0.1891780713984254,0.1394597983275105,10.7578125,14
6,0.18092195422285448,0.13684133946116503,11.15625,14
6,0.2317318241284156,0.1369507033601743,10.1328125,30
6,0.18594145095205925,0.13410947399472223,17.03125,40
7,0.16927368488156963,0.13418943898409186,11.1640625,19
7,0.1785476790865214,0.134421064223555,8.453125,8
7,0.21215418145273462,0.13788175989572435,11.1796875,33
7,0.16220458160191703,0.13680406763800987,11.125,10
7,0.17313804004143524,0.13908653064780468,11.5625,11
7,0.15563269346997685,0.141377225856082,11.984375,8
7,0.20547760343652882,0.1340507248703021,10.1328125,41
7,0.1955083420130667,0.13447760025057157,11.7109375,60
7,0.20338392790658327,0.13411069110713775,9.90625,37
7,0.20612690731483752,0.1343482278539248,11.7265625,11
7,0.15408191769616497,0.13424821331473055,13.5234375,8
7,0.38320695314794795,0.13664315765567472,15.7421875,46
7,0.25662819053108704,0.13412897455067863,16.921875,69
7,0.17001262440739323,0.13618332011413875,10.75,14
7,0.14852412363055317,0.1344624591162459,8.1875,10
7,0.20925942443905354,0.13450777679204648,15.3125,28
7,0.21883036449118615,0.13413697096899696,13.0625,65
8,0.1643923043067405,0.13721880816631313,9.140625,8
8,0.16907753516080928,0.13406043200655393,10.90625,29
8,0.3799544121765513,0.1372546893792642,15.4453125,35
8,0.26433798577782835,0.1343360369568301,15.046875,47
8,0.18991607138646055,0.1352672435858575,11.0703125,10
8,0.15863620382771632,0.1354397653682466,13.2109375,8
8,0.25884825800816696,0.1343162085497654,12.125,70
8,0.18961854141568996,0.13602345851059344,10.890625,24
9,0.17359819392466944,0.1357796781114778,10.875,12
9,0.15588256349902396,0.13629878962801287,8.953125,10
9,0.18505206641920807,0.13518086444126967,13.203125,14
9,0.3644507984049597,0.14333423816087962,13.9921875,56
9,0.19359533234858617,0.13555684670333554,8.7734375,18
9,0.23932429542945105,0.13442422548658164,14.125,40
10,0.16467984236536762,0.13425393560345533,11.453125,16
10,0.20090593046312635,0.1341768696391498,13.2890625,29
10,0.1828821036264019,0.13502276277747338,9.734375,19
10,0.18495034958173892,0.13410306444786912,14.5234375,36
10,0.19332089150201254,0.13535155276968736,11.5546875,44
10,0.19228765300997752,0.14103755105380378,8.015625,20
10,0.1854868436753893,0.13686596931240208,9.890625,29
10,0.1769988291544339,0.13527297701714242,9.640625,19
11,0.1784928297288249,0.1347440873032478,11.2734375,18
11,0.17513888170988223,0.13895761199930687,9.9453125,13
11,0.16253191900195155,0.13871551646315777,8.2890625,11
11,0.22065678792416166,0.13869456300928557,10.703125,33
11,0.2046270133688241,0.13846669494002756,10.6171875,28
11,0.16958564880409419,0.13502124092636122,8.890625,10
11,0.18786953617304455,0.13617312369842863,10.28125,18
11,0.2034232840821502,0.1351175171455093,10.7578125,18
11,0.22067604721157547,0.13949005115195257,12.9921875,21
11,0.237987007141863,0.13429741062624304,14.2890625,34
11,0.1704006193422992,0.13492818037475723,14.2578125,16
11,0.18107521083934036,0.13763932368314974,10.90625,18
11,0.1513538369527679,0.1350553599549334,13.3125,11
11,0.23478233208794,0.13846048822493423,10.5234375,23
12,0.1491045405036744,0.13442264046301777,9.90625,10
12,0.19791885484625835,0.13471357348731527,11.828125,18
12,0.22204229882544846,0.13585760610319236,12.3125,59
12,0.1563097268241722,0.13866534515957132,8.046875,10
12,0.20126081188410372,0.13418450194154136,9.71875,28
12,0.16356602238818532,0.13829163816065235,8.3046875,12
12,0.19211291318427276,0.1349743395609259,11.71875,19
13,0.18838870599361468,0.13434198630505528,12.8515625,45
13,0.23875836597874164,0.13539278758672305,11.1875,33
13,0.2538362736436416,0.13578346484141388,11.3125,42
13,0.15105938650950662,0.13531351002733327,12.5234375,11
13,0.15293096073783338,0.13438096725449275,10.8125,12
13,0.23485144713027267,0.13645601061712767,13.0546875,56
13,0.16807627819475704,0.1343582654329487,6.96875,9
13,0.2640791892464938,0.13664852117614,11.1015625,47
13,0.1669180118341805,0.13574555452959852,12.0546875,13
13,0.14970733547891096,0.135692693682767,8.8203125,9
13,0.16616041914235963,0.13606293573109696,9.25,18
13,0.23945858377368956,0.136704685785568,10.921875,51
13,0.2012495100991635,0.13402170227925797,14.5390625,40
13,0.19906221409446662,0.1341251046365782,12.5703125,41
14,0.18760449784700506,0.1342880882462286,10.765625,18
14,0.19719113454500378,0.13403732623323522,10.5,31
14,0.17752384794808224,0.13658025709417476,13.8046875,16
14,0.15771655758803377,0.13724635202824373,10.5078125,8
14,0.17939278575115641,0.1350068385655554,9.328125,24
14,0.15214168486418062,0.1344496611640853,7.5,8
14,0.1647615150534824,0.134190035418634,8.171875,17
14,0.17485082274687502,0.13796185499420446,12.453125,24
14,0.1989351140316611,0.13609293690854796,12.9140625,16
14,0.1753503676932115,0.1340342888012161,9.1484375,14
14,0.18967485724526875,0.1343244669362254,9.609375,33
14,0.17013696780567486,0.13728390362635298,11.0078125,13
14,0.17368996422450206,0.13588334860588983,11.78125,11
15,0.24829323919643476,0.13490319258194225,10.8046875,15
15,0.16135266698417472,0.1352811313987381,9.96875,17
15,0.18833716947889836,0.14108109715768052,9.484375,14
15,0.20606108184674574,0.13430266200834123,10.71875,23
15,0.1689542399889453,0.1343853072426103,9.1953125,15
15,0.26711707838652876,0.1347666423851146,15.453125,60
15,0.17022383200950872,0.13577198682938726,10.453125,11
15,0.14881594540618165,0.13482865157008908,8.453125,10
15,0.20228558222400314,0.13549821787110866,18.203125,35
15,0.1819989831604428,0.1353612851069847,11.984375,20
15,0.22654154688006867,0.13558358710535062,10.015625,31
15,0.2048347982002491,0.14001135810745574,11.8984375,14
16,0.1597693020451883,0.13523915063170455,10.9921875,11
16,0.22076877662193728,0.13478048031835285,10.890625,23
16,0.17979152489710803,0.13560014860632985,9.9609375,15
16,0.15854020275867176,0.13663093087285388,9.890625,9
16,0.16258966289783755,0.14046189610382656,8.4140625,13
16,0.30223885119793936,0.13576426975285366,14.0703125,31
16,0.21979347906882976,0.13618282741633053,11.265625,53
16,0.1956636824422992,0.13509555756073327,12.4375,12
16,0.32764647142039005,0.13561241580704425,12.9921875,66
16,0.164272733513643,0.1344158777925538,10.6640625,9
17,0.17832043883762982,0.13480728879357667,11.5234375,23
17,0.20838751031059072,0.13556954169949118,9.953125,11
17,0.24363779368725277,0.13809862758135716,14.203125,37
17,0.17750145049501528,0.13497760092919728,10.703125,12
17,0.17306321847382627,0.13724524085135256,10.34375,9
17,0.21945083348268354,0.13400179954841204,11.2109375,36
17,0.20782826978247892,0.13622097615783996,13.3515625,34
17,0.18049477601546174,0.13415313539218313,14.0625,43
17,0.1931124259269721,0.1345981294223301,10.6171875,24
18,0.18276291215495655,0.1351017866511493,8.2890625,39
18,0.22615069218156097,0.13535757623015007,11.015625,29
18,0.2560293283296515,0.13612428519559736,16.0625,42
18,0.19076473368053132,0.1356157719529787,8.2265625,25
18,0.22271098298096814,0.13547214187938073,12.1875,61
18,0.2820878344918271,0.1345415052505304,10.9453125,72
19,0.24222302176838947,0.13642339640806694,11.25,31
19,0.19354457048034437,0.134914223416303,10.7421875,27
19,0.1948748933530362,0.13858093365406457,10.21875,16
19,0.20628958505539696,0.1376451767722978,11.734375,18
19,0.2502695941212959,0.1373750326135466,14.21875,62
19,0.28588064696834103,0.13454059526669915,15.703125,33
19,0.2134920469750441,0.134377379583776,9.8359375,29
19,0.2519874599021341,0.13469151287584075,10.7265625,37
19,0.16867916598801797,0.13422015770140913,8.1171875,12
19,0.2307022037699243,0.13514933913322108,10.140625,43
19,0.16722579325729225,0.13666110218477495,13.1015625,12
19,0.16768178439867162,0.13531433477186955,13.875,10
19,0.18964862714726288,0.15549574355998871,9.6796875,9
20,0.19892224424908705,0.13714184779711774,11.46875,36
20,0.21445589355491412,0.13487160083603272,10.359375,26
20,0.15610093474395934,0.13425828085616537,9.8203125,17
20,0.1825541396613318,0.143943600166963,8.765625,9
20,0.22630143253410046,0.13557555571491992,8.984375,61
20,0.21751146742343191,0.13448671592018138,10.296875,35
20,0.14768063135687667,0.13571631543151863,10.0703125,8
20,0.1865962759215723,0.13405238947192982,13.4453125,12
20,0.16568255797450945,0.13605458777010634,7.2578125,9
20,0.15897898280534864,0.13479429798349876,11.859375,16
20,0.3094385103371423,0.135189920008035,12.9140625,67
21,0.2171577091347602,0.14430878566389396,11.7109375,17
21,0.17240164408692826,0.1387919195162893,9.1015625,20
21,0.17934462220940914,0.1343765607335737,13.8515625,17
21,0.19995317001622218,0.13579790550134177,9.625,16
21,0.17656908004034477,0.1348618879322537,14.2890625,19
21,0.14967310142710205,0.13466726189238484,7.3359375,12
21,0.1645833914890769,0.1346848845288407,9.1953125,22
21,0.1865200463716143,0.1349752579842966,14.203125,42
21,0.2224067664232344,0.13435122560530868,11.1015625,30
21,0.2399470664658888,0.13441299136408844,11.734375,37
21,0.17323413652381042,0.1350686809534909,11.6015625,8
