gis,dune_start_m,dune_end_m,dune_change_m,dune_rate_m_yr,cs_lrr_m_yr,cs_endpoint_m_yr,cs_endpoint_change_m,n_obs_start,n_obs_end,n_transects,dune_minus_lrr_m_yr,dune_minus_endpoint_m_yr
1.000,8219.847,8184.865,34.981,2.483,6.896,3.512,49.470,4.000,37.000,9,-4.413,-1.029
2.000,8198.307,8142.126,56.181,3.988,4.050,2.136,30.092,7.000,38.000,11,-0.061,1.852
3.000,8048.138,8038.248,9.890,0.702,3.441,2.037,28.689,5.000,37.500,10,-2.739,-1.335
4.000,7941.886,7932.374,9.513,0.675,3.311,2.363,33.291,7.000,36.000,13,-2.635,-1.688
5.000,7775.912,7770.666,5.246,0.372,2.411,2.455,34.580,5.000,38.000,13,-2.038,-2.082
6.000,7526.581,7556.631,-30.050,-2.133,-1.130,-1.287,-18.128,6.000,36.000,6,-1.003,-0.846
7.000,7446.992,7485.816,-38.824,-2.756,-0.168,-0.330,-4.647,4.000,37.000,4,-2.588,-2.426
8.000,7378.997,7418.745,-39.748,-2.822,1.573,0.715,10.069,7.000,37.000,8,-4.395,-3.537
9.000,7328.071,7339.852,-11.781,-0.836,2.643,1.299,18.291,5.000,37.000,9,-3.479,-2.135
10.000,7302.726,7274.491,28.235,2.004,3.724,2.503,35.258,7.000,37.000,10,-1.720,-0.499
11.000,7219.752,7198.699,21.054,1.495,4.048,3.023,42.583,4.000,34.500,10,-2.553,-1.528
12.000,7139.809,7127.932,11.876,0.843,3.531,3.311,46.643,6.000,35.000,10,-2.688,-2.468
13.000,7049.038,7041.732,7.305,0.519,2.828,2.943,41.453,6.000,35.000,11,-2.310,-2.424
14.000,6942.984,6941.612,1.372,0.097,3.603,2.712,38.198,5.000,35.000,10,-3.506,-2.614
15.000,6856.002,6847.891,8.112,0.576,3.585,1.839,25.900,6.500,36.000,10,-3.009,-1.263
16.000,6759.596,6739.353,20.242,1.437,2.756,0.815,11.482,5.000,39.000,10,-1.319,0.622
17.000,6665.506,6657.171,8.335,0.592,2.981,0.427,6.012,7.000,37.000,10,-2.389,0.165
18.000,6569.881,6555.313,14.568,1.034,3.371,1.364,19.210,5.000,36.000,10,-2.337,-0.330
