transect_id,domain_number,mean_start_m,n_start,sd_start_m,first_obs_start,last_obs_start,mean_end_m,n_end,sd_end_m,first_obs_end,last_obs_end,change_m,endpoint_rate_m_yr
usa_NC_0032_0021,1,78.900,6,6.983,2008-12-04,2009-10-20,155.438,32,46.908,2023-01-21,2023-12-15,76.538,5.433
usa_NC_0032_0022,1,73.257,7,7.740,2008-12-04,2009-10-20,143.283,35,40.612,2023-01-21,2023-12-15,70.026,4.971
usa_NC_0032_0023,1,75.040,5,9.538,2008-12-04,2009-08-17,133.369,35,34.803,2023-01-21,2023-12-15,58.329,4.141
usa_NC_0032_0024,1,91.025,4,13.929,2009-03-18,2009-08-17,134.688,34,29.014,2023-01-21,2023-12-15,43.663,3.100
usa_NC_0032_0025,1,69.433,3,13.705,2009-03-18,2009-08-09,108.192,37,24.379,2023-01-21,2023-12-15,38.759,2.752
usa_NC_0032_0026,1,69.675,4,12.701,2009-03-18,2009-11-05,110.182,38,19.711,2023-01-21,2023-12-15,40.507,2.876
usa_NC_0032_0027,1,58.800,4,10.378,2009-03-18,2009-11-05,97.019,37,19.145,2023-01-21,2023-12-15,38.219,2.713
usa_NC_0032_0028,1,53.925,4,7.325,2009-03-18,2009-11-05,92.495,39,19.372,2023-01-21,2023-12-15,38.570,2.738
usa_NC_0032_0029,1,55.360,5,10.026,2009-02-06,2009-11-05,95.979,39,15.870,2023-01-21,2023-12-15,40.619,2.884
usa_NC_0032_0030,2,82.720,5,8.189,2009-02-06,2009-11-05,117.982,39,14.699,2023-01-21,2023-12-15,35.262,2.503
usa_NC_0032_0031,2,88.883,6,9.652,2009-02-06,2009-11-05,113.618,38,12.640,2023-01-21,2023-12-15,24.735,1.756
usa_NC_0032_0032,2,93.617,6,7.883,2009-02-06,2009-11-05,118.405,38,11.534,2023-01-21,2023-12-15,24.789,1.760
usa_NC_0032_0033,2,72.571,7,8.283,2008-12-04,2009-11-05,99.013,38,12.770,2023-01-21,2023-12-15,26.442,1.877
usa_NC_0032_0034,2,88.500,8,8.011,2008-12-04,2009-11-05,115.629,38,12.362,2023-01-21,2023-12-15,27.129,1.926
usa_NC_0032_0035,2,73.787,8,10.002,2008-12-04,2009-11-05,104.697,38,11.564,2023-01-21,2023-12-15,30.910,2.194
usa_NC_0032_0036,2,58.237,8,9.904,2008-12-04,2009-11-05,91.134,38,9.807,2023-01-21,2023-12-15,32.897,2.335
usa_NC_0032_0037,2,53.000,7,11.022,2008-12-04,2009-10-20,85.550,38,11.822,2023-01-21,2023-12-15,32.550,2.311
usa_NC_0032_0038,2,45.929,7,10.733,2008-12-04,2009-10-20,80.008,37,12.292,2023-01-21,2023-12-15,34.080,2.419
usa_NC_0032_0039,2,51.350,6,11.295,2008-12-04,2009-10-20,84.426,38,11.648,2023-01-21,2023-12-15,33.076,2.348
usa_NC_0032_0040,2,54.400,7,9.290,2008-12-04,2009-10-20,83.539,38,10.924,2023-01-21,2023-12-15,29.139,2.069
