bin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1996–2000,-10.545344444444446,-12.841036363636364,-6.044169999999999,3.6961769230769232,8.267553846153847,0.14295000000000005,-2.75435,-1.99055,-1.6274555555555557,-3.9992899999999993,-5.06398,-4.85997,-4.447636363636364,-5.75909,-2.15186,2.17739,3.07427,1.36014,3.7626900000000005,0.9019299999999999,2.715890909090909,-0.9144100000000002,0.04085000000000001,1.3034400000000002,1.1228099999999999,0.76374,2.7453100000000004,5.380000000000001,4.37765,2.59178,-1.8126272727272728,-1.28991,-5.2327,-9.62286,-7.947445454545454,-3.76158,2.5170727272727276,1.47526,1.05345,-1.95627,-6.06804,1.0558200000000002,3.7052,4.016209999999999,1.5345499999999999,0.12186,-2.14267,-0.50152,1.51759,-2.0172,-3.3733200000000005,-4.34726,-4.107150000000001,-2.2506,-1.2992199999999998,1.4634363636363636,-2.37792,-0.07191000000000003,4.93877,4.97462,2.6200400000000004,1.49634,-0.40122,-2.8362,-2.9400900000000005,-4.434918181818182,-3.37329,-1.87682,0.6581300000000002,1.22238,4.941879999999999,7.46571,4.71902,3.29911,-0.30686,-8.08896,-10.823339999999998,-11.79937,-8.48005,-3.5926199999999993,-4.40174,-1.27493,-2.91385,-6.782890909090908,-2.9985083333333336,-4.421225,-4.3738909090909095,-3.2577999999999996,-0.2817777777777778,3.34281
2001–2005,5.763577777777778,1.575390909090909,-1.9637799999999994,-1.8457307692307692,5.5403692307692305,-3.652316666666666,-6.385825,-1.805225,-1.2321,1.14197,-1.04527,1.6840499999999998,1.2076727272727272,-3.3983499999999998,-3.8414500000000005,-1.95518,-5.156949999999999,0.4873000000000001,3.75139,-0.2470399999999998,-4.932172727272728,-2.6379799999999998,-0.8303799999999999,-2.45057,-4.09796,-4.51408,6.3507,4.049799999999999,1.5154799999999997,1.1989899999999998,3.004736363636363,-2.2192200000000004,-0.672781818181818,3.9049099999999997,1.0493545454545454,-3.9621000000000004,-5.166081818181818,-1.7115299999999998,0.57365,-4.06716,0.26815,1.3111199999999998,-1.6948600000000003,-1.4314300000000002,-0.78856,-2.39772,0.04359999999999997,0.90303,1.22721,1.7655299999999996,0.82325,0.59487,-0.5206099999999999,0.61026,0.95089,2.1545090909090905,-1.19345,0.32755,-1.8575,-1.37201,-2.93944,-0.55075,-1.89161,-0.22485999999999998,0.08078999999999999,0.37486363636363634,-0.34164,1.6921100000000002,5.1793700000000005,5.194599999999999,-1.0995700000000002,-3.4419199999999996,-3.8935100000000005,3.1447399999999996,4.20252,-0.5916600000000001,-1.97005,0.3241400000000002,-3.7779,-6.16361,-9.45298,-4.87317,-1.9128199999999995,0.2913,-6.160333333333334,-5.404766666666667,-6.880545454545455,-4.50702,-0.7876333333333333,0.10575999999999999
2006–2010,3.822611111111111,1.6915727272727274,1.59653,-0.49981538461538466,-2.223507692307692,-2.2563833333333334,-1.9240250000000003,-1.353075,-4.125155555555555,-6.08587,-4.20004,-1.0904699999999998,3.8361090909090905,4.779269999999999,-1.72105,0.5502800000000001,5.29872,-0.5466900000000001,-3.46021,-2.3933,-1.1756545454545455,-0.14643,-1.71937,-6.3524,-8.893270000000001,-6.2872900000000005,4.23109,4.95666,-1.67058,2.0543299999999998,2.8354818181818184,0.7577,-1.9725636363636363,-1.8775099999999998,-4.331045454545455,-1.0527799999999998,1.6653272727272723,-0.19548999999999994,-2.69255,-0.28719,-0.23727999999999994,2.48293,-1.48569,-3.58552,-4.44697,1.5145199999999999,-2.2159,-0.78589,-1.51411,-1.4633100000000003,-2.32879,-0.5439499999999999,-0.6586699999999999,-0.22566000000000003,-0.06724000000000002,-1.8284545454545458,-0.9895099999999999,0.10652000000000002,1.96279,-1.9055700000000002,-3.31404,-0.40179,-5.71828,-5.06036,-2.8219000000000003,-3.1192636363636366,-2.08288,-1.6576999999999997,-1.6050799999999998,-1.5480199999999997,1.79361,-0.007930000000000026,1.3399299999999998,1.71401,-6.27286,-7.86895,-2.0379899999999997,1.1597,-4.39845,-10.422859999999998,-3.5498,-2.2023,-8.46189,-6.148927272727272,-1.9266333333333334,-1.2177583333333335,1.2529727272727271,3.1574,-0.24980000000000002,-1.3449800000000003
2011–2015,-4.080166666666667,1.694690909090909,3.00186,0.15931538461538464,-1.2278307692307693,-0.3589,-2.59115,-3.08875,-0.5026333333333333,-0.5746899999999999,0.24799,1.4495299999999998,0.005400000000000011,-1.02096,0.77977,-2.9121,-0.9139800000000001,2.8549800000000003,6.65895,6.3003599999999995,4.44480909090909,-0.64968,-5.7157,-3.11034,-0.88749,-2.1401700000000003,-3.82209,-4.85699,-1.35318,8.09381,6.040518181818181,-3.64116,1.4821727272727272,8.31927,9.559663636363636,3.6885,-1.5307636363636363,-0.4271700000000001,1.64161,0.2671799999999999,-0.54172,0.07112000000000003,1.252,-0.012490000000000001,-0.88507,1.10113,1.15478,2.48125,0.6686799999999999,-2.8233699999999997,-5.2311,-3.9765,-2.7911799999999998,-1.94887,-0.57867,-0.2842727272727273,1.12567,1.61784,1.6085700000000003,1.53323,-3.16396,-2.62586,0.21023,2.4569300000000003,2.3861999999999997,3.8610545454545457,6.110929999999999,-0.03702999999999999,-0.9091099999999999,1.6045500000000001,1.13318,5.113580000000001,6.13597,-0.20098000000000002,-4.731990000000001,-5.827580000000001,6.692009999999999,4.7278,-2.45024,3.58981,3.6853000000000002,1.16866,4.13829,7.4157909090909095,5.4517500000000005,2.1681583333333334,2.926827272727273,1.26171,2.2121777777777774,5.34372
2016–2020,2.4250666666666665,1.2702727272727274,5.250749999999999,6.788238461538461,10.604446153846153,-1.2113333333333334,1.6685249999999998,1.171975,3.6178111111111115,3.0278600000000004,6.960499999999999,7.55068,7.862209090909089,8.36164,3.45321,1.94667,2.2165399999999997,-2.1547400000000003,-1.09614,-0.20116000000000006,-0.5559272727272728,-1.20206,-1.8806099999999997,-2.5123,-4.213280000000001,-2.6716499999999996,3.53046,-1.72225,-0.6813800000000001,0.9210699999999999,1.7923545454545455,2.16648,0.7087,1.4735900000000002,3.7706181818181816,5.43325,2.2913454545454544,0.09955000000000003,-1.75726,-1.4186299999999998,-2.44474,-1.8440100000000001,0.70747,1.2817599999999998,-0.18886,-1.9967400000000002,-1.0775700000000001,-3.50661,-4.07038,-4.08758,-0.5309200000000001,0.8905399999999999,-0.56805,-3.5569699999999997,-4.990220000000001,-1.1804727272727271,-2.6149999999999998,-0.7571,1.93329,1.01077,0.10531000000000001,-1.4129200000000002,0.48034999999999994,1.8857000000000004,0.79717,2.3511272727272727,0.90489,3.1679500000000003,1.03836,2.17653,2.7921500000000004,1.88266,-0.09192000000000002,-1.67214,-3.3129800000000005,-2.9873499999999997,-9.74622,-7.333869999999999,-4.6635,-1.8561899999999998,-0.19537000000000004,-2.66572,-3.7655300000000005,-3.1779545454545453,-2.1740749999999998,-0.48291666666666666,-1.8482909090909094,0.34954,-0.8492555555555555,-2.4457400000000002
2021–2024,35.913850000000004,16.004327272727277,5.63834,2.5547153846153843,-3.0499461538461534,-4.47185,-1.181525,-2.121925,-5.9397777777777785,-6.19205,-3.5851299999999995,-3.4547799999999995,1.452390909090909,9.74901,12.62902,12.058209999999999,7.51083,4.406439999999999,3.84617,-0.0029200000000000337,-1.9169636363636362,-2.3758999999999997,-0.9066299999999998,3.50391,3.49227,3.1882900000000007,1.4112599999999997,0.48593000000000003,-0.12979999999999997,-0.6245,1.8296454545454546,-3.45306,-10.259027272727273,-9.18069,-2.0594727272727273,-0.27879999999999994,1.543363636363636,-4.24877,-4.950259999999999,4.08284,-2.49399,-1.37344,0.6215399999999999,-1.91952,-5.844759999999999,-4.1030999999999995,-3.91235,-0.8041,-2.0246900000000005,-0.44831000000000004,-0.7942400000000001,-3.9505900000000005,-3.0976,-0.86616,-2.1064100000000003,-5.662072727272727,-3.4027700000000003,-4.79302,-7.528789999999998,-4.5842,-0.42153,1.44052,2.13793,-2.4999499999999997,-1.42244,1.3122454545454545,4.460179999999999,3.21568,1.77595,-1.08818,-4.91172,-8.671719999999999,-4.946670000000001,-1.69482,-2.8382699999999996,-7.0465599999999995,-4.10898,-4.01111,2.6963100000000004,-8.68554,-8.37846,-8.044430000000002,-4.703829999999999,-1.1787545454545454,1.8604666666666667,-0.22008333333333321,4.1665,3.2055299999999995,4.002955555555555,4.439850000000001
