domain_number,lrr_interval_yr,dune_interval_yr,n_coastsat_transects,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,n_dune_transects,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m
1,28.0,25.717,9,2.843,79.613,73.121,5,14.522,0.565,65.091,58.599
2,28.0,25.717,11,2.527,70.758,64.987,5,-36.86,-1.433,107.618,101.847
3,28.0,25.717,10,2.464,68.983,63.357,5,-13.153,-0.511,82.136,76.51
4,28.0,25.717,13,1.919,53.742,49.359,5,7.132,0.277,46.61,42.227
5,28.0,25.717,13,0.821,22.977,21.103,5,10.11,0.393,12.867,10.993
6,28.0,25.717,6,-1.388,-38.868,-35.698,5,-36.613,-1.424,-2.255,0.915
7,28.0,25.717,4,-1.314,-36.787,-33.787,5,-65.874,-2.562,29.087,32.087
8,28.0,25.717,8,-0.324,-9.06,-8.321,5,-51.757,-2.013,42.697,43.436
9,28.0,25.717,9,0.137,3.84,3.527,5,-37.421,-1.455,41.261,40.948
10,28.0,25.717,10,0.714,20.0,18.369,5,-40.522,-1.576,60.522,58.891
11,28.0,25.717,10,0.792,22.163,20.355,5,-43.223,-1.681,65.386,63.578
12,28.0,25.717,10,0.617,17.275,15.866,5,-46.537,-1.81,63.812,62.403
13,28.0,25.717,11,0.564,15.792,14.504,5,-41.629,-1.619,57.421,56.133
14,28.0,25.717,10,1.057,29.594,27.18,5,-12.647,-0.492,42.241,39.827
15,28.0,25.717,10,1.252,35.065,32.205,5,3.13,0.122,31.935,29.075
16,28.0,25.717,10,1.033,28.935,26.575,5,13.163,0.512,15.772,13.412
17,28.0,25.717,10,1.308,36.612,33.626,5,9.712,0.378,26.9,23.914
18,28.0,25.717,10,1.678,46.979,43.148,5,12.967,0.504,34.012,30.181
19,28.0,25.717,10,1.833,51.337,47.15,5,26.865,1.045,24.472,20.285
20,28.0,25.717,10,1.197,33.522,30.788,5,22.278,0.866,11.244,8.51
21,28.0,25.717,11,-0.043,-1.205,-1.107,5,1.634,0.064,-2.839,-2.741
22,28.0,25.717,10,-0.843,-23.595,-21.671,5,-35.339,-1.374,11.744,13.668
23,28.0,25.717,10,-1.863,-52.169,-47.914,5,-65.696,-2.555,13.527,17.782
24,28.0,25.717,10,-2.273,-63.636,-58.446,5,-73.337,-2.852,9.701,14.891
25,28.0,25.717,10,-2.477,-69.354,-63.698,5,-66.919,-2.602,-2.435,3.221
26,28.0,25.717,10,-1.547,-43.309,-39.777,5,-40.78,-1.586,-2.529,1.003
27,28.0,25.717,10,0.007,0.19,0.175,5,-5.956,-0.232,6.146,6.131
28,28.0,25.717,10,1.902,53.264,48.92,5,29.791,1.158,23.473,19.129
29,28.0,25.717,10,2.921,81.792,75.122,5,39.549,1.538,42.243,35.573
30,28.0,25.717,10,3.173,88.847,81.601,5,48.508,1.886,40.339,33.093
31,28.0,25.717,11,2.595,72.655,66.73,5,54.589,2.123,18.066,12.141
32,28.0,25.717,10,1.48,41.449,38.069,5,54.16,2.106,-12.711,-16.091
33,28.0,25.717,11,1.353,37.897,34.807,5,43.007,1.672,-5.11,-8.2
34,28.0,25.717,10,1.816,50.84,46.694,5,16.713,0.65,34.127,29.981
35,28.0,25.717,11,0.6,16.796,15.426,5,-39.526,-1.537,56.322,54.952
36,28.0,25.717,10,0.006,0.166,0.152,5,-19.359,-0.753,19.525,19.511
37,28.0,25.717,11,-0.121,-3.377,-3.102,5,-22.721,-0.884,19.344,19.619
38,28.0,25.717,10,0.129,3.606,3.312,5,-17.471,-0.679,21.077,20.783
39,28.0,25.717,10,0.205,5.735,5.267,5,-14.649,-0.57,20.384,19.916
40,28.0,25.717,10,0.334,9.355,8.592,5,-26.896,-1.046,36.251,35.488
41,28.0,25.717,10,0.611,17.108,15.713,5,-11.779,-0.458,28.887,27.492
42,28.0,25.717,10,0.393,10.993,10.097,5,-5.008,-0.195,16.001,15.105
43,28.0,25.717,10,0.19,5.321,4.887,5,-3.602,-0.14,8.923,8.489
44,28.0,25.717,10,0.061,1.707,1.568,5,-3.203,-0.125,4.91,4.771
45,28.0,25.717,10,-0.504,-14.106,-12.956,5,-4.505,-0.175,-9.601,-8.451
46,28.0,25.717,10,-1.094,-30.62,-28.123,5,-10.683,-0.415,-19.937,-17.44
47,28.0,25.717,10,-1.028,-28.789,-26.442,5,-24.957,-0.97,-3.832,-1.485
48,28.0,25.717,10,-0.401,-11.224,-10.308,5,-17.797,-0.692,6.573,7.489
49,28.0,25.717,10,-0.293,-8.194,-7.526,5,-6.797,-0.264,-1.397,-0.729
50,28.0,25.717,10,-0.591,-16.558,-15.208,5,-19.884,-0.773,3.326,4.676
51,28.0,25.717,10,-0.663,-18.564,-17.05,5,-30.351,-1.18,11.787,13.301
52,28.0,25.717,10,-0.896,-25.088,-23.042,5,-38.706,-1.505,13.618,15.664
53,28.0,25.717,10,-0.987,-27.628,-25.375,5,-38.237,-1.487,10.609,12.862
54,28.0,25.717,10,-0.853,-23.88,-21.932,5,-24.811,-0.965,0.931,2.879
55,28.0,25.717,10,-0.449,-12.569,-11.544,5,-34.057,-1.324,21.488,22.513
56,28.0,25.717,11,-0.205,-5.75,-5.281,5,-9.01,-0.35,3.26,3.729
57,28.0,25.717,10,-0.004,-0.12,-0.11,5,1.546,0.06,-1.666,-1.656
58,28.0,25.717,10,0.314,8.791,8.074,5,-9.718,-0.378,18.509,17.792
59,28.0,25.717,10,0.247,6.917,6.353,5,-5.469,-0.213,12.386,11.822
60,28.0,25.717,10,-0.562,-15.723,-14.441,5,-5.285,-0.206,-10.438,-9.156
61,28.0,25.717,10,-1.299,-36.364,-33.398,5,-4.503,-0.175,-31.861,-28.895
62,28.0,25.717,10,-1.546,-43.275,-39.746,5,-13.112,-0.51,-30.163,-26.634
63,28.0,25.717,10,-0.816,-22.856,-20.992,5,-29.226,-1.136,6.37,8.234
64,28.0,25.717,10,-0.161,-4.498,-4.131,5,-10.688,-0.416,6.19,6.557
65,28.0,25.717,10,0.478,13.376,12.285,5,2.58,0.1,10.796,9.705
66,28.0,25.717,11,2.142,59.972,55.081,5,16.435,0.639,43.537,38.646
67,28.0,25.717,10,2.771,77.59,71.262,5,24.45,0.951,53.14,46.812
68,28.0,25.717,10,2.263,63.363,58.196,5,27.165,1.056,36.198,31.031
69,28.0,25.717,10,1.529,42.816,39.325,5,24.315,0.945,18.501,15.01
70,28.0,25.717,10,0.842,23.581,21.658,5,12.19,0.474,11.391,9.468
71,28.0,25.717,10,0.687,19.247,17.678,5,2.578,0.1,16.669,15.1
72,28.0,25.717,10,1.018,28.512,26.186,5,17.783,0.691,10.729,8.403
73,28.0,25.717,10,1.056,29.577,27.165,5,36.96,1.437,-7.383,-9.795
74,28.0,25.717,10,0.39,10.914,10.024,5,25.999,1.011,-15.085,-15.975
75,28.0,25.717,10,-0.937,-26.24,-24.101,5,-2.65,-0.103,-23.59,-21.451
76,28.0,25.717,10,-1.954,-54.725,-50.262,5,-43.965,-1.71,-10.76,-6.297
77,28.0,25.717,10,-1.734,-48.54,-44.582,5,-79.613,-3.096,31.073,35.031
78,28.0,25.717,10,-1.936,-54.204,-49.783,5,-90.43,-3.516,36.226,40.647
79,28.0,25.717,10,-1.62,-45.363,-41.663,5,-39.467,-1.535,-5.896,-2.196
80,28.0,25.717,10,-2.516,-70.451,-64.706,5,-45.377,-1.765,-25.074,-19.329
81,28.0,25.717,10,-1.883,-52.717,-48.418,5,-59.145,-2.3,6.428,10.727
82,28.0,25.717,10,-1.489,-41.697,-38.297,5,-48.591,-1.889,6.894,10.294
83,28.0,25.717,10,-2.126,-59.525,-54.671,5,-70.302,-2.734,10.777,15.631
84,28.0,25.717,11,-1.587,-44.436,-40.812,5,-79.329,-3.085,34.893,38.517
85,28.0,25.717,12,-1.038,-29.078,-26.706,5,-48.922,-1.902,19.844,22.216
86,28.0,25.717,12,-0.544,-15.222,-13.981,5,-44.43,-1.728,29.208,30.449
87,28.0,25.717,11,0.032,0.889,0.817,5,-42.403,-1.649,43.292,43.22
88,28.0,25.717,10,1.004,28.114,25.822,5,-19.536,-0.76,47.65,45.358
89,28.0,25.717,9,1.182,33.103,30.404,5,-4.577,-0.178,37.68,34.981
90,28.0,25.717,10,1.194,33.439,30.712,5,2.857,0.111,30.582,27.855
