domain,casc_p1,casc_p2
1,-4.7350955081221136,3.4001611639100577
2,-4.8296989285711005,3.053848728194529
3,-4.620154264834975,2.598469177483716
4,-4.2572149744725065,2.103920631340188
5,-3.834246153280185,1.6168435166395716
6,-3.649104587109764,1.387685837203851
7,-3.099162069982087,1.2622051831041163
8,-2.5769913799768043,1.2166526333470842
9,-2.1665400760001727,1.2401512708799791
10,-1.839433648318066,1.3215846201061014
11,-1.5652998430811196,1.4147816267153095
12,-1.2842754436649817,1.5052597152664675
13,-1.0249471135318886,1.5795596068162865
14,-0.7719352691259802,1.6010176202091304
15,-0.5291938213868047,1.5696576059403
16,-0.3312687235251719,1.4180399996476407
17,-0.2238624781731849,1.2699068186076303
18,-0.1055873579849443,1.125697303273215
19,0.02753690198544,0.9893167617425652
20,0.1333063167984284,0.841185836338653
21,0.2021245920217964,0.7778069614778239
22,0.2583212296330694,0.6253507933425656
23,0.3177757003207556,0.5217424710431314
24,0.3863620794139853,0.4730157334041829
25,0.5104752028510082,0.5197331187440404
26,0.6613107089121173,0.6374694573794438
27,0.8362059333175181,0.7899849179689427
28,0.968084038363444,0.9149370563946873
29,1.060206554571254,0.963548322526572
30,1.1000431153087875,1.0913590355272524
31,1.0325075109244084,1.2504419885718618
32,0.8710454812972269,1.321274194806367
33,0.6119105626370499,1.3334156965740052
34,0.2922588228182852,1.2454207665642942
35,-0.0243268821796796,1.1164092620284791
36,-0.3302342854730141,0.9574252004658674
37,-0.5861130165097683,0.8017742940356204
38,-0.7542897448664797,0.688787485540235
39,-0.8533210349487278,0.5764567772273498
40,-0.8876600123115088,0.4675319196248335
41,-0.8815191163549916,0.3528204158679015
42,-0.8641272102637549,0.2235824967607567
43,-0.8530194495019178,0.0790697950609981
44,-0.8683165627390207,-0.074827760725833
45,-0.882594729140739,-0.2152920575427673
46,-0.9152589422297996,-0.3637275133964407
47,-0.9674623586791689,-0.5071692873145119
48,-1.0210097796732065,-0.622271918530278
49,-1.0753264846893855,-0.6967030191807704
50,-1.116942100567893,-0.7348397358696843
51,-1.1173017230916409,-0.740674615293491
52,-1.074870887807619,-0.7200301469031035
53,-0.9884388123380888,-0.6699230608152925
54,-0.8949482044051301,-0.6093320762428901
55,-0.7531366133479276,-0.5329317232094926
56,-0.5981792136466202,-0.4526098028575211
57,-0.4760898705798643,-0.3122889196575587
58,-0.3661882493556699,-0.1594441071882543
59,-0.2541432161403338,0.0005995311793378
60,-0.1808515835164609,0.1718962945208788
61,-0.100333022296083,0.3642555714351357
62,-0.0393732035349573,0.5436851253949198
63,0.0316758717853439,0.7417488477013232
64,0.1040531046251408,0.92079693693247
65,0.1462205814947707,1.0559722133922964
66,0.1661313238099239,1.107000238554254
67,0.1278032743892249,1.062372547899765
68,0.0342388837676121,0.9639187858201724
69,-0.0795143215177018,0.8003809406747082
70,-0.2107056628716681,0.622485062380156
71,-0.4038889978801066,0.4101697115541391
72,-0.6609487457787463,0.1848583350389106
73,-0.9744762405684356,-0.0727278537039217
74,-1.3464443348780748,-0.3633017030389405
75,-1.768441650590865,-0.6985143717949817
76,-2.254805767834168,-1.0164658161583489
77,-2.7574577631114243,-1.2923637271704118
78,-3.256012128698073,-1.506420129357698
79,-3.639979526189812,-1.6108180348673542
80,-3.899895736998079,-1.606883687750672
81,-4.028809468337746,-1.4778775660340504
82,-4.020012229205821,-1.2449268392184432
83,-3.8721414972653783,-0.915462797952741
84,-3.632135759007441,-0.4641186429801352
85,-3.247554709816591,0.0542792836434764
86,-2.749199244605082,0.5866178880027844
87,-2.201387574985504,1.100678029633475
88,-1.6746913041072753,1.541079731007582
89,-1.212458589637547,1.8433613888226068
90,-0.9177181998507536,1.886171318914072
