domain,model_total_change_m
0,5.08428860826325
1,4.984463240377181
2,5.04742043286501
3,5.034195761281126
4,5.401746234007533
5,5.160355811175577
6,4.9311093767828424
7,4.974329187499734
8,4.807282080869754
9,4.02143662628896
10,3.1489823877604977
11,1.4365209111165314
12,-2.6344454334944203
13,-8.187023777938975
14,-17.201806535306332
15,-29.98767859323243
16,-14.231053449012506
17,-6.128428491553223
18,-2.8706624219657897
19,2.5601992015549513
20,13.557196593211302
21,10.516541269397294
22,5.065964091210844
23,4.1508475871391965
24,4.087777609516706
25,6.775704611304718
26,6.26984310799935
27,5.288235981663547
28,3.3306864935320846
29,3.812013026188197
30,4.655493863320771
31,5.500624714611604
32,4.427313993106964
33,2.615937209761796
34,1.1817410368607852
35,3.532479471928582
36,5.385854634979751
37,6.566201398290104
38,9.06554375011433
39,9.344399916977409
40,6.475499099082981
41,2.510520684492576
42,2.937297213878537
43,2.7194391319376336
44,2.2478680819206147
45,2.524605512438484
46,2.187420566611536
47,4.0382665123497645
48,5.289927756214411
49,9.339269610921292
50,11.014865088423903
51,13.985472371236028
52,14.064787444863896
53,12.069303456925127
54,8.922354899624224
55,7.941831146790719
56,5.004935326794794
57,3.6112284044602347
58,4.733203416609285
59,4.907059838253645
60,5.487857297584696
61,5.218535798980838
62,4.333672704715809
63,4.500828459469176
64,4.233601724659138
65,3.7687241221158274
66,3.6611421333477665
67,2.061215928426236
68,3.2256173003538606
69,2.7712689705040248
70,0.47607489485062615
71,2.6431123769252736
72,3.6073488395397817
73,1.9632004700192738
74,4.322114279563493
75,4.000539254151818
76,5.855133293363679
77,4.87756472983483
78,3.7887981675776246
79,2.3243861518405993
80,1.2956840252998063
81,2.5315928512127357
82,6.644265611251285
83,9.558131532507105
84,9.510617452541283
85,9.747502702929978
86,8.99982873724798
87,10.173508816025787
88,11.687671233215042
89,11.42021588811076
90,10.250353365313686
91,10.586916398644917
92,13.400546060159286
93,14.924515554107984
94,12.123371383767562
95,9.740813007494125
96,8.740423837069557
97,6.6304374630735765
98,6.981871106759854
99,9.186920939806896
100,10.265829081357879
101,7.510739037860276
102,6.61992493824755
103,9.235238511085981
104,13.892695705369533
105,10.909999239618628
106,8.214669519421705
107,7.180092080506483
108,5.743802377874545
109,5.886765089461278
110,5.088352680324533
111,5.383738535822886
112,4.91234808818831
113,4.616861578751923
114,5.263257279391382
115,5.391643987429916
116,4.862557529417245
117,4.693063322904436
118,5.1176712338838115
119,4.834993168000892
