arm,gis,drowned_v2,relocation_blocked_v2,relocations_v2,dunes_rebuilt_v2,overwash_removed_m3_v2,drowned_v3,relocation_blocked_v3,relocations_v3,dunes_rebuilt_v3,overwash_removed_m3_v3,relocations_change,overwash_removed_change_m3
free,9,False,False,0,2,3844.9133830707137,False,False,1,2,7624.472087279551,1,3779.558704208837
free,10,False,False,1,2,9369.0517967958,False,False,1,2,9369.0517967958,0,0.0
free,11,False,False,1,1,3485.023572510486,False,False,1,1,2092.5331307461474,0,-1392.4904417643384
free,12,False,False,0,2,9451.937410705548,False,False,0,2,5492.850526942812,0,-3959.086883762736
free,13,False,False,0,1,13258.64216105012,False,False,0,1,8021.126193966527,0,-5237.515967083593
free,14,False,False,0,2,5974.900249294377,False,False,0,2,5974.900249294377,0,0.0
free,15,False,False,0,1,4437.429970797777,False,False,0,1,12052.78495494502,0,7615.354984147243
free,16,False,False,0,1,6366.796105905936,False,False,0,1,7728.439451515091,0,1361.6433456091545
free,17,False,False,0,1,6720.9282241931205,False,False,0,1,6720.9282241931205,0,0.0
free,18,False,False,0,2,3084.47672400313,False,False,0,2,3084.47672400313,0,0.0
free,19,False,False,0,2,2286.036667411008,False,False,0,2,2215.71751099156,0,-70.31915641944761
free,20,False,False,0,1,5461.3790717954,False,False,0,1,8796.583351807356,0,3335.204280011956
free,32,False,False,0,2,1046.0442759026214,False,False,0,2,1618.725890692234,0,572.6816147896127
free,33,False,False,0,2,1525.3009899725537,False,False,0,2,3014.6626079268453,0,1489.3616179542917
free,34,False,False,0,1,1710.4981151727854,False,False,0,1,2498.865100455709,0,788.3669852829237
free,35,False,False,0,1,1520.2653753598886,False,False,0,2,1545.0316987008375,0,24.76632334094893
free,36,False,False,0,1,1681.9798880577143,False,False,0,1,1734.6358352661189,0,52.65594720840454
free,37,False,False,0,2,1678.2716416119767,False,False,0,1,3897.1766204176142,0,2218.9049788056373
free,38,False,False,0,2,2175.7396353288545,False,False,0,2,3869.529480200592,0,1693.7898448717374
free,39,False,False,0,0,3346.1212703704896,False,False,0,0,4049.6145987510745,0,703.4933283805849
free,40,False,False,0,1,3907.37275066913,False,False,0,1,6109.6467319056765,0,2202.2739812365467
free,41,False,False,0,1,4936.657120237766,False,False,0,1,5458.2226381113605,0,521.5655178735942
free,42,False,False,0,2,5146.8198066444,False,False,0,2,7688.035679221736,0,2541.215872577336
free,43,False,False,0,2,2451.8632095079142,False,False,0,2,5333.514180801532,0,2881.650971293618
free,44,False,False,0,2,4574.024325231498,False,False,0,2,4378.635140592916,0,-195.38918463858136
free,45,False,False,0,1,7399.986947751898,False,False,0,1,7537.636930580108,0,137.64998282821034
free,46,False,False,0,2,7789.3047925767,False,False,0,2,8398.677477076064,0,609.3726844993644
free,47,False,False,0,2,6594.871556041875,False,False,0,2,8353.16773464494,0,1758.2961786030646
free,48,False,False,0,2,6690.308441891149,False,False,0,1,7677.009434100759,0,986.7009922096095
free,49,False,False,0,1,2722.060177155218,False,False,0,1,4930.325607020523,0,2208.2654298653056
free,50,False,False,0,2,8639.17897911838,False,False,0,2,11228.532861978236,0,2589.3538828598557
free,51,False,False,0,2,7170.543195563183,False,False,0,2,7605.122351870335,0,434.5791563071516
free,52,False,False,0,1,2743.3738827705456,False,False,0,1,2723.156607151039,0,-20.21727561950638
free,53,False,False,0,2,8021.133213496552,False,False,0,2,8114.617815389298,0,93.48460189274556
free,54,False,False,0,1,4174.643535614021,False,False,0,1,3630.0422357439234,0,-544.6012998700976
free,55,False,False,0,2,6483.602977161296,False,False,0,2,5102.822079348186,0,-1380.7808978131097
free,56,False,False,0,2,6067.519489764268,False,False,0,2,8055.32202233698,0,1987.8025325727122
free,57,False,False,0,1,6612.488482063139,False,False,0,2,7600.346563178496,0,987.858081115357
free,58,False,False,0,1,5213.291918649536,False,False,0,1,5213.291918649536,0,0.0
free,59,False,False,0,2,5733.8805505223645,False,False,0,2,6938.780016532786,0,1204.8994660104217
free,60,False,False,0,2,5226.016155254916,False,False,0,2,5226.016155254916,0,0.0
free,61,False,False,0,2,3662.2172305461368,False,False,0,2,4655.849151980857,0,993.63192143472
free,62,False,False,0,2,4465.000771883181,False,False,0,2,5882.9856677118405,0,1417.9848958286593
free,63,False,False,0,2,4683.137394886388,False,False,0,1,7435.03397892996,0,2751.8965840435712
free,64,False,False,0,1,3997.269000811194,False,False,0,1,10037.85196018355,0,6040.5829593723565
free,65,False,False,0,2,1931.6819748066157,False,False,0,2,1973.8895067388048,0,42.20753193218911
free,66,False,False,0,1,1267.8819846628776,False,False,0,1,2838.881757343097,0,1570.9997726802194
free,67,False,False,0,2,1774.0000594644018,False,False,0,1,2534.991821226839,0,760.9917617624371
free,84,False,False,2,3,8609.867925643926,False,False,1,3,4203.119248788394,-1,-4406.748676855533
free,85,False,False,3,3,2957.794970512389,False,False,1,3,6139.743612659789,-2,3181.9486421473994
free,86,False,False,2,3,2785.2829095401685,False,False,2,3,11498.215687876334,0,8712.932778336166
free,87,False,False,0,3,9553.492694121192,False,False,0,3,6581.253428043074,0,-2972.239266078119
free,88,False,False,0,2,3295.150787340372,False,False,0,2,3295.150787340372,0,0.0
free,89,False,False,0,2,4725.236564454988,False,False,0,2,7329.288356477071,0,2604.0517920220827
free,90,False,False,0,2,4447.991232170782,False,False,0,2,5395.672495888357,0,947.6812637175753
prescribed,9,False,False,0,2,4867.080513136332,False,False,0,2,8853.40911521655,0,3986.328602080217
prescribed,10,False,False,1,2,9373.407827075122,False,False,1,2,9373.407827075122,0,0.0
prescribed,11,True,False,1,1,3485.023572510486,True,False,1,1,2092.5331307461474,0,-1392.4904417643384
prescribed,12,False,False,0,2,9811.506762566847,False,False,0,2,5827.880250550168,0,-3983.626512016679
prescribed,13,False,False,0,1,15003.15607810554,False,False,0,1,9063.515577421718,0,-5939.640500683821
prescribed,14,False,False,0,2,7761.49808095295,False,False,0,2,7761.49808095295,0,0.0
prescribed,15,False,False,0,1,4437.429970797777,False,False,0,1,12052.78495494502,0,7615.354984147243
prescribed,16,False,False,0,1,6366.796105905936,False,False,0,1,7728.439451515091,0,1361.6433456091545
prescribed,17,False,False,0,1,6720.9282241931205,False,False,0,1,6720.9282241931205,0,0.0
prescribed,18,False,False,0,2,3084.47672400313,False,False,0,2,3084.47672400313,0,0.0
prescribed,19,False,False,0,2,2286.036667411008,False,False,0,2,2215.71751099156,0,-70.31915641944761
prescribed,20,False,False,0,1,5461.3790717954,False,False,0,1,8796.583351807356,0,3335.204280011956
prescribed,32,False,False,0,2,1046.0442759026214,False,False,0,2,1618.725890692234,0,572.6816147896127
prescribed,33,False,False,0,2,1525.3009899725537,False,False,0,2,3014.6626079268453,0,1489.3616179542917
prescribed,34,False,False,0,1,1710.4981151727854,False,False,0,1,2498.865100455709,0,788.3669852829237
prescribed,35,False,False,0,1,1520.2653753598886,False,False,0,2,1545.0316987008375,0,24.76632334094893
prescribed,36,False,False,0,1,1681.9798880577143,False,False,0,1,1734.6358352661189,0,52.65594720840454
prescribed,37,False,False,0,2,1678.2716416119767,False,False,0,1,3897.1766204176142,0,2218.9049788056373
prescribed,38,False,False,0,2,2175.7396353288545,False,False,0,2,3869.529480200592,0,1693.7898448717374
prescribed,39,False,False,0,0,3346.1212703704896,False,False,0,0,4049.6145987510745,0,703.4933283805849
prescribed,40,False,False,0,1,3907.37275066913,False,False,0,1,6109.6467319056765,0,2202.2739812365467
prescribed,41,False,False,0,1,4936.657120237766,False,False,0,1,5458.2226381113605,0,521.5655178735942
prescribed,42,False,False,0,2,5146.8198066444,False,False,0,2,7688.035679221736,0,2541.215872577336
prescribed,43,False,False,0,2,2451.8632095079142,False,False,0,2,5333.514180801532,0,2881.650971293618
prescribed,44,False,False,0,2,4574.024325231498,False,False,0,2,4378.635140592916,0,-195.38918463858136
prescribed,45,False,False,0,1,7399.986947751898,False,False,0,1,7537.636930580108,0,137.64998282821034
prescribed,46,False,False,0,2,7789.3047925767,False,False,0,2,8398.677477076064,0,609.3726844993644
prescribed,47,False,False,0,2,6594.871556041875,False,False,0,2,8353.16773464494,0,1758.2961786030646
prescribed,48,False,False,0,2,6690.308441891149,False,False,0,1,7677.009434100759,0,986.7009922096095
prescribed,49,False,False,0,1,2722.060177155218,False,False,0,1,4930.325607020523,0,2208.2654298653056
prescribed,50,False,False,0,2,8639.17897911838,False,False,0,2,11228.532861978236,0,2589.3538828598557
prescribed,51,False,False,0,2,7170.543195563183,False,False,0,2,7605.122351870335,0,434.5791563071516
prescribed,52,False,False,0,1,2743.3738827705456,False,False,0,1,2723.156607151039,0,-20.21727561950638
prescribed,53,False,False,0,2,8021.133213496552,False,False,0,2,8114.617815389298,0,93.48460189274556
prescribed,54,False,False,0,1,4174.643535614021,False,False,0,1,3630.0422357439234,0,-544.6012998700976
prescribed,55,False,False,0,2,6483.602977161296,False,False,0,2,5102.822079348186,0,-1380.7808978131097
prescribed,56,False,False,0,2,6067.519489764268,False,False,0,2,8055.32202233698,0,1987.8025325727122
prescribed,57,False,False,0,1,6612.488482063139,False,False,0,2,7600.346563178496,0,987.858081115357
prescribed,58,False,False,0,1,5213.291918649536,False,False,0,1,5213.291918649536,0,0.0
prescribed,59,False,False,0,2,5733.8805505223645,False,False,0,2,6938.780016532786,0,1204.8994660104217
prescribed,60,False,False,0,2,5226.016155254916,False,False,0,2,5226.016155254916,0,0.0
prescribed,61,False,False,0,2,3662.2172305461368,False,False,0,2,4655.849151980857,0,993.63192143472
prescribed,62,False,False,0,2,4465.000771883181,False,False,0,2,5882.9856677118405,0,1417.9848958286593
prescribed,63,False,False,0,2,4683.137394886388,False,False,0,1,7435.03397892996,0,2751.8965840435712
prescribed,64,False,False,0,1,3997.269000811194,False,False,0,1,10037.85196018355,0,6040.5829593723565
prescribed,65,False,False,0,2,1931.6819748066157,False,False,0,2,1973.8895067388048,0,42.20753193218911
prescribed,66,False,False,0,1,1267.8819846628776,False,False,0,1,2838.881757343097,0,1570.9997726802194
