gis,historical,event_year,measured_2004_m,free_start_v2_m,free_last_v2_m,prescribed_last_v2_m,rmse_v2_m,free_start_v3_m,free_last_v3_m,prescribed_last_v3_m,rmse_v3_m,free_last_change_m,prescribed_last_change_m,free_net_v2_m,free_net_v3_m,free_net_change_m
63,False,,,300.0,300.0,300.0,0.0,249.1,249.1,249.1,0.0,-50.900000000000006,-50.900000000000006,0.0,0.0,0.0
64,False,,,300.0,300.0,300.0,0.0,238.8,238.8,238.8,0.0,-61.19999999999999,-61.19999999999999,0.0,0.0,0.0
65,False,,,290.0,290.0,290.0,0.0,250.5,250.5,250.5,0.0,-39.5,-39.5,0.0,0.0,0.0
66,False,,,290.0,290.0,290.0,0.0,238.6,238.6,238.6,0.0,-51.400000000000006,-51.400000000000006,0.0,0.0,0.0
67,False,,,300.0,300.0,300.0,0.0,248.0,248.0,248.0,0.0,-52.0,-52.0,0.0,0.0,0.0
84,True,1989.0,30.0,25.0,0.0,10.0,22.46690688016276,59.7,0.0,19.700000000000003,25.336685241909983,0.0,9.700000000000003,-25.0,-59.7,-34.7
85,True,1989.0,70.0,0.0,20.0,70.0,69.72736021035618,44.0,0.0,84.0,82.56599092327819,-20.0,14.0,20.0,-44.0,-64.0
86,True,1989.0,50.0,0.0,0.0,60.0,63.47102826149446,12.2,10.0,70.0,69.8978847012861,10.0,10.0,0.0,-2.1999999999999993,-2.1999999999999993
87,True,1989.0,40.0,50.0,10.0,30.0,17.45743121887939,60.0,20.0,40.0,17.45743121887939,10.0,10.0,-40.0,-40.0,0.0
88,False,,,160.0,130.0,130.0,0.0,166.8,146.8,146.8,0.0,16.80000000000001,16.80000000000001,-30.0,-20.0,10.0
89,False,,,160.0,140.0,140.0,0.0,152.2,132.2,132.2,0.0,-7.800000000000011,-7.800000000000011,-20.0,-20.0,0.0
90,False,,,160.0,160.0,160.0,0.0,154.1,154.1,154.1,0.0,-5.900000000000006,-5.900000000000006,0.0,0.0,0.0
