gis,historical,historical_year,rows_v3_minus_v2,operation,setback_1984_v2_m,setback_1984_v3_m,change_m
9,True,1999,0,unchanged,40.0,30.3,-9.7
10,True,1999,0,unchanged,20.0,28.5,8.5
11,True,1999,1,copy of rows 4..4,10.0,24.5,14.5
12,True,1999,1,copy of rows 5..5,20.0,35.0,15.0
13,True,1999,0,unchanged,20.0,32.3,12.299999999999997
14,True,1999,0,unchanged,60.0,60.1,0.10000000000000142
15,False,,-1,rows 5..5 removed,60.0,40.9,-19.1
16,False,,-4,rows 0..3 removed,40.0,1.4,-38.6
17,False,,0,unchanged,90.0,92.7,2.700000000000003
18,False,,0,unchanged,120.0,120.9,0.9000000000000057
19,False,,0,unchanged,130.0,127.7,-2.299999999999997
20,False,,0,unchanged,70.0,51.6,-18.4
32,False,,-1,rows 20..20 removed,210.0,197.5,-12.5
33,False,,-1,rows 17..17 removed,180.0,163.1,-16.900000000000006
34,False,,-1,rows 20..20 removed,210.0,199.8,-10.199999999999989
35,False,,-1,rows 18..18 removed,195.0,182.9,-12.099999999999994
36,False,,-1,rows 34..34 removed,350.0,338.8,-11.199999999999989
37,False,,-1,rows 32..32 removed,330.0,314.9,-15.100000000000023
38,False,,-2,rows 28..29 removed,300.0,272.1,-27.899999999999977
39,False,,0,unchanged,230.0,220.8,-9.199999999999989
40,False,,0,unchanged,210.0,205.1,-4.900000000000006
41,False,,0,unchanged,200.0,193.9,-6.099999999999994
42,False,,0,unchanged,180.0,169.6,-10.400000000000006
43,False,,0,unchanged,170.0,164.4,-5.599999999999994
44,False,,0,unchanged,160.0,170.4,10.400000000000006
45,False,,1,copy of rows 19..19,150.0,172.6,22.599999999999994
46,False,,1,copy of rows 18..18,150.0,162.2,12.199999999999989
47,False,,1,copy of rows 18..18,150.0,162.2,12.199999999999989
48,False,,1,copy of rows 18..18,150.0,161.2,11.199999999999989
49,False,,3,copy of rows 14..16,90.0,121.6,31.599999999999994
50,False,,3,copy of rows 14..16,90.0,128.8,38.80000000000001
51,False,,2,copy of rows 20..21,155.0,183.1,28.099999999999994
52,False,,1,copy of rows 20..20,170.0,187.8,17.80000000000001
53,False,,1,copy of rows 19..19,170.0,177.7,7.699999999999989
54,False,,2,copy of rows 20..21,160.0,189.1,29.099999999999994
55,False,,0,unchanged,170.0,181.6,11.599999999999994
56,False,,0,unchanged,180.0,173.6,-6.400000000000006
57,False,,0,unchanged,210.0,203.2,-6.800000000000011
58,False,,0,unchanged,240.0,245.4,5.400000000000006
59,False,,-1,rows 26..26 removed,270.0,254.6,-15.400000000000006
60,False,,0,unchanged,310.0,311.6,1.6000000000000227
61,False,,0,unchanged,330.0,319.2,-10.800000000000011
62,False,,-2,rows 30..31 removed,320.0,291.6,-28.399999999999977
63,False,,-5,rows 25..29 removed,300.0,249.1,-50.900000000000006
64,False,,-5,rows 25..29 removed,300.0,238.8,-61.19999999999999
65,False,,-4,rows 25..28 removed,290.0,250.5,-39.5
66,False,,-5,rows 24..28 removed,290.0,238.6,-51.400000000000006
67,False,,-5,rows 25..29 removed,300.0,248.0,-52.0
84,True,1989,3,copy of rows 7..9,25.0,59.7,34.7
85,True,1989,5,copy of rows 6..10,0.0,44.0,44.0
86,True,1989,2,copy of rows 3..4,0.0,12.2,12.2
87,True,1989,1,copy of rows 8..8,50.0,60.0,10.0
88,False,,0,unchanged,160.0,166.8,6.800000000000011
89,False,,0,unchanged,160.0,152.2,-7.800000000000011
90,False,,0,unchanged,160.0,154.1,-5.900000000000006
