domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward
1,5,-29.152,2.006,-31.76,-26.685,-1.526,0.105,100.0
2,5,-27.794,4.837,-31.707,-21.151,-1.455,0.253,100.0
3,5,-15.457,5.176,-21.924,-7.699,-0.809,0.271,100.0
4,5,-2.216,7.18,-12.527,6.138,-0.116,0.376,60.0
5,5,-30.619,10.895,-39.154,-13.158,-1.603,0.57,100.0
6,5,-72.845,20.253,-90.304,-38.74,-3.814,1.06,100.0
7,5,-77.666,8.656,-90.708,-66.346,-4.066,0.453,100.0
8,5,-61.44,5.835,-71.159,-56.462,-3.217,0.306,100.0
9,5,-37.549,5.263,-45.244,-31.342,-1.966,0.276,100.0
10,5,-33.614,6.293,-41.962,-26.255,-1.76,0.329,100.0
11,5,-16.904,5.027,-24.817,-12.219,-0.885,0.263,100.0
12,5,-28.639,6.605,-33.262,-17.517,-1.499,0.346,100.0
13,5,-16.508,12.051,-27.001,-2.575,-0.864,0.631,100.0
14,5,-4.137,6.714,-12.928,2.713,-0.217,0.352,60.0
15,5,12.548,9.762,3.647,24.315,0.657,0.511,0.0
16,5,30.177,5.143,25.457,36.77,1.58,0.269,0.0
17,5,17.471,10.351,6.102,30.642,0.915,0.542,0.0
18,5,12.437,7.364,1.614,20.662,0.651,0.386,0.0
19,5,29.79,3.172,24.371,32.164,1.56,0.166,0.0
20,5,29.257,4.409,24.03,34.755,1.532,0.231,0.0
21,5,7.434,11.61,-9.994,19.1,0.389,0.608,20.0
22,5,-25.615,8.662,-33.208,-13.614,-1.341,0.454,100.0
23,5,-47.457,10.337,-59.76,-35.485,-2.485,0.541,100.0
24,5,-62.927,0.662,-63.686,-62.332,-3.295,0.035,100.0
25,5,-58.432,3.236,-61.782,-54.214,-3.059,0.169,100.0
26,5,-36.94,9.256,-49.152,-24.664,-1.934,0.485,100.0
27,5,-9.908,10.599,-18.969,6.724,-0.519,0.555,80.0
28,5,8.705,4.313,4.123,13.729,0.456,0.226,0.0
29,5,-1.044,10.814,-17.249,12.059,-0.055,0.566,60.0
30,5,-8.698,5.001,-16.197,-3.527,-0.455,0.262,100.0
31,5,-4.677,5.022,-12.03,1.597,-0.245,0.263,80.0
32,5,-4.225,5.515,-12.206,3.248,-0.221,0.289,80.0
33,5,-4.109,3.579,-9.767,-0.838,-0.215,0.187,100.0
34,5,-14.677,3.351,-19.497,-10.702,-0.768,0.175,100.0
35,5,-27.316,3.682,-31.567,-21.803,-1.43,0.193,100.0
36,5,-27.678,1.117,-29.421,-26.403,-1.449,0.058,100.0
37,5,-26.097,5.815,-31.653,-19.114,-1.366,0.304,100.0
38,5,7.554,9.331,-6.688,15.727,0.396,0.489,20.0
39,5,11.057,2.25,8.366,13.43,0.579,0.118,0.0
40,5,1.677,7.705,-9.391,10.94,0.088,0.403,40.0
41,5,9.156,11.167,-6.528,20.695,0.479,0.585,20.0
