transect_id,domain_number,line_id,position_2004_m,position_2023_m,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr
dune_12,1,12,8179.186,8205.871,-26.685,-1.3972,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_13,1,13,8170.495,8199.181,-28.686,-1.502,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_14,1,14,8154.617,8185.143,-30.526,-1.5983,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_15,1,15,8139.642,8167.744,-28.102,-1.4714,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_16,1,16,8129.252,8161.013,-31.76,-1.6629,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_17,2,17,8119.604,8150.481,-30.877,-1.6167,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_18,2,18,8102.617,8133.742,-31.125,-1.6297,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_19,2,19,8085.196,8116.903,-31.707,-1.6601,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_20,2,20,8069.647,8093.76,-24.112,-1.2625,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_21,2,21,8055.108,8076.259,-21.151,-1.1074,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_22,3,22,8040.836,8062.759,-21.924,-1.1479,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_23,3,23,8026.563,8044.172,-17.609,-0.922,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_24,3,24,8011.23,8026.526,-15.296,-0.8009,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_25,3,25,7991.35,8006.109,-14.758,-0.7727,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_26,3,26,7971.471,7979.17,-7.699,-0.4031,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_27,4,27,7951.591,7953.491,-1.9,-0.0995,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_28,4,28,7929.922,7923.783,6.138,0.3214,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_29,4,29,7907.699,7905.311,2.389,0.1251,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_30,4,30,7879.103,7884.284,-5.18,-0.2712,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_31,4,31,7849.855,7862.382,-12.527,-0.6559,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_32,5,32,7816.608,7829.766,-13.158,-0.6889,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_33,5,33,7778.415,7805.64,-27.225,-1.4254,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_34,5,34,7740.223,7774.8,-34.577,-1.8104,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_35,5,35,7693.937,7732.916,-38.979,-2.0409,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_36,5,36,7636.813,7675.967,-39.154,-2.05,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_37,6,37,7573.833,7612.573,-38.74,-2.0284,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_38,6,38,7489.079,7561.992,-72.912,-3.8176,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_39,6,39,7462.353,7547.686,-85.333,-4.4679,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_40,6,40,7445.524,7535.829,-90.304,-4.7282,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_41,6,41,7436.223,7513.161,-76.937,-4.0283,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_42,7,42,7425.412,7503.061,-77.648,-4.0655,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_43,7,43,7416.125,7482.471,-66.346,-3.4737,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_44,7,44,7408.002,7484.886,-76.884,-4.0255,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_45,7,45,7399.878,7490.586,-90.708,-4.7493,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_46,7,46,7391.332,7468.075,-76.743,-4.0181,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_47,8,47,7374.668,7445.827,-71.159,-3.7258,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_48,8,48,7367.812,7429.975,-62.163,-3.2547,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_49,8,49,7361.058,7417.52,-56.462,-2.9562,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_50,8,50,7348.04,7405.886,-57.846,-3.0287,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_51,8,51,7334.947,7394.517,-59.57,-3.119,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_52,9,52,7323.95,7369.193,-45.244,-2.3689,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_53,9,53,7316.027,7353.589,-37.562,-1.9667,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_54,9,54,7306.032,7337.374,-31.342,-1.641,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_55,9,55,7291.312,7325.665,-34.354,-1.7987,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_56,9,56,7274.198,7313.44,-39.241,-2.0546,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_57,10,57,7261.526,7299.471,-37.945,-1.9867,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_58,10,58,7250.603,7292.564,-41.962,-2.197,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_59,10,59,7238.859,7270.726,-31.867,-1.6685,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_60,10,60,7226.231,7252.486,-26.255,-1.3747,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_61,10,61,7213.603,7243.645,-30.042,-1.5729,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_62,11,62,7200.975,7225.792,-24.817,-1.2994,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_63,11,63,7188.347,7206.856,-18.509,-0.9691,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_64,11,64,7174.953,7188.383,-13.429,-0.7031,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_65,11,65,7161.213,7173.432,-12.219,-0.6398,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
dune_66,11,66,7143.111,7158.656,-15.545,-0.8139,2004,2023,2004-05-25,2023-07-01,False,True,19.0992
