transect_id,alongshore_m,domain,origin_y,dist_from_groin_m,n_obs,slope_full,r2_full,breakpoint_year,slope_before,slope_after,rss_full,rss_piecewise,rss_reduction_frac
usa_NC_0032_0017,3389.672309503788,1.0,3898605.9819825445,-3389.3315275074856,566,-1.1308900983403742,0.10560050112119745,2020,-2.428481290989968,45.5459507115684,1109215.8659481322,436474.4062511495,0.6065018364319363
usa_NC_0032_0018,3467.454707425136,1.0,3898673.5521884067,-3311.5491295861375,592,-0.177163890065002,0.0014391414590345653,2020,-2.36081824076272,60.36881932049519,2402609.21192485,540272.3618878524,0.7751309870925646
usa_NC_0032_0019,3522.220034819096,1.0,3898723.1101145972,-3256.7838021921775,630,0.009521919261759616,4.249342184348137e-06,2020,-2.2588746625823246,58.377508032055204,2542948.5259578535,557625.8775977239,0.7807168049586523
usa_NC_0032_0020,3585.169652074139,1.0,3898765.5311681055,-3193.8341849371345,678,0.7981097166846229,0.02301015955008434,2020,-2.214689153155047,55.77306667637278,3561624.1621445734,564427.3643292834,0.8415252877245132
usa_NC_0032_0021,3639.409588617632,1.0,3898818.730754068,-3139.5942483936415,686,0.8742876836485667,0.02832765697130324,2020,-2.1973113093261727,53.73248481220924,3532009.847252193,570128.6604991045,0.8385823694849976
usa_NC_0032_0022,3693.9460442535124,1.0,3898872.5930786044,-3085.057792757761,701,0.8002571274473964,0.025334610507414368,2020,-2.2082758057535274,51.55193091808613,3374262.7245769207,556539.4989251192,0.835063376994481
usa_NC_0032_0023,3749.9113491241887,1.0,3898928.514300234,-3029.0924878870846,690,0.5749083683230328,0.0147638456000998,2020,-2.2844829350909324,47.420150412610326,3007338.94686132,553063.0853312255,0.8160955266088503
usa_NC_0032_0024,3809.091424879552,1.0,3898987.341200617,-2969.9124121317213,692,1.3553935681011025,0.08772050165509881,2020,-1.508966507325664,43.355200855403076,2133977.3853080813,442003.4234612835,0.792873426633117
usa_NC_0032_0025,3864.1807745201995,1.0,3899035.4835002627,-2914.823062491074,696,1.1910100769115137,0.07852749667501369,2020,-1.5123250035052436,39.118248940450854,1853650.062797083,429699.0100969301,0.7681876322176304
usa_NC_0032_0026,3921.1774036871097,1.0,3899092.4795038644,-2857.8264333241636,691,1.0240478282269412,0.06472999985372485,2020,-1.5565366769115259,36.171898099933145,1687972.9828256476,428764.61859755404,0.7459884589622952
usa_NC_0032_0027,3971.1960171115356,1.0,3899140.424974334,-2807.8078198997378,696,0.8986327628138296,0.05430993847497434,2020,-1.570661603732402,33.34424153146217,1582112.260449505,437097.6215819845,0.7237252801152065
usa_NC_0032_0028,4020.1650878041946,1.0,3899188.8985462445,-2758.8387492070788,692,0.8566210358406297,0.05319361222332619,2020,-1.5419889932332347,30.795658315257633,1479945.2500445703,440278.63145060407,0.702503432855138
usa_NC_0032_0029,4070.1300239924094,1.0,3899238.7890921226,-2708.873813018864,691,0.8385418832954908,0.05517180082481643,2020,-1.4407917518457443,28.456586276305913,1338887.9991533773,431622.183593551,0.6776263706400537
usa_NC_0032_0030,4129.6194506907,2.0,3899295.550512989,-2649.384386320573,694,0.696745354087359,0.048604507479167,2020,-1.0409755292450977,27.183490111604456,1277736.5988174756,440677.7612600572,0.6551106373035747
usa_NC_0032_0031,4178.323364344843,2.0,3899343.484027886,-2600.6804726664304,696,0.1407649400390926,0.0017960104632366303,2020,-1.8324694426784474,25.87722306854541,1473651.916574869,485516.0966809864,0.6705354288756019
usa_NC_0032_0032,4228.826503844287,2.0,3899393.9774072417,-2550.1773331669865,693,0.7086282938090699,0.046978684845871754,2020,-1.3498456434000838,23.463006938034383,1143298.0599986534,426745.0057981243,0.6267421237480042
usa_NC_0032_0033,4278.07926866024,2.0,3899436.4830629993,-2500.9245683510335,687,0.6441189025591846,0.04063050850155092,2020,-1.3846776800368332,21.36433522491205,1093707.0580472453,438245.77109582216,0.5993024202675566
usa_NC_0032_0034,4332.446353784871,2.0,3899490.17677361,-2446.557483226403,684,0.5634756124830048,0.03324441514723753,1998,-3.131178308897362,3.4026913429232812,1017336.6362565074,404693.2730461573,0.6022031856285971
usa_NC_0032_0035,4380.944619505182,2.0,3899534.8750282,-2398.059217506091,694,0.5151557435395596,0.029537448607396377,1998,-3.3556886718206007,3.376549961116535,983538.4443512913,348192.11400963203,0.6459801688389641
usa_NC_0032_0036,4431.1305721524795,2.0,3899581.6194631765,-2347.873264858794,699,0.4351440787623908,0.02258286764513373,1998,-3.25280604045456,3.28161390374028,939373.5243129833,315923.26089727576,0.6636872844289196
usa_NC_0032_0037,4481.448852092058,2.0,3899630.5444334648,-2297.5549849192157,698,0.43689146509748633,0.02374077846957512,1998,-3.2811316901648913,3.224932388443206,892523.6336481315,291488.6714128459,0.6734106970126885
usa_NC_0032_0038,4531.592216138512,2.0,3899678.4849249693,-2247.411620872761,699,0.4209186989348965,0.02284816673933021,1998,-3.3600529067351936,3.1575341104154564,865112.4891223188,282173.3709161187,0.6738304272980827
usa_NC_0032_0039,4581.377538857976,2.0,3899728.214032531,-2197.6262981532973,699,0.37361579942850476,0.01873766721990655,1998,-3.5190909125710084,3.0826753606800534,830297.1133368385,250446.68329777094,0.6983649837209916
usa_NC_0032_0040,4629.222675798888,2.0,3899775.346526031,-2149.781161212385,700,0.3226180060680178,0.01430868636297189,1998,-3.8169817134554473,2.9750467067267947,810768.452112944,234988.60807352077,0.7101655750650917
usa_NC_0032_0041,4678.3227454729395,3.0,3899823.9361253595,-2100.681091538334,705,0.21477500307414094,0.006610822470694444,1998,-4.00464635983845,2.837591846598741,788317.1309782997,222549.89878268045,0.7176898864210949
usa_NC_0032_0042,4728.231618266066,3.0,3899873.422698956,-2050.7722187452073,694,0.17078165294680492,0.004173033052117137,1998,-4.199253553775532,2.8145967196824735,788482.7790052879,213177.48736594076,0.7296358360104258
usa_NC_0032_0043,4777.919392195557,3.0,3899922.5275575947,-2001.0844448157168,691,0.16647374826969263,0.003929783481690707,1998,-4.344012615655001,2.9050128857340947,791556.3936459599,192794.917974546,0.7564356506723164
usa_NC_0032_0044,4827.011302200909,3.0,3899969.964710359,-1951.9925348103643,689,0.18339454912734582,0.00469324061206966,1998,-4.584836301890308,2.9693831802917354,799312.5260556135,179120.3931425976,0.7759069358933892
usa_NC_0032_0045,4877.332508205313,3.0,3900020.0971175395,-1901.67132880596,681,0.17414740020769293,0.004254907122082652,1998,-4.57932671260156,2.9955022607535144,796276.3003259127,173247.2192508517,0.7824282611702216
usa_NC_0032_0046,4926.770791544156,3.0,3900068.725820146,-1852.2330454671173,680,0.13031686510680723,0.0023815872217964884,1997,-4.448629203529047,2.897536946914663,800473.9600999773,175147.91384657923,0.7811947388960614
usa_NC_0032_0047,4975.811739218835,3.0,3900116.006690543,-1803.1920977924383,684,0.04408550456517865,0.000270405496729742,1997,-4.7128991367684065,2.8509740994565154,822152.0445026618,175386.001006131,0.7866744938739088
usa_NC_0032_0048,5025.018353387423,3.0,3900164.044130392,-1753.98548362385,694,0.02349375708708854,7.627206504090545e-05,1997,-4.9322353972488475,2.742308625609685,834760.2992060245,190328.2016823352,0.7719965816973275
usa_NC_0032_0049,5074.282904781675,3.0,3900212.2797975307,-1704.7209322295985,693,0.031945204128874256,0.00014301669863181488,1997,-4.961340408868102,2.687680467414935,821529.2905141185,193303.55361492728,0.7647027855891095
usa_NC_0032_0050,5123.537548305715,3.0,3900260.5083484435,-1655.4662887055583,698,0.02847807167739985,0.00011487985315439264,1997,-5.012612152734594,2.6378019489710347,812981.8792110407,195033.00685280777,0.7601016555964596
usa_NC_0032_0051,5172.546052059889,4.0,3900307.758019947,-1606.4577849513844,701,-0.03400781499791094,0.00016478318092938427,1997,-5.077987399815443,2.533645871102607,807851.2412957703,200354.27935800754,0.7519911227262027
usa_NC_0032_0052,5213.142138158305,4.0,3900346.9922603187,-1565.8616988529684,703,-0.059822586255213146,0.0005239528705139884,1996,-4.904888607303856,2.3741267651245495,796226.8048690442,201085.44846323028,0.7474520485450086
usa_NC_0032_0053,5252.942630293851,4.0,3900386.302121486,-1526.0612067174225,702,-0.061698591129388095,0.0005665656546616216,1996,-4.934473193031584,2.3298391010849993,782167.7843666883,199219.23984427244,0.7452985870473074
usa_NC_0032_0054,5291.334977754644,4.0,3900421.7620628136,-1487.6688592566297,695,-0.07342551536739461,0.0008142667215045307,1996,-4.995782072677189,2.2636949782455873,768343.044531698,207110.8584177261,0.7304448060124507
usa_NC_0032_0055,5327.832664864605,4.0,3900456.5808864757,-1451.1711721466681,700,-0.13904798840980842,0.0029645710428772842,1996,-5.083784708583426,2.140302206756229,751141.1527822462,212648.05939734215,0.7169000012718139
usa_NC_0032_0056,5366.011435588074,4.0,3900494.7539505875,-1412.9924014231992,703,-0.18185766258801767,0.005197329741690737,1996,-5.137544361561538,2.0451715120167893,738149.5843838712,213923.05780119466,0.7101900992334028
usa_NC_0032_0057,5403.340600506777,4.0,3900528.440675312,-1375.6632365044961,706,-0.21980690752891952,0.007740913688450868,2000,-6.232665559517902,1.7279782436510391,723728.6995218853,210111.29066277956,0.7096822458449074
